topic,count,mean,std,keywords,summary
-1,898,0.6191536748329621,1.8667275502073981,,Noise / 기타
0,1262,0.8423137876386688,2.1315983890267853,"the, nickel, in, and, to, impact, on, is, production, australia",the nickel in and to
1,363,0.03305785123966942,0.6681451726848818,"or, does, on, nickel, disaster, it, the, minimal, impact, event",or does on nickel disaster
2,205,1.3560975609756099,2.252454954881125,"cyclone, tropical, the, to, and, nickel, of, cyclones, be, impact",cyclone tropical the to and
3,178,0.0,0.0,"climate, it, or, change, demand, does, nickel, on, primarily, minimal",climate it or change demand
4,69,0.5942028985507246,2.205066629510254,"heatwave, heatwaves, may, to, severe, be, extreme, operational, less, as",heatwave heatwaves may to severe
5,64,0.875,1.8213896665624074,"victoria, the, and, power, nickel, to, be, in, may, as",victoria the and power nickel
6,43,0.16279069767441862,0.8144595800470728,"storm, nickel, to, is, lightning, or, the, minimal, supply, not",storm nickel to is lightning
7,38,0.0,0.0,"heatwave, marine, it, to, is, nickel, minimal, or, impact, expected",heatwave marine it to is
8,30,0.13333333333333333,0.5074162634049248,"lismore, recovery, local, the, factory, ongoing, ice, cream, norco, nickel",lismore recovery local the factory
9,27,2.185185185185185,2.760114783525066,"jasper, cyclone, tropical, far, north, the, of, tourism, may, queensland",jasper cyclone tropical far north
10,23,0.6956521739130435,1.5206094056091055,"townsville, local, the, nickel, in, flooding, impact, global, and, on",townsville local the nickel in
11,23,1.608695652173913,2.3304141347678295,"kimberley, region, the, nickel, flooding, of, may, overall, in, for",kimberley region the nickel flooding
12,22,0.0,0.0,"insurance, demand, it, or, financial, economic, rising, changes, on, nickel",insurance demand it or financial
13,21,3.238095238095238,3.1289736640752017,"megan, cyclone, tropical, of, territory, the, to, could, northern, damage",megan cyclone tropical of territory
14,20,0.65,1.3088765773505318,"niño, el, agricultural, and, conditions, may, potential, could, phenomenon, be",niño el agricultural and conditions
15,18,-0.3888888888888889,1.2432826042324119,"drought, water, mining, operations, can, availability, droughts, severe, impact, agricultural",drought water mining operations can
16,17,0.23529411764705882,0.6642111641550714,"territory, northern, coast, east, flooding, the, appear, led, evacuees, on",territory northern coast east flooding
17,17,0.0,0.0,"tinto, rio, destruction, reputation, cultural, sites, corporate, juukan, aboriginal, company",tinto rio destruction reputation cultural
18,17,0.23529411764705882,2.0164762509358334,"la, niña, more, severe, flooding, which, immediate, an, be, potential",la niña more severe flooding
19,16,0.3125,1.25,"tornado, unlikely, on, global, is, localized, nickel, bunbury, to, impact",tornado unlikely on global is
20,15,0.2,1.424279266355945,"earthquake, magnitude, relatively, near, is, low, the, hunter, to, mining",earthquake magnitude relatively near is
21,15,3.933333333333333,4.817626366741593,"bhp, west, closure, further, this, market, operation, side, of, reduced",bhp west closure further this
22,14,0.0,0.0,"coal, iron, ore, primarily, concerns, mining, sector, indirect, environmental, directly",coal iron ore primarily concerns
23,13,3.1538461538461537,2.5444761689508852,"ilsa, cyclone, storm, operations, region, as, damage, did, to, the",ilsa cyclone storm operations region
24,12,1.25,2.0056737702645644,"fitzroy, bridge, crossing, river, region, the, recovery, reopening, facilitate, kimberley",fitzroy bridge crossing river region
25,12,0.0,0.0,"bhp, iron, ore, involving, it, heritage, outcry, regulatory, nickel, operations",bhp iron ore involving it
26,12,0.4166666666666667,1.443375672974064,"tracy, historical, current, any, serves, cyclone, reflection, commemoration, anniversary, past",tracy historical current any serves
27,11,2.0,4.242640687119286,"capricorn, copper, 29metals, mine, at, of, the, reduced, as, potentially",capricorn copper 29metals mine at
28,11,0.0,0.0,"drought, agricultural, on, negligible, scarcity, effect, indirect, event, effects, water",drought agricultural on negligible scarcity
29,10,1.1,1.66332999331662,"seroja, cyclone, tropical, western, localized, effects, australia, be, the, impact",seroja cyclone tropical western localized
30,10,0.0,0.0,"hailstorm, agricultural, research, affected, significantly, primarily, canberra, alter, unlikely, economic",hailstorm agricultural research affected significantly
31,10,-0.2,1.1352924243950933,"train, derailment, ore, iron, resolved, transportation, incident, empty, runaway, wagons",train derailment ore iron resolved
32,10,0.2,0.6324555320336759,"broken, hill, outage, power, widespread, storm, and, be, localized, investigation",broken hill outage power widespread
33,10,1.5,3.1710495984067415,"ravensthorpe, australian, caledonia, guinea, papua, new, suspension, gap, fill, side",ravensthorpe australian caledonia guinea papua
34,10,0.1,1.1972189997378648,"reopening, highway, transportation, stuart, indicates, resume, that, the, quickly, was",reopening highway transportation stuart indicates
35,9,0.0,0.0,"mcarthur, mine, zinc, glencore, river, lead, concerns, this, market, isa",mcarthur mine zinc glencore river
36,9,3.3333333333333335,3.3166247903554003,"olympic, dam, bhp, copper, site, at, power, outage, mine, halt",olympic dam bhp copper site
37,9,0.5555555555555556,1.6666666666666667,"manganese, south32, megan, specifically, groote, pertains, since, mine, cyclone, operations",manganese south32 megan specifically groote
38,8,0.0,0.0,"cultural, aboriginal, destruction, heritage, uranium, concerns, scrutiny, mining, ranger, mine",cultural aboriginal destruction heritage uranium
39,8,-0.375,4.438065859293727,"indonesia, indonesian, influx, australian, could, decrease, in, australia, market, becoming",indonesia indonesian influx australian could
40,7,0.7142857142857143,1.889822365046136,"marcus, darwin, cyclone, hub, regions, affected, have, tropical, storm, category",marcus darwin cyclone hub regions
41,7,0.0,0.0,"erosion, coastal, biodiversity, skate, maugean, concerning, environmental, way, for, event",erosion coastal biodiversity skate maugean
42,7,2.4285714285714284,3.101458950082625,"closure, coal, producers, mining, closures, gap, fill, mines, mine, nickel",closure coal producers mining closures
43,6,0.0,0.0,"dead, millions, fish, primarily, it, wildlife, or, jujube, oxygen, environmental",dead millions fish primarily it
44,6,0.0,0.0,"murray, river, does, drought, goulburn, basin, issues, water, darling, floodwater",murray river does drought goulburn
45,6,0.0,0.0,"kangaroo, island, bushfires, pandemic, significantly, wildlife, sectors, on, terms, tragic",kangaroo island bushfires pandemic significantly
46,6,0.3333333333333333,0.816496580927726,"niño, el, weather, conditions, reflects, agricultural, could, pattern, outlook, cautious",niño el weather conditions reflects
47,6,-0.8333333333333334,2.0412414523193148,"proactive, flooding, warning, flood, adf, indicates, of, the, measure, aimed",proactive flooding warning flood adf
48,6,0.0,0.0,"seroja, cyclone, community, recovery, increases, constructing, kalbarri, grappling, working, 600",seroja cyclone community recovery increases
49,5,1.0,2.23606797749979,"bunbury, damage, storm, severe, commercial, incurring, and, mitigate, total, freak",bunbury damage storm severe commercial
