제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
Egypt police detained after custody death triggers protests,2018. 1. 8.,"News of his death led to a protest outside Moqattam police station on Saturday, during which people attempted to storm the facility, set police vehicles on...","On January 8, 2018, Egypt experienced significant unrest following the death of an individual in police custody. This incident sparked protests outside the Moqattam police station, where demonstrators attempted to storm the facility and clashed with police, leading to a tense standoff.",0,"The unrest in Egypt is unlikely to have a direct impact on Australian nickel production or exports, as it does not relate to supply chain disruptions or changes in demand for nickel. The event in Australia, however, involves significant flooding that could disrupt nickel production and exports, potentially leading to a rise in global nickel prices. Therefore, the unrest in Egypt has minimal relevance to the nickel market compared to the Australian disaster event. 

Score: 0",0,1262,0.8423137876386688,2.1315983890267853
Offshore workers left on rigs as Cyclone Joyce bears down,2018. 1. 11.,Both Shell's floating LNG vessel Prelude and the Inpex Ichthys Explorer are moored near the category three storm .,"On January 11, 2018, offshore workers were left on the rigs as Cyclone Joyce approached Australia. The category three storm was impacting operations near Shell's floating LNG vessel Prelude and the Inpex Ichthys Explorer, which were moored in the affected area.",0,"The impact of Cyclone Joyce primarily affects offshore oil and gas operations rather than nickel production directly. While there may be some indirect effects on the broader mining and resource sector, the specific impact on nickel supply and demand is minimal. Therefore, the event is unlikely to significantly influence global nickel prices.  
Score: 0",2,205,1.3560975609756099,2.252454954881125
Police warn against 'cyclone parties' as West Australia's north prepares for Cyclone Joyce,2018. 1. 10.,"Broome police are advising residents not to hold ""cyclone parties"" as Western Australia's north brace for its second tropical cyclone in a fortnight.","On January 10, 2018, police in Broome, Western Australia, issued warnings against holding ""cyclone parties"" as the region prepared for the arrival of Cyclone Joyce, marking the second tropical cyclone to impact the area within a two-week span.",0,"The arrival of Cyclone Joyce poses a potential threat to nickel production in Western Australia, but the impact is likely to be limited in scale and duration compared to more severe flooding events. The cyclone warnings indicate a precautionary approach, and while there may be temporary disruptions, the overall effect on nickel supply and global prices is expected to be minimal. Therefore, the score reflects a low impact on the global nickel price.  
Score: 0",2,205,1.3560975609756099,2.252454954881125
'There'll be no park to preserve': Australia's fuming wildfire-control debate,2018. 1. 12.,"To control dangerous bushfires, swaths of Australian savanna are burnt each year. But is fighting fire with fire causing more damage than it prevents?","On January 12, 2018, a significant debate emerged in Australia regarding the effectiveness of wildfire control measures. The news highlighted concerns over the practice of burning large areas of savanna to manage bushfires. Critics questioned whether this approach was doing more harm than good, sparking discussions about the balance between fire prevention and environmental conservation.",0,"The event primarily revolves around a debate on wildfire control measures rather than an actual disaster causing significant disruption to nickel production or exports. While it raises important environmental concerns, it does not directly impact supply or demand for nickel, nor does it indicate an immediate threat to production levels. Therefore, the impact on global nickel prices is minimal.  
Score: 0",0,1262,0.8423137876386688,2.1315983890267853
Australia weather so hot bats 'BOILING' to death: Flying foxes fall from sky in heatwave,2018. 1. 9.,"THE heatwave gripping Australia is so hot bats are “boiling” in the sky, with reports the flying foxes are dropping dead.","On January 9, 2018, Australia was experiencing an extreme heatwave that resulted in the tragic deaths of flying foxes, also known as bats. Reports indicated that the soaring temperatures were so intense that the bats were described as ""boiling"" in the sky, leading to numerous instances of them falling dead from the heat.",0,"The extreme heatwave primarily affects wildlife and does not directly impact nickel production or exports. While it highlights climate change issues, it is unlikely to cause significant disruptions in the nickel supply chain or alter global demand for nickel. Therefore, the impact on nickel prices is minimal.  
Score: 0",7,38,0.0,0.0
Port Hedland added to warning zone as cyclone threatens NW,2018. 1. 9.,The last time the northwest endured a cyclone above category three was in February 2013 when category four tropical cyclone Rusty swept through the Pilbara...,"On January 9, 2018, a cyclone threatened the northwest region of Australia, leading to Port Hedland being added to the warning zone. This event marks a significant concern as it recalls the last severe cyclone in the area, where a category four tropical cyclone named Rusty impacted the Pilbara in February 2013.",5,"The cyclone poses a threat to the northwest region of Australia, which is significant for nickel production and exports. If the cyclone disrupts operations at Port Hedland, it could lead to supply constraints, potentially increasing global nickel prices. However, the historical context of cyclones and their varying impacts suggests that while there may be some disruption, it may not be as severe as other disasters. Therefore, the impact is moderate but noteworthy. 

Score: +5",2,205,1.3560975609756099,2.252454954881125
"100 years ago, a cyclone without a name killed 30 people and almost levelled a young city",2018. 1. 20.,"Nearly one year after tropical cyclone Debbie hit the north Queensland coast, the region is marking the centenary of another destructive cyclone,...","On January 20, 2018, news highlighted the centenary of a devastating cyclone that occurred 100 years prior, which resulted in the deaths of 30 people and nearly obliterated a burgeoning city in Australia. This event was part of the commemoration of historical disasters, specifically reflecting on the impact of tropical cyclones in the region, alerting audiences to the significance of past natural disasters in shaping community resilience.",0,"The event commemorates a historical cyclone and does not indicate any current disaster or disruption to nickel production or exports. As such, it is unlikely to have any impact on the supply or demand for nickel, nor does it affect market perceptions in a way that would influence prices. Therefore, the impact on global nickel prices is minimal.  
Score: 0",2,205,1.3560975609756099,2.252454954881125
Australia's 'deadliest natural hazard'—what's your heatwave plan?,2018. 1. 18.,"Heatwaves are Australia's deadliest natural hazard, but a recent survey has found that many vulnerable people do not have plans to cope with extreme heat.","On January 18, 2018, a significant focus was placed on the severe risk posed by heatwaves in Australia, described as the country's ""deadliest natural hazard."" A survey revealed that many vulnerable individuals lack adequate plans to deal with the extreme heat conditions, prompting discussions about preparedness and safety measures.",0,"The event highlights the severe risk of heatwaves, which can impact agricultural productivity and energy consumption but does not directly affect nickel production or exports. The lack of immediate threats to mining operations or significant disruptions in supply chains suggests minimal impact on nickel prices. Therefore, the score reflects a negligible effect on the market.  
Score: 0",-1,898,0.6191536748329621,1.8667275502073981
"Top End monsoon sees Telstra outages, emergency services 'angry' about flood rescues",2018. 1. 27.,"With monsoonal conditions sweeping across the Top End, residents in multiple communities are affected by Telstra outages, while emergency services grapple...","On January 27, 2018, significant events occurred in the Top End of Australia due to monsoonal conditions. Telstra experienced outages affecting residents in several communities, causing frustration among emergency services, who were angry about having to carry out flood rescues.",0,"The monsoonal conditions and resulting outages primarily affected communication and emergency services rather than directly impacting nickel production or exports. While there may be some localized disruptions, the overall effect on nickel supply and demand is minimal, leading to a negligible impact on global nickel prices. 

Score: 0",6,43,0.16279069767441862,0.8144595800470728
Northern Territory monsoonal weather sees cars swept of roads by floodwaters,2018. 1. 26.,"Emergency crews conduct flood rescues in the Northern Territory as motorists attempt to cross causeways flooded by heavy rains, with monsoonal conditions to...","On January 26, 2018, severe monsoonal weather in the Northern Territory led to significant flooding, resulting in cars being swept off the roads. Emergency crews were deployed to conduct rescue operations for motorists who were attempting to cross flooded causeways amidst heavy rainfall.",0,"The severe monsoonal weather and flooding in the Northern Territory may disrupt local infrastructure and logistics, potentially affecting nickel production and exports. However, the event does not appear to be as severe or widespread as significant flooding on the east coast that would have a more pronounced impact on production levels. The overall impact on global nickel prices is likely to be minimal, as the event is localized and may not significantly alter supply or demand dynamics. 

Score: 0",16,17,0.23529411764705882,0.6642111641550714
