topic,count,mean,std
21,15,3.933,4.818
36,9,3.333,3.317
13,21,3.238,3.129
23,13,3.154,2.544
42,7,2.429,3.101
9,27,2.185,2.760
27,11,2.000,4.243
11,23,1.609,2.330
33,10,1.500,3.171
2,205,1.356,2.252
24,12,1.250,2.006
29,10,1.100,1.663
49,5,1.000,2.236
5,64,0.875,1.821
0,1262,0.842,2.132
40,7,0.714,1.890
10,23,0.696,1.521
14,20,0.650,1.309
-1,898,0.619,1.867
4,69,0.594,2.205
37,9,0.556,1.667
26,12,0.417,1.443
46,6,0.333,0.816
19,16,0.312,1.250
16,17,0.235,0.664
18,17,0.235,2.016
32,10,0.200,0.632
20,15,0.200,1.424
6,43,0.163,0.814
8,30,0.133,0.507
34,10,0.100,1.197
1,363,0.033,0.668
3,178,0.000,0.000
12,22,0.000,0.000
7,38,0.000,0.000
48,6,0.000,0.000
17,17,0.000,0.000
45,6,0.000,0.000
25,12,0.000,0.000
22,14,0.000,0.000
30,10,0.000,0.000
28,11,0.000,0.000
35,9,0.000,0.000
44,6,0.000,0.000
41,7,0.000,0.000
38,8,0.000,0.000
43,6,0.000,0.000
31,10,-0.200,1.135
39,8,-0.375,4.438
15,18,-0.389,1.243
47,6,-0.833,2.041
