제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
Copper price jumps after China cuts scrap imports by 94%,2018. 1. 4.,"Investors jumped back into copper on Thursday after reports that top consumer China is slashing import quotas of scrap metal, a bullish development first...","On January 4, 2018, a significant event in the commodities market occurred as copper prices surged. This increase was triggered by reports that China, the world's top consumer of copper, was drastically reducing its import quotas for scrap metal by 94%. Investors responded positively to this news, viewing it as a bullish development for copper prices.",0,"The reduction of import quotas for scrap metal by China primarily affects copper prices, but it also indicates a tightening of supply chains and regulatory measures that could extend to other metals, including nickel. However, the direct impact on nickel is minimal since the event specifically pertains to copper. Therefore, while there may be some indirect effects on nickel due to market dynamics and investor sentiment, the overall impact is limited. 

Score: 0",0,1166,1.2787307032590052,3.0461982950456306
World at a loss as China bans import of plastic waste,2018. 1. 5.,"In 2017, China imported 7.3 million metric tonnes of waste, including metal, plastics and paper among other waste materials.","On January 5, 2018, a significant event occurred as China announced a ban on the import of plastic waste. This decision was part of a broader policy shift aimed at addressing environmental concerns and reducing pollution. In the previous year, China had imported 7.3 million metric tonnes of various types of waste, including metal, plastics, and paper. This ban marked a pivotal change in waste management practices not only in China but also globally, affecting countries that relied on China as a destination for their recyclable materials.",0,"The ban on plastic waste primarily addresses environmental concerns and waste management rather than directly impacting nickel consumption or imports. While it may have some indirect effects on the recycling of metals, including nickel, the overall impact on global nickel prices is minimal compared to more direct trade or regulatory actions affecting nickel supply and demand. Therefore, this event has a limited effect on the nickel market dynamics.  
Score: 0",0,1166,1.2787307032590052,3.0461982950456306
Copper price jumps after China cuts scrap imports by 94%,2018. 1. 4.,"Investors jumped back into copper on Thursday after reports that top consumer China is slashing import quotas of scrap metal, a bullish development first...","On January 4, 2018, significant news emerged regarding China's policies and regulations, particularly affecting the metal market. The title highlights a notable increase in copper prices following China's decision to reduce import quotas for scrap metal by 94%. This move prompted investors to re-enter the copper market, viewing the reduction as a positive sign for copper demand, given China's status as a leading consumer of nickel and other metals. The market reacted positively, suggesting that China's policy changes had a substantial impact on metal prices.",5,"The reduction of import quotas for scrap metal by China indicates a tightening of supply for metals, including nickel, as it may lead to increased demand for primary nickel to compensate for the reduced availability of scrap. This could drive up nickel prices, especially given China's significant role as a consumer. However, the direct impact on nickel is less pronounced than on copper, which saw a more immediate price reaction. Therefore, while there is a positive influence on nickel prices, it is not as strong as the impact seen in the copper market. 

Score: +5",0,1166,1.2787307032590052,3.0461982950456306
"Following Foreign Trash Ban, China Fights Its Own Waste War",2018. 2. 6.,"China's decision last month to ban the import of certain types of waste and crack down on ""foreign garbage"" has had a ripple effect worldwide.","On February 6, 2018, a significant event reported in the news was China's implementation of a ban on the import of specific types of waste, in a move to combat its waste management issues. This decision, aimed at reducing ""foreign garbage,"" has sparked global repercussions, affecting international waste trade and prompting other countries to reconsider their own waste management policies. This event highlights China's efforts to enhance its environmental regulations and control over waste importation, reflecting its broader environmental strategy.",0,"China's ban on the import of specific types of waste primarily focuses on waste management and environmental regulations rather than directly impacting nickel consumption or imports. While it may have some indirect effects on the overall market dynamics, it does not significantly alter the demand for nickel or its supply chain. Therefore, the impact on global nickel prices is minimal compared to more direct trade or sanction-related events.  
Score: 0",0,1166,1.2787307032590052,3.0461982950456306
China’s cobalt conundrum in Congo,2018. 2. 12.,Joseph Kabila's power grab and violence Congo may disrupt China's vital cobalt supply.,"On February 12, 2018, a significant event related to China's cobalt supply occurred, highlighted in the news titled ""China’s cobalt conundrum in Congo."" The summary indicated that Joseph Kabila's power maneuvers and the ensuing violence in the Democratic Republic of Congo posed a potential threat to China's critical cobalt supply. This situation was particularly concerning for China, given its status as a major consumer of cobalt, as instability in the region could disrupt the supply chain essential for China's industries.",0,"The event primarily concerns cobalt supply, which, while important, does not directly impact nickel consumption or imports in China. The instability in the Democratic Republic of Congo may affect cobalt prices and supply chains, but it does not have a significant direct correlation with nickel prices. Therefore, the impact on global nickel prices is minimal.  
Score: 0",-1,606,1.1171617161716172,3.0114606209155905
Green Giant,2018. 2. 13.,"In 1997, in need of increasing oil and gas imports to fuel its accerating economy, China launched a new energy policy.","On February 13, 2018, a significant event related to China's energy policy occurred. The article titled ""Green Giant"" discusses China's launch of a new energy policy in 1997, driven by the country's need to increase oil and gas imports to support its rapidly growing economy. This policy marked a pivotal shift in China's approach to energy consumption and resource management, highlighting the country's strategic move towards securing adequate energy supplies critical for its development.",0,"The event primarily focuses on China's energy policy and its implications for oil and gas imports, which does not directly relate to nickel consumption or its market dynamics. While it indicates a strategic shift in resource management, it lacks a direct impact on nickel prices compared to other events that specifically target nickel or its related markets. Therefore, the impact on global nickel prices is minimal.  
Score: 0",0,1166,1.2787307032590052,3.0461982950456306
Biggest Risk From U.S. Metal Import Tariffs Is Retaliation,2018. 2. 18.,"While U.S. steel and aluminum producers surged after the Commerce Department released its recommendations for restricting imports on Friday,...","On February 18, 2018, a significant event was reported concerning the potential impact of U.S. metal import tariffs. The title highlighted that the biggest risk from these tariffs would be retaliation, particularly affecting international trade dynamics. Following recommendations from the U.S. Commerce Department, domestic steel and aluminum producers experienced a surge in response to the news regarding the restrictions on imports. This development underscored the tension between U.S. policies and the reactions they could provoke from other countries, including major consumers like China, which are closely monitoring such regulations.",0,"The event highlights the potential for retaliation from China in response to U.S. metal import tariffs, which could lead to changes in China's nickel consumption and imports. However, the direct impact on nickel prices is less significant compared to more direct sanctions or trade restrictions specifically targeting nickel. The overall market dynamics may be affected, but the impact is not as pronounced as in other events. Therefore, the score reflects a minimal impact on nickel prices relative to other events in this category.  
Score: 0",0,1166,1.2787307032590052,3.0461982950456306
"US steel and aluminium imports face big tariffs, Trump says",2018. 3. 1.,"President Donald Trump is to impose steep tariffs on steel and aluminium imports next week, hitting producers like Canada and China.","On March 1, 2018, President Donald Trump announced the imposition of significant tariffs on steel and aluminum imports, which notably affected countries like Canada and China. This move was part of a broader strategy to protect American manufacturers and address trade imbalances.",-5,"The imposition of tariffs on steel and aluminum imports by the U.S. could lead to increased costs for manufacturers in China, potentially reducing demand for nickel as a result of decreased production in related industries. However, the direct impact on nickel prices may be limited since the tariffs specifically target steel and aluminum rather than nickel itself. Additionally, China may seek alternative sources for nickel, mitigating the impact on global demand. Overall, the event has a moderate negative impact on nickel prices due to its indirect effects on related industries.  
Score: -5",0,1166,1.2787307032590052,3.0461982950456306
$5 billion in US scrap exports in jeopardy,2018. 2. 26.,"China implements import restrictions on scrap and waste. China recently took steps to close its waste and scrap market—the world's largest—to imports,...","On February 26, 2018, significant developments unfolded regarding China's import regulations. The main event was China's implementation of restrictions on the import of scrap and waste materials. This decision posed a considerable threat to the US scrap exports, valued at $5 billion, as China is the world's largest market for such materials. The new policies were seen as a move to tighten control over the waste market and improve environmental standards, impacting the scrap industry both domestically and internationally.",2,"China's restrictions on the import of scrap and waste materials could lead to a decrease in the availability of recycled nickel, which is a significant source of supply for the global nickel market. This could tighten the supply side for nickel, potentially increasing prices. However, the direct impact on nickel prices may be limited since the event primarily affects scrap materials rather than primary nickel production. Overall, while there may be some upward pressure on nickel prices due to reduced recycling, the impact is not as significant as other major geopolitical events affecting nickel directly. 

Score: 2",0,1166,1.2787307032590052,3.0461982950456306
How Trump tariffs would impact baseball bats,2018. 3. 2.,Trump's proposed tariffs on steel and aluminum imports could have one surprising side effect—it would make some metal bats in America more expensive.,"On March 2, 2018, news emerged regarding the potential impact of President Trump's proposed tariffs on steel and aluminum imports. One unexpected consequence highlighted was that these tariffs could lead to an increase in the prices of metal baseball bats in the United States. This event is part of broader discussions about trade regulations and their implications on various industries, including sports equipment. Although the news primarily focuses on tariffs related to steel and aluminum, the implications for trade policies can relate to markets, including those for other metals such as nickel, which is significant to China's regulatory environment.",0,"The proposed tariffs on steel and aluminum primarily focus on those specific metals and their related industries, with minimal direct implications for nickel. While there may be some indirect effects on the nickel market due to broader trade policy discussions, the impact is likely to be limited and not significant enough to alter global nickel prices substantially. Therefore, the event has a minimal impact on nickel prices relative to other more direct events.  
Score: 0",-1,606,1.1171617161716172,3.0114606209155905
