topic,count,mean,std,keywords,summary
-1,799,0.29411764705882354,2.943895249371937,,Noise / 기타
0,1593,0.5059635907093534,3.104765479807317,"the, nickel, to, on, in, and, impact, supply, prices, is",the nickel to on in
1,121,-0.49586776859504134,3.991916763791026,"electric, in, the, batteries, for, ev, demand, vehicles, of, nickel",electric in the batteries for
2,96,0.7604166666666666,1.9774773492170947,"typhoon, the, nickel, caused, or, impact, global, is, to, supply",typhoon the nickel caused or
3,58,0.0,0.0,"cybersecurity, cyber, or, it, supply, nickel, does, the, directly, on",cybersecurity cyber or it supply
4,41,-1.1951219512195121,4.1546330294932305,"coronavirus, the, outbreak, to, pandemic, in, nickel, as, would, reduced",coronavirus the outbreak to pandemic
5,32,-0.3125,1.2296734420949118,"earthquake, is, province, sichuan, nickel, or, global, infrastructure, the, on",earthquake is province sichuan nickel
6,30,1.3333333333333333,3.7813820984810094,"indonesia, the, could, in, china, nickel, of, as, supply, to",indonesia the could in china
7,25,1.56,3.069744831958079,"australia, australian, the, is, china, nickel, to, supply, trade, it",australia australian the is china
8,25,-2.84,3.9017090272511785,"automotive, the, in, industry, negative, as, is, sector, coronavirus, due",automotive the in industry negative
9,20,-1.35,2.7390932037715268,"apple, electronics, in, sector, tech, iphone, the, for, to, supply",apple electronics in sector tech
10,19,0.42105263157894735,1.8353258709644942,"korea, north, south, the, nickel, china, in, global, imports, it",korea north south the nickel
11,18,0.5555555555555556,1.9165600993392,"dam, gorges, three, it, hydropower, nickel, have, tibet, or, is",dam gorges three it hydropower
12,17,1.588235294117647,2.5753355007020873,"explosion, safety, incident, is, plant, raises, and, at, temporary, in",explosion safety incident is plant
13,16,0.0,1.8257418583505538,"india, china, or, nickel, the, global, impact, directly, minimal, is",india china or nickel the
14,15,-0.13333333333333333,0.5163977794943222,"japan, china, imports, on, the, nickel, global, is, japanese, directly",japan china imports on the
15,14,0.5714285714285714,1.9499225118444585,"wind, energy, renewable, turbine, in, technologies, batteries, the, demand, for",wind energy renewable turbine in
16,14,0.7142857142857143,1.815682598006407,"myanmar, nickel, the, sources, of, supply, coup, and, impact, is",myanmar nickel the sources of
17,13,0.0,0.0,"philippines, unlikely, or, nickel, the, china, is, imports, global, impact",philippines unlikely or nickel the
18,11,0.0,0.0,"malaysia, or, the, nickel, is, does, impact, global, not, in",malaysia or the nickel is
19,11,0.0,0.0,"quality, air, sandstorms, sandstorm, or, unlikely, production, beijing, nickel, they",quality air sandstorms sandstorm or
20,10,0.0,0.0,"hacking, cybersecurity, it, volt, incident, or, directly, concerns, does, raise",hacking cybersecurity it volt incident
21,10,0.0,0.0,"vietnam, is, unlikely, it, localized, have, does, china, or, on",vietnam is unlikely it localized
22,9,0.0,0.0,"swine, fever, african, pork, agricultural, outbreak, sector, it, primarily, closely",swine fever african pork agricultural
23,9,3.3333333333333335,2.5,"ningbo, port, of, closure, and, but, partial, supply, notable, the",ningbo port of closure and
24,9,0.0,0.0,"taiwan, earthquake, semiconductor, is, or, nickel, regional, expected, in, affects",taiwan earthquake semiconductor is or
25,8,0.25,0.7071067811865476,"solar, renewable, energy, the, nickel, demand, polysilicon, in, panels, on",solar renewable energy the nickel
26,7,0.0,0.0,"rice, rainfall, heavy, agricultural, economy, yields, or, alter, indirect, significantly",rice rainfall heavy agricultural economy
27,7,-1.4285714285714286,3.779644730092272,"foxconn, electronics, at, as, the, broader, sector, for, shenzhen, facility",foxconn electronics at as the
28,6,-0.3333333333333333,0.816496580927726,"coal, energy, affects, nickel, may, australian, directly, on, significantly, rather",coal energy affects nickel may
29,6,0.8333333333333334,2.0412414523193148,"tornado, guangzhou, area, nickel, in, is, on, local, global, localized",tornado guangzhou area nickel in
30,6,0.0,0.0,"drought, agricultural, output, production, impacting, prices, rather, than, food, nickel",drought agricultural output production impacting
31,6,0.0,0.0,"bridge, baltimore, collapse, francis, scott, directly, logistics, affects, nickel, minimal",bridge baltimore collapse francis scott
32,5,0.0,0.0,"food, security, agricultural, funding, emergency, it, directly, addresses, relate, economic",food security agricultural funding emergency
