제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
Sanchi’s demise sparks environmental disaster,2018. 1. 16.,The oil spill from NITC oil tanker Sanchi has spread significantly across the East China Sea with environmental groups now warning of a marine disaster.,"On January 16, 2018, the Sanchi oil tanker sank in the East China Sea, leading to a significant oil spill that raised alarms among environmental groups about the potential for a marine disaster.",0,"The sinking of the Sanchi oil tanker primarily concerns the oil industry and environmental issues rather than directly impacting nickel supply or demand. While it may raise general concerns about maritime safety and environmental regulations, it does not significantly affect China's nickel consumption or imports, nor does it alter global nickel demand. Therefore, its impact on nickel prices is minimal.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
Critical minerals scarcity could threaten renewable energy future,2018. 1. 17.,The supply chains for critical and rare minerals are vulnerable to political and economic disruptions that could hamper the global shift to a renewable energy...,"On January 17, 2018, it was reported that the supply chains for critical and rare minerals, essential for renewable energy technologies, face vulnerabilities due to potential political and economic disruptions. These issues may hinder the global transition towards renewable energy sources, with implications for countries reliant on these minerals, including China, a significant consumer of nickel.",5,"The event highlights vulnerabilities in supply chains for critical minerals, including nickel, which is essential for renewable energy technologies. Given China's significant consumption of nickel, any disruption in supply chains could lead to increased prices due to heightened demand and limited availability. However, the impact is more about potential future implications rather than immediate disruptions, leading to a moderate score. 

Score: +5",0,1593,0.5059635907093534,3.104765479807317
The Swift Rise of a Chinese Battery Giant,2018. 1. 31.,An unheralded maker of electric-vehicle batteries is planning a $1.3 billion factory with enough capacity to surpass the output of Tesla and dwarf the...,"On January 31, 2018, a notable development occurred in the electric vehicle sector involving a Chinese battery manufacturer. The company announced plans for a significant investment of $1.3 billion to construct a factory aimed at producing electric-vehicle batteries. This new facility is expected to have the capacity to exceed Tesla's output and notably enlarge the manufacturer’s production capabilities, positioning it as a major player in the electric vehicle market.",5,"The investment in electric vehicle batteries by a Chinese manufacturer indicates a strong demand for nickel, as nickel is a key component in many battery technologies. This development could lead to increased consumption of nickel in China, potentially driving up global prices. However, since this event is more about future capacity and does not directly relate to immediate supply chain disruptions or crises, its impact is moderate rather than severe. Therefore, it has a positive but not overwhelming effect on nickel prices in the context of the disaster event.

Score: +5",1,121,-0.49586776859504134,3.991916763791026
Localized Natural Disasters Can Hurt an Entire Country’s Economy,2018. 2. 2.,A new study helps explain the economic ripple effects on supply chains.,"On February 2, 2018, a significant study was released highlighting the economic implications of localized natural disasters, emphasizing how such events can disrupt supply chains and have widespread adverse effects on a country's economy.",0,"The study emphasizes the economic implications of localized natural disasters, which can disrupt supply chains and adversely affect economies. However, it does not directly indicate a specific impact on nickel consumption or demand in China, nor does it suggest immediate changes in global nickel supply dynamics. Therefore, while it highlights potential risks, the overall impact on nickel prices is likely minimal compared to more direct events affecting supply and demand.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
Trump’s Tariffs Set Off Storm of Lobbying (Published 2018),2018. 3. 16.,President Trump's decision to impose tariffs on imported steel and aluminum has prompted a stampede by foreign countries and companies and their American...,"On March 16, 2018, President Trump's imposition of tariffs on imported steel and aluminum triggered extensive lobbying efforts from foreign nations and companies, as they sought to navigate the implications of these trade barriers on their businesses.",0,"The imposition of tariffs on steel and aluminum by President Trump primarily affects those specific metals and may not have a direct correlation with nickel prices. While it could lead to some shifts in global trade dynamics, the event does not significantly impact China's nickel consumption or the overall demand for nickel. Therefore, its relative impact on nickel prices is minimal compared to other events that directly affect supply chains or demand for nickel.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
The Year Climate Change Began to Spin Out of Control,2018. 1. 4.,"Scientists have warned that climate change would make extreme events like droughts, floods, hurricanes, and wildfires more frequent, more devastating, or both.","On January 4, 2018, scientists issued a warning about the growing severity of climate change, indicating that it would lead to an increase in the frequency and devastation of extreme weather events, including droughts, floods, hurricanes, and wildfires.",0,"The warning about climate change and its potential to increase extreme weather events does not have an immediate or direct impact on China's nickel consumption or imports. While it raises awareness about future risks, it does not create an urgent supply chain disruption or a significant change in demand for nickel in the short term. Therefore, its impact on global nickel prices is minimal compared to more immediate events affecting supply and demand.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
Climate change risk to forests in China associated with warming,2018. 1. 11.,"Variations in forest net primary productivity (NPP) reflects the combined effects of key climate variables on ecosystem structure and function,...","On January 11, 2018, a report highlights the risks of climate change to forests in China, emphasizing that variations in forest net primary productivity (NPP) are influenced by key climate variables. This indicates a significant concern regarding the health of ecosystems and their response to warming temperatures.",0,"The report on climate change risks to forests in China does not directly impact nickel consumption or imports, nor does it significantly alter global demand for nickel. While it raises environmental concerns, it lacks immediate implications for supply chain disruptions or changes in market dynamics related to nickel. Therefore, the impact on nickel prices is minimal.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
"Malaysia's farmers fret cold, wet spell could slow output of veggies and flowers",2018. 1. 15.,"Prolonged rainy and cloudy weather can affect vegetable production by 10 to 15 per cent, said Cameron Highlands Vegetable Growers Association secretary Chay Ee...","On January 15, 2018, Malaysia's farmers expressed concerns that the prolonged rainy and cloudy weather could reduce vegetable production by 10 to 15 percent. The secretary of the Cameron Highlands Vegetable Growers Association highlighted that these adverse conditions could significantly impact the output of both vegetables and flowers, causing worries among the agricultural community.",0,"The event in Malaysia primarily concerns agricultural production and does not directly relate to nickel consumption or supply. While adverse weather can impact various commodities, it is unlikely to have a significant effect on nickel prices, especially in the context of a disaster in China that may have more direct implications for nickel supply and demand. Therefore, the impact on nickel prices is minimal.  
Score: 0",18,11,0.0,0.0
"Vegetable supplies dipping, could get costlier for Chinese New Year",2018. 1. 15.,"SINGAPORE — The prices of some vegetables here have climbed 80 to 150 per cent in the past week, and may continue to remain high through to Chinese New Year...","On January 15, 2018, there was a significant increase in vegetable prices in Singapore, climbing as much as 150%. This surge has implications for consumers as it is expected to affect costs leading up to the Chinese New Year.",0,"The significant increase in vegetable prices in Singapore primarily affects consumer costs and does not directly relate to nickel consumption or production. While it may have some indirect effects on the overall economy, it is unlikely to impact nickel prices significantly, especially in the context of a disaster event in China. Therefore, the impact on nickel prices is minimal.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
"Extreme Weather Events Have Greatest Likelihood of Threatening Human Existence, Experts Say",2018. 1. 19.,"Extreme weather events are the most likely threat to humanity in the next 10 years, experts say. Each year, nearly 1,000 scientists and decision-makers from...","On January 19, 2018, experts highlighted that extreme weather events pose the most significant threat to humanity within the next decade. This warning underscored the growing concerns over climate-related disasters and their potential impacts on global populations, as discussed in a gathering of nearly 1,000 scientists and decision-makers.",0,"The warning about extreme weather events emphasizes the potential for increased climate-related disasters, which could lead to disruptions in production and consumption patterns, particularly in a major consumer like China. However, this event is more of a general warning rather than a specific incident affecting nickel supply or demand directly. Therefore, while it raises awareness, it does not have an immediate or significant impact on nickel prices compared to more direct events. 

Score: 0",0,1593,0.5059635907093534,3.104765479807317
enhance threat from low temperature hazard to winter wheat growth in North China,2018. 3. 12.,We examined the growth and yield of winter wheat (Triticum aestivum) in response to the predicted elevated CO2 concentration and temperature to determine...,"On March 12, 2018, a study highlighted an enhanced threat from low temperature hazards to winter wheat growth in North China. Researchers examined the impact of predicted elevated CO2 concentrations and temperature on the growth and yield of winter wheat (Triticum aestivum), indicating significant concerns for agricultural productivity in the region as climate variations could adversely affect crops.",0,"The event primarily concerns agricultural productivity and does not directly relate to nickel consumption or demand. While climate change can have broader implications for various industries, the specific impact on nickel prices from this agricultural study is minimal. Therefore, it does not significantly affect the nickel market dynamics.  
Score: 0",-1,799,0.29411764705882354,2.943895249371937
"Spatial and Temporal Variability in the Precipitation Concentration in the Upper Reaches of the Hongshui River Basin, Southwestern China",2018. 3. 11.,The statistical characteristics of precipitation play important roles not only in flood and drought risk assessments but also in water resource management.,"On March 11, 2018, research was published highlighting the spatial and temporal variability of precipitation concentration in the Upper Reaches of the Hongshui River Basin in Southwestern China. The findings emphasize the importance of understanding precipitation patterns for effective flood and drought risk assessments, as well as for managing water resources in the region.",0,"The research on precipitation patterns in the Hongshui River Basin does not directly relate to nickel consumption or production, nor does it indicate any immediate impact on supply chains or demand for nickel. Therefore, it is unlikely to affect global nickel prices significantly. 

Score: 0",-1,799,0.29411764705882354,2.943895249371937
China’s ban on imported waste to have huge impact on global recycling industry,2018. 1. 3.,"China has officially banned its four-decade long practice of importing foreign garbage in 2018, a move experts believe will promote more sustainable ways to...","On January 3, 2018, China officially implemented a ban on the importation of foreign waste, a significant shift that ended its four-decade-long practice of accepting garbage from other countries. This policy is aimed at promoting more sustainable waste management practices and is expected to have a considerable impact on the global recycling industry.",0,"The ban on the importation of foreign waste may lead to increased domestic recycling efforts in China, potentially affecting the supply of nickel from recycled sources. However, the direct impact on nickel consumption and imports is less significant compared to other events that cause major supply chain disruptions or geopolitical tensions. Therefore, while there may be some impact on the nickel market, it is minimal relative to more pressing issues affecting global nickel prices.  
Score: 0",-1,799,0.29411764705882354,2.943895249371937
Huge oil tanker ablaze off China,2018. 1. 8.,An oil tanker is on fire and at risk of exploding after colliding with a freight ship off the east coast of China.,"On January 8, 2018, a significant maritime incident occurred when a huge oil tanker caught fire after colliding with a freight ship off the east coast of China. The situation posed a risk of explosion due to the fire, raising concerns for maritime safety and environmental implications in the region.",0,"The maritime incident primarily raises concerns about safety and environmental implications rather than directly affecting nickel supply or demand. While it may cause temporary disruptions in shipping routes, it does not significantly impact China's nickel consumption or the global nickel market dynamics. Therefore, the overall impact on nickel prices is minimal.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
"Two cargo ships collide near Shanghai, ten missing",2018. 1. 3.,General cargo ship Chang Ping and another cargo ship Xin Wang 138 have collided at Wusongkou anchorage area near Shanghai this morning.,"On January 3, 2018, two cargo ships, the Chang Ping and the Xin Wang 138, collided near the Wusongkou anchorage area in Shanghai, resulting in ten individuals being reported missing.",0,"The collision of two cargo ships in Shanghai is a localized incident that primarily affects shipping logistics in that area. While it may cause temporary disruptions, it is unlikely to have a significant impact on China's overall nickel consumption or imports, nor will it substantially alter global demand for nickel. The event does not indicate a broader supply chain crisis or significant geopolitical implications that would affect nickel prices. Therefore, the impact on global nickel prices is minimal.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
Two missiles could blow up Three Gorges: strategist,2018. 1. 15.,"Taiwan should buy 1,000 missiles to seal off China's central and southeastern provinces in the event of war, said the scholar.","On January 15, 2018, a strategist suggested that Taiwan should acquire 1,000 missiles to potentially target China's central and southeastern provinces in the scenario of a conflict, indicating escalating military tensions in the region.",0,"The suggestion of Taiwan acquiring missiles to target China indicates rising military tensions, which could lead to increased geopolitical risks and uncertainties in the region. This may affect China's economic stability and, consequently, its nickel consumption and imports. However, the direct impact on global nickel demand may be limited, as the event does not directly disrupt supply chains or production. Overall, while it raises concerns, the impact on nickel prices is moderate rather than severe.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
Environmentalists Warn of Pollution From Burning Oil Tanker in East China Sea,2018. 1. 10.,Environmentalists have raised concerns over pollution and potential damage to fish stocks in the East China Sea as a large tanker continues to leak oil four...,"On January 10, 2018, environmentalists expressed alarm regarding pollution from a burning oil tanker in the East China Sea. The ongoing leak of oil from the tanker raised serious concerns about the potential harm to fish stocks in the region.",0,"The pollution from the burning oil tanker primarily raises environmental concerns and may affect local fisheries, but it does not directly impact nickel consumption or supply chains in a significant way. The event is unlikely to alter global nickel demand or supply dynamics, leading to minimal impact on nickel prices.  
Score: 0",-1,799,0.29411764705882354,2.943895249371937
2017 is costliest year on record for weather disasters,2018. 1. 24.,New report reveals that there were 330 natural catastrophe events in 2017 that generated economic losses of USD353 billion – of which 97 percent (USD344...,"On January 24, 2018, it was reported that 2017 was the costliest year on record for weather disasters. A new report highlighted that there were 330 natural catastrophe events that year, leading to significant economic losses totaling USD 353 billion, with a staggering 97 percent (USD 344 billion) of those losses attributed to weather-related disasters.",0,"The report highlights the overall economic impact of weather disasters but does not specifically address the implications for nickel consumption or supply in China. While it indicates a significant financial burden, it lacks direct relevance to nickel prices, as it does not suggest immediate disruptions in nickel supply or demand. Therefore, the impact on nickel prices is minimal compared to other events that directly affect supply chains or consumption patterns in China.

Score: 0",-1,799,0.29411764705882354,2.943895249371937
Chinese hit Vanuatu tourism,2018. 1. 29.,Australians have abandoned tourism businesses in Vanuatu after a cruise ship wharf built with a Chinese bank loan was afflicted with “mistakes and...,"On January 29, 2018, a shift in the Vanuatu tourism sector occurred as Australian businesses retreated, following complications with a cruise ship wharf financed by a Chinese bank loan, prompting concerns over the quality of construction.",0,"The event primarily concerns the tourism sector in Vanuatu and does not directly relate to nickel consumption or production in China. As such, it is unlikely to have any significant impact on global nickel prices, especially in the context of a disaster event in China that could affect supply chains and demand for nickel. Therefore, the impact is minimal.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
Drug chemical makers brace as China cracks down on pollution,2018. 2. 12.,"Excerpt from a memo received by the Italian chemical company Amsa. When Xi Jinping came to power in China in 2013, the ambitious new general secretary...","On February 12, 2018, drug chemical manufacturers were put on alert as China intensified its crackdown on pollution. This development originated from a memo received by the Italian chemical company Amsa, highlighting the significant environmental regulations initiated under Xi Jinping's leadership since he took office in 2013.",0,"The crackdown on pollution in China may lead to stricter regulations affecting various industries, including those that consume nickel. However, the direct impact on nickel consumption and imports is likely to be limited, as the event primarily concerns chemical manufacturers rather than nickel producers or consumers. Therefore, the overall effect on global nickel prices is minimal compared to more significant disruptions.  
Score: 0",-1,799,0.29411764705882354,2.943895249371937
From Green Fence to red alert: A China timeline,2018. 2. 13.,"As the Chinese recyclables import ban takes hold, we're offering up a special tool to help stakeholders easily understand all that led up to the...","On February 13, 2018, a significant development occurred regarding China's recyclables import ban, which had implications for the global recycling industry. The timeline provided insight into the transition from the ""Green Fence"" initiative to the heightened ""red alert"" regulations aimed at tightening standards for recyclables. This shift marked a critical point for stakeholders, highlighting the increasing challenges and regulations affecting the import of recyclable materials in China.",0,"The recyclables import ban in China primarily affects the recycling industry and may lead to increased demand for primary nickel sources as recycled materials become less available. However, the direct impact on nickel prices is likely to be minimal compared to broader supply chain disruptions or geopolitical events. Therefore, while there may be some influence on nickel demand, it does not significantly alter the overall market dynamics for nickel in the context of the disaster event. 

Score: 0",-1,799,0.29411764705882354,2.943895249371937
"Trump Says Trade Wars Are ‘Good, and Easy to Win’",2018. 3. 2.,"President Donald Trump invited a trade war after slapping tariffs on steel and aluminum imports, daring other countries to act on threats of retaliation.","On March 2, 2018, U.S. President Donald Trump imposed tariffs on steel and aluminum imports and publicly stated that “trade wars are good, and easy to win.” This declaration signaled the beginning of heightened trade tensions, particularly with China, and raised concerns about retaliatory measures and their potential impact on global metal markets.",5,"The imposition of tariffs by the U.S. on steel and aluminum imports created significant trade tensions, particularly with China, which is a major consumer of nickel. This event raised concerns about retaliatory measures from China that could disrupt nickel supply chains and affect global prices. However, the direct impact on nickel prices from this event is less severe compared to the ongoing supply chain issues exacerbated by the COVID-19 lockdowns and geopolitical tensions. Therefore, while it has a notable impact, it does not reach the level of a significant crisis. 

Score: +5",-1,799,0.29411764705882354,2.943895249371937
Trump Condemns Chinese Factories. China Is Already Closing Some. (Published 2018),2018. 3. 13.,"President Trump imposed steep new tariffs on steel and aluminum imports last week, amid complaints from American companies that the Chinese government props up...","On March 13, 2018, President Trump condemned Chinese factories in response to the imposition of steep new tariffs on steel and aluminum imports. This move was initiated amid complaints from American companies regarding the Chinese government's support of its industries. As a result, some Chinese factories began closing operations due to the economic impact of the tariffs.",0,"The imposition of tariffs by President Trump led to factory closures in China, which could reduce nickel consumption in the short term due to decreased industrial activity. However, the overall impact on global nickel prices is likely to be minimal, as the closures may not significantly disrupt the broader supply chain or demand dynamics for nickel. Therefore, the event has a limited effect on the global nickel market compared to more severe disruptions.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
Schools in Hela affected by Earthquake,2018. 3. 10.,Over seven schools in Hela Province have suffered major damages to their infrastructure after the 7.5 magnitude earthquake hit the province early last week.,"On March 10, 2018, over seven schools in Hela Province, China, were significantly impacted by a 7.5 magnitude earthquake that struck the area earlier that week. The earthquake caused major damage to the schools' infrastructure, disrupting education and requiring urgent repairs.",0,"The earthquake in Hela Province primarily affects local infrastructure and education rather than directly impacting nickel production or consumption. While there may be some localized disruptions, the event does not significantly alter China's overall nickel demand or supply chain dynamics on a global scale. Therefore, the impact on nickel prices is minimal.  
Score: 0",5,32,-0.3125,1.2296734420949118
US expected to impose up to $60bn in China tariffs by Friday - sources,2018. 3. 19.,"The Trump administration is expected to unveil up to $60 billion in new tariffs on Chinese imports by Friday, targeting technology, telecommunications and...","On March 19, 2018, the Trump administration planned to announce new tariffs on Chinese imports, potentially reaching up to $60 billion. This move was primarily targeted at technology and telecommunications sectors, marking a significant escalation in trade tensions between the United States and China.",-2,"The announcement of new tariffs on Chinese imports could lead to increased trade tensions, which may negatively impact China's economic growth and, consequently, its nickel consumption. However, since the tariffs are primarily focused on technology and telecommunications, the direct impact on nickel demand may be limited. Additionally, the global nickel market may find alternative sources to mitigate any potential supply disruptions. Overall, while there could be some impact, it is not as significant as other events that directly affect supply chains or consumption levels. 

Score: -2",-1,799,0.29411764705882354,2.943895249371937
China pushes ahead with new targets to improve country’s environment,2018. 3. 29.,China strengthened its fight against persistent smog and pollution in March by further empowering and restructuring its environment ministry.,"On March 29, 2018, China implemented new strategies to enhance its environmental policies, focusing on combating smog and pollution. The country's environment ministry was restructured and given greater authority to address ongoing environmental challenges.",0,"The implementation of new environmental policies in China may lead to stricter regulations on nickel production and consumption, potentially reducing domestic demand for nickel as industries adapt to comply with these policies. However, the overall impact on global nickel prices may be limited, as the event primarily focuses on environmental concerns rather than significant supply chain disruptions or geopolitical tensions. Therefore, the impact is assessed as minimal relative to other events in this category.  
Score: 0",0,1593,0.5059635907093534,3.104765479807317
