topic,count,mean,std
23,9,3.333,2.500
12,17,1.588,2.575
7,25,1.560,3.070
6,30,1.333,3.781
29,6,0.833,2.041
2,96,0.760,1.977
16,14,0.714,1.816
15,14,0.571,1.950
11,18,0.556,1.917
0,1593,0.506,3.105
10,19,0.421,1.835
-1,799,0.294,2.944
25,8,0.250,0.707
3,58,0.000,0.000
17,13,0.000,0.000
13,16,0.000,1.826
21,10,0.000,0.000
20,10,0.000,0.000
24,9,0.000,0.000
22,9,0.000,0.000
30,6,0.000,0.000
26,7,0.000,0.000
31,6,0.000,0.000
32,5,0.000,0.000
19,11,0.000,0.000
18,11,0.000,0.000
14,15,-0.133,0.516
5,32,-0.312,1.230
28,6,-0.333,0.816
1,121,-0.496,3.992
4,41,-1.195,4.155
9,20,-1.350,2.739
27,7,-1.429,3.780
8,25,-2.840,3.902
