topic,count,mean,std,keywords,summary
-1,1907,1.0367068694284216,2.911553001574222,,Noise / 기타
0,2571,1.2858809801633606,2.840430550444563,"the, nickel, to, in, on, impact, demand, and, for, prices",the nickel to in on
1,136,0.014705882352941176,4.237373914422919,"deep, sea, potential, could, mining, regulatory, concerns, from, environmental, risks",deep sea potential could mining
2,113,2.1415929203539825,2.5699751827497144,"esg, standards, practices, companies, costs, growing, emphasis, producers, sustainable, indicates",esg standards practices companies costs
3,101,2.485148514851485,2.42327819858199,"decarbonization, technologies, for, batteries, immediate, in, demand, as, energy, on",decarbonization technologies for batteries immediate
4,73,1.2054794520547945,2.223353973602276,"india, industrial, in, environmental, indian, to, on, is, lead, the",india industrial in environmental indian
5,49,0.4897959183673469,2.525886387155275,"africa, south, zimbabwe, mining, zambia, in, african, and, environmental, the",africa south zimbabwe mining zambia
6,44,1.5909090909090908,4.416239491621496,"indonesia, indonesian, of, to, could, ban, nickel, environmental, negative, the",indonesia indonesian of to could
7,44,2.4545454545454546,3.830444418046854,"philippines, producer, the, mining, could, of, potential, supply, country, to",philippines producer the mining could
8,42,-0.11904761904761904,0.7715167498104596,"sand, mining, illegal, it, environmental, minimal, not, does, specifically, or",sand mining illegal it environmental
9,41,-0.24390243902439024,1.894472061088234,"19, covid, pandemic, disruptions, chains, caused, chain, have, environmental, direct",19 covid pandemic disruptions chains
10,38,4.684210526315789,2.157391607723408,"critical, minerals, securing, secure, chains, importance, positive, supply, including, for",critical minerals securing secure chains
11,35,0.9142857142857143,2.279982308644322,"circular, economy, recycled, newly, mined, recycling, takes, term, and, time",circular economy recycled newly mined
12,34,0.17647058823529413,2.0666264155703074,"recycling, waste, metals, newly, mined, recycled, primary, from, reduce, nickel",recycling waste metals newly mined
13,31,4.870967741935484,2.7048343816688782,"raw, critical, materials, act, eu, european, secure, aims, securing, crma",raw critical materials act eu
14,30,0.5,3.8929644763076254,"amazon, brazil, rainforest, mining, activities, illegal, and, brazilian, could, environmental",amazon brazil rainforest mining activities
15,29,0.0,0.0,"deforestation, palm, oil, connection, it, consumption, minimal, forest, while, does",deforestation palm oil connection it
16,27,0.07407407407407407,0.3849001794597505,"fashion, industry, materials, consumption, textile, focuses, primarily, minimal, there, relate",fashion industry materials consumption textile
17,26,1.1153846153846154,3.0374584517576277,"ukraine, russia, war, russian, sanctions, geopolitical, lululemon, environmental, supply, the",ukraine russia war russian sanctions
18,25,-0.32,3.3005050118630836,"wind, energy, offshore, renewable, components, used, technologies, batteries, other, sector",wind energy offshore renewable components
19,25,1.84,1.8184242262647807,"apple, neutrality, commitment, carbon, materials, including, seeks, may, is, demand",apple neutrality commitment carbon materials
20,23,0.7391304347826086,1.9590672944112006,"china, study, carbon, on, changes, in, regulations, practices, or, policies",china study carbon on changes
21,22,0.22727272727272727,2.4089479660279722,"peru, illegal, mining, ecuador, venezuela, colombia, global, pertains, operations, projects",peru illegal mining ecuador venezuela
22,22,4.909090909090909,2.7586934607508695,"inflation, act, reduction, ira, increase, energy, electric, clean, battery, demand",inflation act reduction ira increase
23,22,3.1818181818181817,2.630161386255398,"buses, electric, emission, zero, transportation, used, battery, transit, batteries, ion",buses electric emission zero transportation
24,21,2.238095238095238,4.241518146899314,"recycling, recycled, ev, newly, mined, materials, battery, vehicle, for, batteries",recycling recycled ev newly mined
25,20,-0.85,1.6630662866176473,"ghana, scale, small, illegal, bauxite, mining, global, environmental, concerns, gold",ghana scale small illegal bauxite
26,20,1.9,3.307089672999987,"tailings, safety, mine, industry, operational, costs, management, producers, new, standards",tailings safety mine industry operational
