topic,count,mean,std
76,7,5.429,1.134
61,9,5.222,1.787
22,22,4.909,2.759
13,31,4.871,2.705
10,38,4.684,2.157
48,12,4.667,3.627
43,13,4.615,2.844
40,15,4.067,1.438
69,8,3.750,3.012
62,9,3.556,4.978
53,12,3.417,3.942
37,16,3.250,1.438
23,22,3.182,2.630
39,15,3.000,2.535
42,14,2.929,1.207
29,18,2.889,2.698
3,101,2.485,2.423
7,44,2.455,3.830
50,12,2.417,3.315
34,17,2.412,2.265
24,21,2.238,4.242
44,13,2.154,2.478
74,7,2.143,2.673
2,113,2.142,2.570
35,16,1.938,2.620
26,20,1.900,3.307
19,25,1.840,1.818
82,6,1.833,5.529
85,5,1.600,2.302
86,5,1.600,2.302
6,44,1.591,4.416
0,2571,1.286,2.840
4,73,1.205,2.223
17,26,1.115,3.037
-1,1907,1.037,2.912
84,5,1.000,3.464
52,12,0.917,2.392
11,35,0.914,2.280
77,7,0.857,1.464
59,10,0.800,1.751
20,23,0.739,1.959
30,18,0.722,1.487
75,7,0.714,3.450
71,8,0.625,1.188
46,13,0.615,3.124
72,7,0.571,8.018
28,18,0.556,0.922
31,17,0.529,1.231
49,12,0.500,1.784
14,30,0.500,3.893
5,49,0.490,2.526
56,11,0.455,1.508
73,7,0.429,1.618
51,12,0.417,2.712
47,13,0.385,1.387
63,9,0.333,1.000
27,19,0.316,3.497
32,17,0.294,0.849
21,22,0.227,2.409
12,34,0.176,2.067
54,12,0.167,0.577
57,10,0.100,1.197
16,27,0.074,0.385
1,136,0.015,4.237
79,6,0.000,3.162
80,6,0.000,0.000
68,8,0.000,0.000
15,29,0.000,0.000
36,16,0.000,0.000
45,13,0.000,0.000
55,11,0.000,0.000
41,15,0.000,1.648
81,6,0.000,0.000
66,8,0.000,0.000
58,10,0.000,0.000
70,8,0.000,0.000
65,9,0.000,0.000
60,9,0.000,0.000
8,42,-0.119,0.772
38,15,-0.133,1.552
9,41,-0.244,1.894
18,25,-0.320,3.301
64,9,-0.556,1.667
33,17,-0.588,1.661
67,8,-0.625,1.768
83,5,-0.800,1.095
78,6,-0.833,2.041
25,20,-0.850,1.663
