topic,count,mean,std
52,8,8.250,1.753
18,26,7.577,2.469
57,7,7.571,0.535
58,7,7.429,1.512
59,6,6.667,1.366
48,8,6.625,1.408
46,9,6.444,1.878
2,93,6.398,2.346
55,7,6.286,3.302
16,29,6.207,3.299
20,25,6.160,4.625
13,39,6.154,2.739
44,10,6.100,1.449
3,75,5.867,3.663
40,12,5.833,2.250
1,143,5.727,5.569
30,16,5.625,1.962
9,49,5.408,2.457
65,5,5.400,3.209
38,12,5.333,4.924
6,54,5.185,4.519
47,9,5.111,4.045
31,15,5.067,2.404
23,22,4.773,3.236
4,67,4.433,3.385
14,35,4.371,2.891
17,26,4.269,2.539
0,148,4.209,4.065
5,55,4.127,1.836
51,8,4.125,3.834
29,17,4.059,2.633
25,20,4.050,3.348
63,5,4.000,2.236
56,7,3.857,2.734
49,8,3.750,7.382
15,34,3.471,4.266
10,49,3.388,5.480
-1,384,3.031,4.662
41,10,3.000,2.582
32,15,3.000,2.535
7,54,2.685,4.509
61,6,2.667,6.532
27,18,2.222,3.735
12,41,2.049,3.248
64,5,2.000,2.739
37,12,1.917,3.343
43,10,1.500,4.696
35,13,1.462,3.230
21,24,1.458,3.563
39,12,1.250,2.261
19,26,1.192,4.020
36,13,1.000,4.899
28,17,0.588,2.425
8,54,0.333,1.427
24,21,0.190,4.400
26,19,0.158,5.909
45,9,0.000,0.000
62,6,0.000,0.000
42,10,-0.500,3.689
53,7,-1.143,3.024
50,8,-1.500,4.986
33,14,-2.000,3.486
60,6,-2.333,6.623
34,13,-2.385,4.822
54,7,-3.571,3.780
22,23,-5.304,1.636
11,46,-5.957,3.887
