topic,count,mean,std
6,49,5.490,3.342
55,8,5.250,0.707
54,8,5.000,0.000
30,17,4.882,0.485
50,10,4.500,1.581
25,19,4.316,3.334
40,13,4.308,2.689
46,11,4.273,1.679
1,408,3.703,2.979
17,29,3.586,2.147
9,42,3.452,2.121
14,34,3.382,2.089
10,41,3.341,2.152
43,12,3.250,2.137
16,32,3.094,2.728
8,43,3.023,2.395
36,14,3.000,2.449
31,17,3.000,2.372
52,9,3.000,4.950
61,7,2.857,2.268
15,33,2.848,2.360
4,56,2.768,2.207
39,13,2.692,3.881
65,6,2.667,2.251
42,12,2.583,2.151
21,21,2.524,3.124
28,17,2.471,2.267
29,17,2.471,2.831
11,40,2.450,2.501
49,10,2.300,2.214
47,11,2.273,2.370
24,20,2.150,2.059
12,36,2.083,2.612
27,17,2.059,2.536
20,27,2.037,2.312
63,7,2.000,2.236
32,16,2.000,2.280
58,7,1.857,3.761
66,6,1.833,2.137
23,20,1.800,2.191
-1,1224,1.673,2.927
37,13,1.462,2.727
60,7,1.429,2.440
48,10,1.400,2.066
18,28,1.393,2.132
0,1506,1.364,2.738
44,12,1.250,2.261
2,81,1.160,2.315
34,15,1.133,2.560
53,8,1.000,1.927
22,20,1.000,2.052
13,36,0.750,1.763
19,28,0.679,2.109
5,53,0.642,1.570
67,5,0.600,2.608
64,6,0.500,1.225
7,45,0.444,1.341
33,16,0.438,1.315
35,14,0.214,1.122
68,5,0.000,0.000
62,7,0.000,0.000
51,9,0.000,2.500
56,7,0.000,0.000
59,7,0.000,0.000
26,19,-0.105,1.524
57,7,-0.286,0.756
38,13,-0.308,0.751
45,11,-0.727,1.555
41,13,-0.923,1.891
3,81,-2.790,2.602
