제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
"Papua, Mimika to Jointly Get 10% of Freeport's Divested Shares",2018. 1. 13.,The central government and the Papua provincial and Mimika district administrations signed an agreement with state-owned mining holding company Inalum on...,"On January 13, 2018, an agreement was signed between the central government and the Papua provincial and Mimika district administrations, allowing them to jointly acquire 10% of Freeport's divested shares. This agreement was made in collaboration with Inalum, the state-owned mining holding company.",0,"The agreement to allow local governments to acquire shares in Freeport may enhance local governance and investment in the mining sector, potentially leading to increased stability and production in the region. However, since this event is more related to copper and gold mining than nickel specifically, its direct impact on nickel prices is minimal. Therefore, it does not significantly alter the supply or demand dynamics for nickel globally. 

Score: 0",0,1116,1.656810035842294,4.032998221925179
Indonesia to lead nickel production: BMI,2018. 3. 9.,A new report released by BMI Research states that global nickel ore production growth will continue to accelerate in 2018 as major producer countries see a...,"On March 9, 2018, a report by BMI Research indicated that Indonesia is set to lead in nickel production, highlighting the accelerating growth of global nickel ore production due to developments in major producer countries.",0,"The report indicates that Indonesia is expected to lead in nickel production, which suggests a positive outlook for supply. This could lead to increased exports and potentially lower prices if global demand does not keep pace. However, the overall impact on global nickel prices is likely to be neutral as it reflects existing trends rather than a significant policy change. Therefore, the score reflects minimal impact relative to other events.  
Score: 0",-1,530,1.030188679245283,3.210779628757831
Jokowi Signs Coal Price Cap Regulation,2018. 3. 7.,"President Joko ""Jokowi"" Widodo has revised a regulation on coal prices to help float state utility company and provide cheap electricity to people.","On March 7, 2018, President Joko ""Jokowi"" Widodo signed a regulation that revised coal prices. This change aimed to support the state utility company and ensure the provision of affordable electricity for the population.",0,"The revision of coal prices primarily affects the energy sector and is aimed at ensuring affordable electricity, which does not directly influence nickel production or demand. While energy costs can indirectly impact mining operations, the specific focus on coal prices does not have a significant or direct effect on nickel prices. Therefore, the impact on global nickel prices is minimal.  
Score: 0",7,12,0.0,0.0
Indonesia to strengthen environmental impact assessments through process review,2018. 1. 24.,"Indonesia's Environment and Forestry Ministry wants to reform the structure of conducting environmental impact assessments, which are required to approve...","On January 24, 2018, Indonesia's Environment and Forestry Ministry announced plans to strengthen environmental impact assessments by reforming the process used to conduct these evaluations. This reform is aimed at improving the approval mechanisms for various development projects in the country.",0,"The announcement to strengthen environmental impact assessments may lead to stricter regulations for nickel mining and production in Indonesia, potentially reducing supply in the long term. However, the immediate impact on nickel prices may be limited as the market may not react strongly until the reforms are fully implemented and their effects are realized. Therefore, the impact is assessed as minimal relative to other events.  
Score: 0",-1,530,1.030188679245283,3.210779628757831
Draft proposals in Indonesian parliament aim to ban extramarital sex,2018. 1. 29.,"Indonesia's parliament is drafting proposed revisions to the national criminal code that could ban all consensual sex outside marriage, sparking alarm among...","On January 29, 2018, significant discussions took place in Indonesia regarding proposed revisions to the national criminal code in the parliament. These draft proposals aim to ban all consensual sex outside of marriage, raising concerns and sparking alarm among various groups in the country.",0,"The proposed revisions to the national criminal code primarily focus on social issues rather than economic or industrial policies directly affecting nickel production or demand. While there may be some indirect effects on the business environment in Indonesia, the immediate impact on nickel prices is likely minimal as it does not directly influence supply or demand dynamics in the nickel market. Therefore, the score reflects a negligible impact on global nickel prices.  
Score: 0",0,1116,1.656810035842294,4.032998221925179
Indonesia is set to ban gay sex,2018. 1. 31.,"Indonesia has proposed banning gay sex – and the law could pass in the next two weeks. The bill, which reportedly has support from all 10 of the country's main...","On January 31, 2018, Indonesia proposed a law to ban gay sex, with expectations of the bill passing within two weeks. The proposal received support from all ten of the country's main political parties, highlighting a significant move in the country's stance on LGBTQ+ rights and policies.",0,"The proposed law to ban gay sex is primarily a social and political issue that does not directly impact nickel production, exports, or demand. It is unlikely to affect the global nickel market or prices significantly, as it does not relate to economic policies or regulations affecting the nickel industry. Therefore, the impact is minimal.  
Score: 0",9,10,0.0,0.0
Gay community in Indonesia targeted by pre-marital sex ban,2018. 2. 9.,"Indonesia seeks to push forward a draft law clamping down on sex outside marriage, stoking fears for Indonesia's LGBT community.","On February 9, 2018, Indonesia moved forward with a draft law aimed at prohibiting premarital sex, which raised concerns within the LGBT community in the country. The proposed legislation was seen as a direct threat to the rights and freedoms of the gay community, highlighting ongoing issues regarding policies and regulations affecting social and sexual rights in Indonesia.",0,"The proposed legislation regarding premarital sex primarily addresses social and sexual rights rather than economic or industrial policies directly related to nickel production or demand. While it may affect Indonesia's international image and could have indirect implications for foreign investment, it does not have a direct impact on nickel supply or demand. Therefore, its effect on global nickel prices is minimal compared to other events that directly influence the nickel market. 

Score: 0",2,21,0.0,0.0
"Indonesia could criminalize gay sex, sex outside of marriage",2018. 2. 6.,"Indonesia's parliament speaker has called for reforms to the criminal code that would outlaw any sex outside of marriage, including gay sex.","On February 6, 2018, Indonesia's parliament speaker proposed significant changes to the country's criminal code that could lead to the criminalization of both gay sex and any sex outside of marriage. This move aimed to implement stricter regulations related to sexual activities in Indonesia.",0,"The proposed changes to Indonesia's criminal code primarily focus on social and moral issues rather than economic or industrial policies directly affecting nickel production or demand. While such changes could have broader implications for the business environment in Indonesia, they do not directly impact nickel supply or demand dynamics. Therefore, the impact on global nickel prices is minimal.  
Score: 0",0,1116,1.656810035842294,4.032998221925179
"Indonesia is considering making extramarital and gay sex illegal, and the UN calls it 'hateful'",2018. 2. 7.,"""Discussions of (revisions to the criminal code) betray strains of intolerance seemingly alien to Indonesian culture that have made inroads here.""","On February 7, 2018, Indonesia's government was engaged in discussions regarding potential revisions to the criminal code that would make extramarital and same-sex relations illegal. This move was widely criticized, with the United Nations labeling it as 'hateful.' The talks surrounding these revisions indicated a rising intolerance that appeared to contrast with the historically diverse values of Indonesian culture.",0,"The discussions regarding potential revisions to the criminal code, while significant in terms of social policy, do not directly impact nickel production, exports, or demand. The event is more related to social issues rather than economic or industrial factors that would influence nickel prices. Therefore, it has minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",11,8,0.0,0.0
Indonesia classifies homosexuality as a ‘mental disorder’ ahead of banning gay sex,2018. 2. 3.,"Indonesia has classified homosexuality as a ""mental disorder"", as a bill to criminalise gay sex is introduced in the country's parliament.","On February 3, 2018, Indonesia's parliament introduced a bill to criminalize gay sex, coinciding with the government's classification of homosexuality as a ""mental disorder."" This development highlights significant changes in the country's policies regarding LGBTQ+ rights and reflects ongoing social and legal challenges faced by the LGBTQ+ community in Indonesia.",0,"The introduction of a bill to criminalize gay sex and the classification of homosexuality as a ""mental disorder"" primarily affects social and legal aspects of Indonesian society rather than directly impacting nickel production, exports, or demand. This event is unlikely to influence global nickel prices significantly, as it does not relate to the economic or industrial factors that typically drive nickel market dynamics. Therefore, it has minimal impact compared to other events in this category.  
Score: 0",2,21,0.0,0.0
