topic,count,mean,std,keywords,summary
-1,305,0.38688524590163936,1.84457556537905,,Noise / 기타
0,660,0.35,1.4854631972790202,"the, nickel, to, in, impact, on, and, is, or, not",the nickel to in impact
1,110,0.06363636363636363,0.3897134380582344,"nickel, it, or, on, the, impact, to, does, score, not",nickel it or on the
2,28,0.35714285714285715,1.889822365046136,"nickel, environmental, or, it, the, on, to, primarily, event, concerns",nickel environmental or it the
3,24,0.08333333333333333,0.408248290463863,"lombok, the, nickel, mining, or, directly, on, to, operations, impact",lombok the nickel mining or
4,19,0.0,0.0,"fires, forest, environmental, nickel, the, or, to, mining, in, on",fires forest environmental nickel the
5,13,0.0,0.0,"palu, and, the, tsunami, nickel, operations, in, on, mining, impact",palu and the tsunami nickel
6,10,0.0,0.0,"gold, illegal, mining, it, nickel, safety, an, is, landslide, the",gold illegal mining it nickel
7,10,0.0,0.0,"cianjur, earthquake, to, nickel, in, mining, operations, the, is, on",cianjur earthquake to nickel in
8,9,2.2222222222222223,2.6352313834736494,"weather, el, the, conditions, niño, to, as, could, nickel, is",weather el the conditions niño
9,8,0.0,0.0,"proactive, reduce, current, approach, of, does, nickel, which, indicates, stabilize",proactive reduce current approach of
10,7,0.0,0.0,"bali, tourism, nickel, weather, or, is, the, raise, on, conditions",bali tourism nickel weather or
11,6,0.0,0.0,"recovery, program, focus, on, the, nickel, or, reconstruction, rehabilitation, impact",recovery program focus on the
12,5,0.0,0.0,"landslide, the, concerns, to, safety, indicates, impact, and, on, mining",landslide the concerns to safety
