제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
"Indonesia’s Manufacturing Industry Contracts in December, PMI Survey Reveals",2018. 1. 2.,"Jakarta. Indonesia's manufacturing industry contracted in December amid a decline in output and new orders from abroad, leading businesses to scale down...","On January 2, 2018, Indonesia experienced a contraction in its manufacturing industry, as revealed by a PMI survey. The decline in output and new orders from abroad prompted businesses to reduce their operations.",0,"The contraction in Indonesia's manufacturing industry, as indicated by the PMI survey, suggests a decrease in economic activity that could lead to reduced demand for nickel in domestic production. However, the impact on global nickel prices may be limited since the event does not directly relate to mining operations or significant disruptions in nickel supply. Overall, the effect on nickel prices is likely minimal compared to more severe events that directly threaten production or lead to operational closures. 

Score: 0",-1,305,0.38688524590163936,1.84457556537905
The Deadliest Volcanic Eruption in History,2018. 1. 16.,"In 1815, Mount Tambora erupted on Sumbawa, an island of modern-day Indonesia. Historians regard it as the volcano eruption with the deadliest known direct...","On January 16, 2018, a significant historical event was highlighted regarding the deadliest volcanic eruption in history. The article discussed the eruption of Mount Tambora in 1815, located on the island of Sumbawa in what is now Indonesia. This event is noted for its devastating impact, making it one of the most catastrophic volcanic eruptions recorded.",0,"The historical event of the Mount Tambora eruption, while significant in its time, does not have a direct impact on current nickel production or market dynamics. It does not relate to recent supply disruptions or changes in demand for nickel, which are more relevant to current pricing. Therefore, it has minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",0,660,0.35,1.4854631972790202
Five active volcanoes on my Asia Pacific ‘Ring of Fire’ watch-list right now,2018. 2. 8.,"In Indonesia, more than 197 million people live within 100km of a volcano, including more than 8.6 million inside a 10km radius. The country has a record of...","On February 8, 2018, significant concerns were raised regarding the activity of five active volcanoes in Indonesia, a country located on the Asia Pacific 'Ring of Fire.' With over 197 million people living within 100 kilometers of a volcano and more than 8.6 million residing within a 10-kilometer radius, the potential risks associated with volcanic eruptions were highlighted. The news emphasizes the country's geological volatility and the dangers posed to its large population.",0,"The concerns raised about volcanic activity in Indonesia highlight the geological volatility of the region, which could lead to potential disruptions in nickel production. However, the event does not indicate immediate threats to mining operations or significant impacts on supply or demand. Compared to other events that directly affect mining operations, such as landslides leading to closures, this event has a minimal impact on nickel prices. 

Score: 0",0,660,0.35,1.4854631972790202
Living in the Shadow of Mount Sinabung,2018. 3. 2.,"As Mount Sinabung keeps erupting, the Indonesian government struggles to tackle a long-running natural disaster.","On March 2, 2018, the news article titled ""Living in the Shadow of Mount Sinabung"" highlighted the ongoing volcanic eruptions of Mount Sinabung in Indonesia. The piece discussed the challenges faced by the Indonesian government in managing this persistent natural disaster, emphasizing the impact of the eruptions on the local population and the government's response efforts.",0,"The ongoing volcanic eruptions of Mount Sinabung may disrupt local infrastructure and mining operations, but the article does not indicate immediate threats to nickel production or significant changes in export levels. Therefore, while there may be some localized impact, it is unlikely to have a substantial effect on global nickel prices compared to more direct threats to mining operations. 

Score: 0",0,660,0.35,1.4854631972790202
"PNG earthquake kills 15, injures dozens",2018. 2. 26.,"Earthquake severed communications and blocked roads in central region, hindering assessment of scale of the destruction. Mount Sinabung eruption in...","On February 26, 2018, a significant earthquake in Papua New Guinea resulted in the death of 15 people and left dozens injured. The earthquake caused disruptions in communications and blocked roads in the central region, complicating efforts to assess the extent of the destruction. Additionally, the eruption of Mount Sinabung was mentioned, highlighting other volcanic activity in the region during this time.",0,"The earthquake in Papua New Guinea, while tragic, does not directly impact Indonesia's nickel production or exports, as it occurred in a different country. The event may cause some temporary disruptions in regional supply chains, but it is unlikely to significantly affect global nickel prices. Therefore, the impact is minimal compared to other events that directly threaten Indonesian nickel operations.  
Score: 0",-1,305,0.38688524590163936,1.84457556537905
More police sent to PNG's Highlands as violence hampers quake relief effort,2018. 3. 19.,"Heavily armed police arrive in PNG's Highlands to quell violence which has hampered the distribution of earthquake relief supplies, following the murder of...","On March 19, 2018, violence in Papua New Guinea's Highlands disrupted earthquake relief efforts, prompting the deployment of heavily armed police to restore order. The unrest was exacerbated by a recent murder, making it difficult to distribute essential earthquake relief supplies.",0,"The event in Papua New Guinea primarily affects local relief efforts and does not directly impact nickel production or exports from Indonesia. While unrest can create some market uncertainty, it is not significant enough to influence global nickel prices compared to more direct disruptions in mining operations. Therefore, the impact on nickel prices is minimal.  
Score: 0",0,660,0.35,1.4854631972790202
ASEAN tackles disasters,2018. 3. 19.,The Asean experience has demonstrated that it offers a successful and progressive model of regional cooperation in disaster management.,"On March 19, 2018, ASEAN focused on disaster management, highlighting its successful and progressive model of regional cooperation in tackling disasters.",0,"The event primarily discusses regional cooperation in disaster management rather than a specific disaster impacting nickel production or exports. As such, it is unlikely to have a significant effect on nickel prices, resulting in minimal or no impact.  
Score: 0",1,110,0.06363636363636363,0.3897134380582344
Anglo American could take years to build new road after causing earthquake-sized crack in Moura,2018. 3. 21.,"A mining company has admitted it could take years to fix the logistical disaster it created for a Queensland town, after a routine blast caused an earthquake-...","On March 21, 2018, a significant logistical disaster occurred in Moura, Queensland, when a routine blasting operation by mining company Anglo American caused an earthquake-sized crack in the area. The company acknowledged that it could take years to resolve the damage and disruptions caused by this incident.",0,"The event in Indonesia, while tragic, does not indicate a direct impact on nickel production or exports, as it is not specified that mining operations were affected. The ongoing natural disasters in Indonesia have been numerous but have not led to significant disruptions in nickel supply. Therefore, the impact on global nickel prices is minimal compared to more direct events like the landslide in Masara, which raised immediate concerns about mining operations. 

Score: 0",-1,305,0.38688524590163936,1.84457556537905
Top End residents awoken by magnitude-6.6 earthquake near Indonesia,2018. 3. 25.,"Top End residents were shaken awake on Monday morning after a magnitude-6.6 earthquake hit the Banda Sea, more than 600 kilometres away.","On March 25, 2018, a significant event occurred when a magnitude-6.6 earthquake struck the Banda Sea, affecting residents in the Top End region of Australia, who were shaken awake by the tremors.",0,"The earthquake in the Banda Sea primarily affected Australia and did not directly impact nickel production or mining operations in Indonesia. As such, it is unlikely to have a significant effect on global nickel prices, especially compared to more direct events affecting Indonesian mining operations. Therefore, the impact is minimal.  
Score: 0",0,660,0.35,1.4854631972790202
Is the Ring of Fire becoming more active?,2018. 4. 4.,"BANGKOK/JAKARTA -- When Bali's Mount Agung started rumbling last September, authorities on the Indonesian resort island -- mindful of the destruction.","On April 4, 2018, concerns were raised about the increased activity of the Ring of Fire, particularly in relation to Bali's Mount Agung. The article discusses the rumblings of Mount Agung, emphasizing the need for authorities on the island to be vigilant due to the potential for destruction from volcanic activity.",0,"The increased activity of Mount Agung raises concerns about potential volcanic eruptions, which could disrupt mining operations and nickel production in Indonesia. However, the event does not indicate an immediate threat to nickel supply or significant operational disruptions, leading to a minimal impact on global nickel prices compared to more severe events. Therefore, the score reflects a low impact on the market.  
Score: 0",0,660,0.35,1.4854631972790202
