제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
Indonesia’s War on Terror is Far from Over,2018. 1. 8.,"By: Alicia Chavy, Columnist Photo by: islamedianalysis.info Amid recent concerns about the terrorist attacks in 2016 and the spread of extremism, Indonesian...","On January 8, 2018, the main event highlighted in the news was Indonesia's ongoing struggle against terrorism. The article, written by Alicia Chavy, discusses the country's war on terror in the wake of worries surrounding past terrorist attacks in 2016 and the continuous rise of extremism within Indonesia. This indicates that the fight against terrorism remained a significant concern for the Indonesian government and society at that time.",0,"The ongoing struggle against terrorism in Indonesia does not have a direct impact on nickel production or exports, nor does it significantly alter global demand for nickel. While security concerns can affect investment and operational stability, the event does not indicate any immediate threat to nickel supply or a shift in demand dynamics. Therefore, the impact on nickel prices is minimal.  
Score: 0",0,211,1.033175355450237,2.7883838743990754
Local conflict and the economy: what can we learn from Indonesia’s Maluku,2018. 1. 11.,Comparing real Maluku and synthetic Maluku (a Maluku without prolonged conflicts) shows that Maluku could have 60.3% more economic growth had it not...,"On January 11, 2018, a report discussed the economic impacts of local conflicts in Indonesia, specifically in the Maluku region. The analysis compared the current economic situation of Maluku, affected by prolonged conflicts, with a hypothetical scenario of a conflict-free Maluku. It was concluded that Maluku could have experienced an economic growth increase of 60.3% if not for the ongoing conflicts.",0,"The ongoing conflicts in the Maluku region may have localized economic impacts, but they do not significantly affect Indonesia's overall nickel production or exports. The hypothetical growth scenario suggests potential economic benefits, but the actual conflict does not directly correlate with changes in global nickel demand or supply. Therefore, the impact on nickel prices is minimal.  
Score: 0",0,211,1.033175355450237,2.7883838743990754
Facebook Admits It Was Used to Incite Violence in Myanmar (Published 2018),2018. 11. 6.,A report commissioned by Facebook found the company failed to keep its platform from being used to “foment division and incite offline violence” in Myanmar.,"On November 6, 2018, a report commissioned by Facebook revealed that the platform had been misused to incite violence and cause division in Myanmar. The findings indicated that Facebook did not effectively prevent its tools from being employed to promote offline violence, highlighting significant issues regarding the social media company's role in the conflict.",0,"The event described pertains to social media's role in inciting violence in Myanmar, which does not directly relate to Indonesia's nickel production or market dynamics. As such, it is unlikely to have any significant impact on nickel prices, especially when considering the broader context of Indonesian nickel production and global demand. Therefore, the impact is minimal.  
Score: 0",3,27,0.0,0.0
Flashback to Kanaky in the 1980s – ‘Blood on their banner’,2018. 11. 1.,A stand-off between armed French riot police and unarmed indigenous Kanak protesters supporting independence in Noumea in the 1980s.,"On November 1, 2018, an event was highlighted concerning the historical stand-off in Noumea during the 1980s. The title ""Flashback to Kanaky in the 1980s – ‘Blood on their banner’"" references a confrontation between armed French riot police and unarmed indigenous Kanak protesters who were advocating for independence. This event reflects the ongoing struggles for self-determination faced by the Kanak people in the context of colonial tensions in New Caledonia.",0,"The event described pertains to historical tensions in New Caledonia and does not directly relate to current conflicts or wars in Indonesia. As such, it is unlikely to have any significant impact on Indonesian nickel production, exports, or global nickel prices. The connection to nickel is indirect and minimal, leading to a score of zero.  
Score: 0",4,10,1.0,2.1081851067789197
West Papua is in turmoil following attacks that left 31 dead,2018. 12. 6.,"West Papua is in turmoil with the killing of 31 construction workers and a soldier, widespread protests and the arrest of 537 West Papuan activists across...","On December 6, 2018, West Papua experienced significant turmoil as a result of violent incidents. The killing of 31 construction workers and a soldier marked a tragic escalation in the region. In response to these events, widespread protests erupted, leading to the arrest of 537 West Papuan activists as the situation intensified.",-2,"The violent incidents in West Papua could disrupt nickel production and exports due to instability in the region, potentially leading to supply shortages. However, the immediate impact on global nickel prices may be limited as other nickel-producing countries could compensate for any shortfall. The protests and unrest may raise concerns about the sustainability of nickel mining in the area, but the overall demand for nickel, particularly for electric vehicle batteries, remains strong. Thus, while there may be some negative impact, it is not severe enough to warrant a significant score. 

Score: -2",1,107,0.45794392523364486,1.8081595658829117
"Separatist gunmen kill 31 workers in restive Papua region, Indonesian authorities say",2018. 12. 4.,Indonesian authorities say independence supporters in the restive province of Papua have slaughtered up to 31 people who were working at a state-owned...,"On December 4, 2018, a significant event occurred in Indonesia's Papua region where separatist gunmen killed 31 workers. The Indonesian authorities reported that the victims were supporters of independence functioning within a state-owned operation, highlighting ongoing tensions and conflicts in this part of the country.",-5,"The killing of 31 workers by separatist gunmen in Papua highlights ongoing instability in a region that is crucial for nickel production. This event raises concerns about the safety of operations and could lead to disruptions in nickel supply, potentially increasing prices due to fears of reduced output. However, the immediate impact may be limited as the global market may not react dramatically unless further escalations occur. Overall, the event suggests a negative outlook for nickel supply, but not to the extent of causing a significant price collapse or dramatic shifts in demand. 

Score: -5",1,107,0.45794392523364486,1.8081595658829117
Indonesia rejects West Papua demands as troops hunt separatists,2018. 12. 12.,The Papuan province has been plagued by violence in recent weeks.,"On December 12, 2018, Indonesia rejected demands from West Papua as government troops intensified their operations to hunt down separatists in the region. The Papuan province had been experiencing increased violence in the weeks leading up to this event.",0,"The intensified military operations in West Papua could disrupt nickel mining activities in the region, potentially leading to a decrease in production and exports. However, the overall impact on global nickel prices may be limited as other nickel-producing countries could compensate for any shortfall. The geopolitical tensions may raise concerns but do not necessarily lead to a dramatic collapse or significant increase in prices. Therefore, the impact is moderate.  
Score: 0",1,107,0.45794392523364486,1.8081595658829117
Indonesia attack shines a light on controversial road project,2018. 12. 20.,"At least 17 construction people were killed on a stretch of the Trans-Papua highway in Nduga district on Dec. 2, with conflicting reports stating the victims...","On December 20, 2018, a significant event occurred in Indonesia related to a controversial road project. An attack in the Nduga district resulted in the deaths of at least 17 construction workers on the Trans-Papua highway. The incident highlighted ongoing tensions and conflicts associated with the road's development.",0,"The attack on construction workers in the Nduga district raises concerns about security and stability in the region, which could impact nickel production and exports. However, the direct link to nickel prices is less significant compared to larger geopolitical events or changes in leadership that could lead to substantial shifts in mining policies. The incident may create temporary uncertainty but is unlikely to cause a dramatic shift in global nickel prices. 

Score: 0",2,85,0.23529411764705882,1.7088499253085074
Actress Hayley Atwell cancels appearance in ComicCon Asia 2018,2018. 3. 22.,"Organizers say that Hayley, known for her role as Peggy Carter in the Marvel Cinematic Universe, has canceled due to the 'political unrest in the country'.","On March 22, 2018, actress Hayley Atwell canceled her appearance at ComicCon Asia 2018 due to political unrest in Indonesia. Atwell is widely recognized for her role as Peggy Carter in the Marvel Cinematic Universe, and her decision to withdraw from the event highlights the impact of conflicts and instability in the region.",0,"The cancellation of an event by a celebrity due to political unrest in Indonesia indicates instability, but it does not directly affect nickel production, exports, or demand. The impact on the global nickel price is minimal as this event does not significantly alter market dynamics or perceptions regarding nickel supply or demand.  
Score: 0",0,211,1.033175355450237,2.7883838743990754
IS brings fight back to fertile recruiting grounds of South-East Asia,2018. 5. 15.,Fighters returning from the frontlines of IS battles in the Middle East are partly driving an increase in attacks in South-East Asia.,"On May 15, 2018, news reported that the Islamic State (IS) group was increasing its activities in South-East Asia, with fighters who had returned from Middle Eastern battlefronts contributing to a rise in attacks in the region. This resurgence marked a troubling trend for security in South-East Asia, highlighting the influence of conflicts beyond local borders on regional stability.",0,"The resurgence of the Islamic State (IS) group in Southeast Asia raises concerns about regional stability, which could lead to increased risks for nickel production and exports in Indonesia. However, the direct impact on nickel prices may be limited as the event does not specifically target nickel mining operations or indicate immediate disruptions. The market may react cautiously, but the overall effect on supply and demand dynamics for nickel is likely minimal compared to more significant geopolitical events. 

Score: 0",0,211,1.033175355450237,2.7883838743990754
Indonesia's democracy faces renewed challenges,2018. 5. 24.,"Two decades since the end of the Suharto era, Indonesia has seen a remarkable transformation into a democracy. But the recent rise in religious intolerance...","On May 24, 2018, significant concerns were raised regarding Indonesia's democracy, as it faced renewed challenges two decades after the end of the Suharto era. The news highlighted a troubling increase in religious intolerance within the country, which posed a threat to the democratic progress Indonesia had made.",0,"The concerns regarding Indonesia's democracy and increased religious intolerance do not directly impact nickel production or exports. While political instability can have long-term implications for investment and regulatory environments, the immediate effect on nickel prices is likely minimal. There are alternative sources of nickel globally, and the demand for nickel, particularly for electric vehicle batteries, remains strong. Therefore, this event has a negligible impact on the global nickel market.  
Score: 0",0,211,1.033175355450237,2.7883838743990754
"Twenty years on, victims of 1998 Indonesia violence still seek justice",2018. 5. 19.,"For the past decade, Indonesian housewife Maria Sanu has joined a small group of protesters at a silent weekly vigil outside the presidential palace in...","On May 19, 2018, a significant event related to historical violence in Indonesia was highlighted. The news titled ""Twenty years on, victims of 1998 Indonesia violence still seek justice"" discussed the ongoing struggle for justice by victims of the violence that occurred in 1998. Specifically, it focused on Maria Sanu, an Indonesian housewife who has been participating in weekly vigils outside the presidential palace for the past decade, seeking acknowledgment and justice for those affected by the atrocities of that period. This reflects the enduring impact of the conflict and the efforts of individuals and groups to address past injustices.",0,"The event primarily focuses on historical violence and the quest for justice, which does not directly impact current nickel production, exports, or demand. There are no immediate supply-side or demand-side implications for the nickel market stemming from this event. Therefore, it has minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
Economic and social rights must be addressed to stop violent conflict and sustain peace,2018. 5. 24.,"Violent conflict is surging after decades of relative decline. Deaths in war, refugee numbers, military spending and terrorist incidents have all reached...","On May 24, 2018, the focus of the news was on the urgent need to address economic and social rights in order to halt the surge of violent conflict and promote sustainable peace. It highlighted the troubling increase in violent conflicts after a long period of relative tranquility, marked by rising deaths from war, an increase in refugee populations, growing military spending, and a rise in terrorist incidents.",0,"The event primarily discusses the need to address economic and social rights to promote peace, without directly impacting nickel production or demand. While increased conflict could potentially disrupt mining operations, the focus on social rights and peace does not indicate immediate threats to nickel supply or significant changes in global demand. Therefore, the impact on nickel prices is minimal.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
Victims of 1998 Indonesia unrest still seek justice,2018. 6. 7.,"Mothers who lost children during the political turmoil of 1998 take part in a weekly ""Kamisan"" silent protest against violations of human rights outside...","On June 7, 2018, mothers who lost their children during the political unrest in Indonesia in 1998 participated in a weekly silent protest known as ""Kamisan."" This event aimed to seek justice for the victims and draw attention to the human rights violations that occurred during that tumultuous period.",0,"The silent protest for justice related to past human rights violations does not directly impact nickel production, exports, or demand. It is more of a social and political event rather than one that would influence the nickel market significantly. Therefore, it has minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
Indonesia’s Red Slaughter,2018. 6. 5.,"From 1965 to 1966, the Indonesian military and its allies massacred hundreds of thousands of Communists — often with the active aid of Western, democratic...","On June 5, 2018, an article titled ""Indonesia’s Red Slaughter"" highlighted the mass killings that occurred in Indonesia from 1965 to 1966. The summary pointed out that the Indonesian military, along with its allies, massacred hundreds of thousands of individuals labeled as Communists, often with the active support of Western, democratic nations. This event marked a significant and tragic period in Indonesia's history, reflecting the violent suppression of political opposition.",0,"The event described is a historical account of mass killings and political suppression, which does not have a direct or immediate impact on current nickel production, exports, or global demand. While it reflects a significant period in Indonesia's history, it does not influence the current market dynamics or perceptions regarding nickel supply or demand. Therefore, it has minimal or no impact on nickel prices relative to other events in this category.

Score: 0",0,211,1.033175355450237,2.7883838743990754
US Promoted Close Ties to Indonesian Military as Suharto’s Rule Came to an End in Spring 1998,2018. 7. 24.,"Edited by: Brad Simpson, Founder and Director of the National Security Archive's Indonesia and East Timor Documentation Project, Associate Professor of...","On July 24, 2018, a notable event was discussed regarding the historical context of US relations with Indonesia during a critical period in the late 1990s. The article highlights how the United States promoted close ties to the Indonesian military as the rule of President Suharto began to decline in the spring of 1998. This reflects the geopolitical dynamics and military engagements in Indonesia during a time of significant political upheaval.",0,"The historical context of US relations with Indonesia during the late 1990s, while significant politically, does not have a direct or immediate impact on current nickel production or prices. The event primarily reflects past geopolitical dynamics rather than current supply or demand changes in the nickel market. Therefore, it is assessed to have minimal impact on nickel prices.  
Score: 0",0,211,1.033175355450237,2.7883838743990754
Former Indonesian leader Yudhoyono endorses Joko rival for presidency,2018. 7. 30.,"JAKARTA (REUTERS) - Setting the stage for a re-run of Indonesia's 2014 election, former president Susilo Bambang Yudhoyono said on Monday (July 30) he would...","On July 30, 2018, former Indonesian president Susilo Bambang Yudhoyono endorsed a rival candidate for the presidency, indicating potential political rivalry ahead of the re-run of the 2014 election.",0,"The endorsement of a rival candidate by former president Susilo Bambang Yudhoyono introduces political uncertainty, but it does not directly impact nickel production or demand. The event is more about political rivalry than immediate changes in mining policies or market dynamics, leading to minimal effects on nickel prices.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
Anger on campus: Behind the student protests that have rocked Indonesia,2019. 11. 7.,"Thousands of chanting students, clad in the yellow, red and green jackets of their universities, swirled in front of him, watched closely by a line of riot...","On November 7, 2019, significant student protests erupted across Indonesia, fueled by widespread anger regarding various issues. Thousands of students, identifiable by their university jackets in yellow, red, and green, gathered to voice their frustration. The protests were met with a strong police presence, as they were closely monitored by riot police.",0,"The student protests, while significant in the context of social and political unrest, are unlikely to have a direct and substantial impact on nickel production or exports. The protests do not indicate an immediate threat to mining operations or a shift in government policy that would affect nickel supply. Additionally, the global nickel market is influenced by broader economic factors and demand for electric vehicle batteries, which may not be directly affected by these protests. Therefore, the impact on nickel prices is minimal.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
Urban unrest propels global wave of protests,2019. 11. 14.,"From Santiago and La Paz to Beirut and Jakarta, many of the cities now gripped by protest share a common problem: They've grown too much, too fast.","On November 14, 2019, urban unrest fueled a global wave of protests, affecting cities such as Santiago, La Paz, Beirut, and Jakarta. These cities, including Jakarta, are experiencing significant unrest due to rapid growth and associated challenges.",0,"The urban unrest in Jakarta may create uncertainty regarding the stability of nickel production and exports in Indonesia, a major supplier of nickel. However, the unrest is not directly linked to significant changes in mining operations or policies, and the global nickel market may have alternative sources to mitigate any potential supply disruptions. Therefore, the impact on nickel prices is likely to be minimal.  
Score: 0",0,211,1.033175355450237,2.7883838743990754
Anger on campus: Behind the student protests that have rocked Indonesia,2019. 11. 10.,He was once a boy scout and member of a patriotic flag-raising team in high school. But with student protests sweeping Jakarta and other cities in recent...,"On November 10, 2019, significant student protests erupted across Jakarta and other cities in Indonesia. These demonstrations reflected widespread anger and discontent among students, marking a notable moment of civil unrest in the country. The protests were driven by various socio-political issues and highlighted the growing activism within Indonesia's student population.",0,"The student protests in Indonesia, while significant in terms of civil unrest, are unlikely to have a direct and substantial impact on nickel production or exports. The protests may create temporary disruptions, but they do not indicate a fundamental change in government policy or mining operations that would drastically affect nickel supply or demand. Therefore, the overall impact on global nickel prices is minimal.  
Score: 0",0,211,1.033175355450237,2.7883838743990754
Indonesia’s Information Law has threatened free speech for more than a decade. This must stop,2019. 11. 24.,"More and more people are falling victim to Indonesia's Information Law, which is notorious for being used to criminalise political dissidents.","On November 24, 2019, a notable event in Indonesia highlighted concerns over free speech as the country's Information Law continued to be criticized for its impact on political dissent. The law has been increasingly used to criminalize individuals who express dissenting views, raising alarms about the erosion of free speech rights in Indonesia. Activists and advocates called for reforms to stop the law from being misused against citizens.",0,"The event primarily concerns free speech and political dissent rather than direct impacts on nickel production or demand. While it may reflect broader governance issues, it does not have a significant effect on nickel supply or global market dynamics. Therefore, the impact on nickel prices is minimal.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
Indonesia: Free Peaceful Papua Activists,2019. 11. 28.,Indonesian authorities should drop treason charges and release at least 22 activists detained since August 2019 for peaceful acts of free expression concerning...,"On November 28, 2019, the main event reported was the call for Indonesian authorities to drop treason charges against at least 22 activists. These activists had been detained since August 2019 for their peaceful expressions advocating for the rights and freedoms in Papua. The emphasis was on the need for the government to release these individuals in light of their peaceful activism.",0,"The event primarily concerns human rights and political activism rather than direct impacts on nickel production or demand. While there may be some indirect effects on investor sentiment regarding stability in Indonesia, the overall impact on nickel prices is likely minimal, as the event does not directly affect mining operations or global supply chains. 

Score: 0",0,211,1.033175355450237,2.7883838743990754
Three Indonesians Stand Trial over Remarks that Sparked Papua Unrest,2019. 11. 27.,Three people went on trial Wednesday in Indonesia's second-largest city on charges of hate speech and misinformation for allegedly provoking recent anti-...,"On November 27, 2019, three individuals stood trial in Indonesia's second-largest city. They faced charges of hate speech and misinformation, which were linked to their remarks that allegedly incited recent unrest in Papua.",0,"The trial of individuals for hate speech and misinformation related to unrest in Papua is unlikely to have a significant direct impact on nickel production or exports. While unrest can create uncertainty, the specific nature of this event does not suggest a substantial disruption to nickel supply or a change in global demand. Therefore, it is assessed to have minimal impact on nickel prices relative to other events in this category.  
Score: 0",1,107,0.45794392523364486,1.8081595658829117
'Even if the cost is death': Anger builds among Indonesians over pro-Papuan activism in Australia,2019. 12. 18.,Earlier this month activists around the world stood in solidarity with those in West Papua who want independence. But many Indonesians are speaking out...,"On December 18, 2019, significant tension arose in Indonesia regarding pro-Papuan activism in Australia as many Indonesians expressed their anger over global solidarity movements supporting West Papua's independence. This situation highlighted the divisive opinions within Indonesia on the issue of West Papua and its struggle for independence, reflecting the ongoing conflicts and activism surrounding the region.",0,"The tensions related to pro-Papuan activism primarily reflect internal political and social issues rather than direct impacts on nickel production or exports. While there may be some concern about stability in the region, the event does not significantly alter supply or demand dynamics for nickel. Therefore, the impact on global nickel prices is minimal.  
Score: 0",1,107,0.45794392523364486,1.8081595658829117
"Fighting to save an endangered ape, Indonesian activists fear for their lives",2019. 12. 18.,"Activists fighting a hydropower dam planned for the orangutan's habitat describe an atmosphere of fear and threats, both subtle and direct.","On December 18, 2019, Indonesian activists faced threats while opposing a hydropower dam project that threatens the habitat of the endangered orangutan. They described an atmosphere of fear, highlighting both subtle and direct threats to their safety as they fight to protect this crucial wildlife area.",0,"The event primarily concerns environmental activism and threats to wildlife rather than direct impacts on nickel production or geopolitical stability affecting nickel supply. While it highlights ongoing tensions related to resource extraction, it does not significantly alter the supply or demand dynamics of nickel in the global market. Therefore, the impact on nickel prices is minimal.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
Nickel mining resisted in Indonesia,2019. 12. 12.,"A looming export ban on raw nickel has prompted a wave of Chinese investment in nickel smelters, prompting local resistance.","On December 12, 2019, significant events in Indonesia regarding nickel mining unfolded. The country faced local resistance due to a looming export ban on raw nickel, which catalyzed a surge of Chinese investments in nickel smelters. This tension highlights the complexities of economic pressures and local opposition within the mining sector in Indonesia.",5,"The local resistance to the export ban on raw nickel indicates potential disruptions in nickel supply, which could lead to increased prices due to reduced availability. However, the surge in Chinese investments in nickel smelters suggests a long-term commitment to nickel production, potentially stabilizing supply in the future. The immediate impact may be mixed, but the overall sentiment could lean towards a positive outlook for nickel prices due to increased investment, despite local tensions. 

Score: +5",2,85,0.23529411764705882,1.7088499253085074
"In Indonesia, a tourism village holds off a nickel mine — for now",2019. 12. 8.,"For seven years on Kabaena, this weeklong festival has warded off miners looking to shave off the island's cap for an almost Manhattan-sized fount of nickel.","On December 8, 2019, a tourism village on Kabaena Island in Indonesia successfully defended itself against mining interests, managing to hold off nickel miners who sought to exploit the area for its significant nickel deposits. This resistance has been symbolized by a weeklong festival that has taken place for seven years, showcasing the village's commitment to preserving their land from industrial exploitation.",0,"The successful defense of the tourism village against nickel mining interests indicates a localized resistance to nickel extraction, which could limit production in that specific area. However, the overall impact on global nickel prices is likely minimal, as Indonesia has multiple mining operations and the global market can source nickel from other countries. The event highlights environmental concerns but does not significantly disrupt supply or demand dynamics in the broader market. 

Score: 0",0,211,1.033175355450237,2.7883838743990754
Papuans call for expulsion of Muslim cleric,2019. 3. 5.,"Ja'far Umar Thalib is threatening to turn Indonesian province into a battleground, Christian leaders say.","On March 5, 2019, events in Indonesia were marked by the Papuan community's call for the expulsion of Muslim cleric Ja'far Umar Thalib. The Christian leaders expressed concerns about his threats to incite conflict in the province, describing the potential situation as one that could transform the area into a battleground.",0,"The event primarily involves social and religious tensions rather than direct impacts on nickel production or exports. While it may create localized instability, it does not significantly affect the overall supply or demand dynamics of nickel in the global market. Therefore, the impact on nickel prices is minimal.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
"Poso is still reeling from religious conflict, but a women's school is forging a path to peace",2019. 3. 19.,"At the height of a vicious religious conflict in remote Indonesia, Martince fled to the forest, and narrowly escaped an encounter with armed men.","On March 19, 2019, a significant event in Indonesia involved ongoing tensions from religious conflicts, particularly highlighting the situation in Poso. The news focused on Martince, who fled to the forest during a violent period of this conflict and had a narrow escape from armed men. Additionally, the report mentioned a women's school that is working towards promoting peace amidst the strife in the region.",0,"The ongoing religious conflicts in Poso, while significant for local stability and humanitarian concerns, do not directly impact nickel production or exports. The event does not suggest any immediate disruptions to mining operations or changes in global demand for nickel. Therefore, the impact on nickel prices is minimal.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
Indonesian terror group leader Abu Umar jailed for 10 years over extremist teachings,2019. 3. 18.,"The chief agitator behind last year's child suicide bombings in Indonesia's second-biggest city, Surabaya, is sentenced to 10 years in prison.","On March 18, 2019, a significant event in Indonesia was the sentencing of Abu Umar, the leader of a terrorist group, to 10 years in prison. He was recognized as the chief instigator behind the child suicide bombings that occurred the previous year in Surabaya, Indonesia's second-largest city. This event highlights ongoing issues related to extremism and violence in the region.",0,"The sentencing of Abu Umar, while significant in terms of regional security and extremism, does not directly impact nickel production, exports, or global demand for nickel. The event is more related to social and political stability rather than economic factors affecting the nickel market. Therefore, it has minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
West Papuans call for mass boycott of Indonesian elections,2019. 4. 9.,"Indonesia will go to the polls on 17 April. But in West Papua, independence groups are calling for a boycott.","On April 9, 2019, West Papuan independence groups urged a mass boycott of the upcoming Indonesian elections scheduled for April 17. This call for a boycott reflects ongoing tensions and conflicts within the region regarding independence and self-determination.",0,"The call for a mass boycott by West Papuan independence groups indicates rising tensions that could disrupt nickel production and exports in the region. However, the immediate impact on global nickel prices may be limited, as the market may not react strongly unless the situation escalates significantly. The potential for increased instability could raise concerns, but without direct disruptions to production or significant changes in demand, the overall impact is likely to be minimal. 

Score: 0",1,107,0.45794392523364486,1.8081595658829117
"Indonesian Authorities Warn against Unrest as President, Rival Claim Poll Triumph",2019. 4. 18.,"Any post-poll unrest would be dealt with sternly, Indonesia's security minister and military chief both warned on Thursday.","On April 18, 2019, Indonesian authorities issued warnings about potential unrest following the presidential elections, as both the security minister and military chief stated that any disturbances would be addressed firmly.",0,"The warnings about potential unrest following the presidential elections indicate a risk to stability in Indonesia, which could affect nickel production and exports. However, the immediate impact on global nickel prices is likely to be minimal, as the situation does not directly disrupt mining operations or significantly alter demand. The market may react cautiously, but without substantial supply disruptions or changes in demand, the overall effect on nickel prices is limited. 

Score: 0",0,211,1.033175355450237,2.7883838743990754
"Shutting down social media does not reduce violence, but rather fuels it",2019. 4. 29.,Recent research suggests that the blackouts might have increased the potential for protest and violence in the wake of the attack.,"On April 29, 2019, a notable event related to Indonesia's social media policies was reported. The article titled ""Shutting down social media does not reduce violence, but rather fuels it"" discussed recent research indicating that blackouts of social media might have intensified the potential for protests and violence following an attack. This highlights the complex dynamics between social media availability and conflict in Indonesia.",0,"The event primarily discusses social media policies and their impact on violence, rather than directly affecting nickel production or demand. While social unrest can have indirect effects on the market, the specific nature of this event does not suggest a significant impact on nickel prices. Therefore, it is assessed as having minimal impact relative to other events in this category.  
Score: 0",2,85,0.23529411764705882,1.7088499253085074
