제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
CA denies plea of residents of Zambales to ban mining operations,2018. 1. 23.,"'A perusal of the motion for reconsideration reveals no new and meritorious arguments and yields mere rehashed arguments,' the appellate court says in its...","On January 23, 2018, the Court of Appeals (CA) denied a plea from residents of Zambales, Philippines, who sought to ban mining operations in the area. The decision was based on the court's finding that the motion for reconsideration presented no new or compelling arguments, only reiterating previous points.",5,"The Court of Appeals' decision to deny the plea to ban mining operations in Zambales is likely to have a positive impact on nickel production in the Philippines, as it allows mining activities to continue without interruption. This could lead to increased nickel supply from the region, which may stabilize or lower global nickel prices. However, the impact is not as significant as the lifting of a ban on open-pit mining, which directly facilitates major projects. Therefore, the score reflects a moderate positive impact on nickel prices.  
Score: +5",0,336,1.931547619047619,3.6819144903356413
The Philippines’ Investment Outlook for 2019,2018. 12. 14.,"The International Monetary Fund (IMF) projects a 6.6 percent economic growth outlook by 2019. On the other hand, the inflation forecast is estimated to reduce...","On December 14, 2018, the International Monetary Fund (IMF) projected a positive economic growth outlook of 6.6 percent for the Philippines in 2019. Additionally, the inflation forecast for the country was estimated to decline, suggesting optimism regarding the economic policies and regulations in place during that period.",0,"The positive economic growth outlook and declining inflation forecast from the IMF suggest a stable and potentially growing demand for nickel, as a stronger economy typically leads to increased industrial activity and demand for metals. However, this event does not directly impact nickel production or regulatory changes affecting supply. Therefore, while it may have a favorable influence on demand, it does not significantly alter the supply dynamics or regulatory landscape for nickel in the Philippines. Thus, the impact is moderate but not substantial enough to warrant a high score.

Score: 0",0,336,1.931547619047619,3.6819144903356413
Philippines to allow some halted mines to resume operations with conditions,2018. 11. 16.,"The nine mines, six of which are nickel operations, have been shut since 2017 as part of an environmental crackdown on the sector.","On November 16, 2018, the Philippines announced that it would permit the resumption of operations for some mines that had previously been halted due to an environmental crackdown. Among the nine mines allowed to reopen, six are involved in nickel production, highlighting a significant regulatory shift in the country's mining policies.",8,"The resumption of operations for several nickel mines in the Philippines represents a significant increase in potential nickel supply, which could lead to lower global nickel prices due to increased availability. This regulatory shift is likely to have a positive impact on production and exports, thereby influencing market dynamics favorably for nickel supply. Compared to the previous event regarding the mayor's appeal, which could restrict production, this event has a much more substantial positive effect on the nickel market. 

Score: +8",0,336,1.931547619047619,3.6819144903356413
The Guide to Employment Permits for Foreign Workers in Brunei,2018. 3. 1.,"In this article, we provide you with a brief explanation of the procedures and documents required for obtaining an employment permit in the country.","On March 1, 2018, an article titled ""The Guide to Employment Permits for Foreign Workers in Brunei"" was published, detailing the procedures and necessary documentation for securing an employment permit in Brunei. The article aims to inform readers about the regulatory framework surrounding foreign employment in the country.",0,"The event described pertains to employment permits in Brunei and does not directly relate to mining policies or regulations in the Philippines. As such, it has minimal relevance to the nickel market and does not impact nickel production, demand, or market dynamics. Therefore, it has a negligible effect on global nickel prices.  
Score: 0",0,336,1.931547619047619,3.6819144903356413
Duterte’s Mining Crackdown Is Keeping the Metals World in Suspense,2018. 3. 27.,The Philippines keeps pushing back the deadline for a review of nickel mines shut or suspended last year.,"On March 27, 2018, the key event in the Philippines related to mining policies was President Duterte's crackdown on the mining sector. The Philippines delayed the deadline for reviewing nickel mines that were either shut down or suspended the previous year, causing uncertainty and suspense in the global metals market.",5,"President Duterte's crackdown on the mining sector created significant uncertainty regarding the future of nickel production in the Philippines, which is a major supplier of nickel globally. The delay in reviewing mines that were shut down or suspended heightened concerns about potential supply disruptions, likely leading to increased volatility in nickel prices. This event is more impactful than the local mayor's appeal for a cease and desist order, as it affects broader national policy and has implications for the entire mining sector. 

Score: +5",0,336,1.931547619047619,3.6819144903356413
Philippines’ Duterte Warns Open-pit Mining Ban Could Continue Until 2019,2018. 4. 9.,Philippines President Rodrigo Duterte has threatened to ban all open-pit mining next year if companies do not conduct tree-planting projects. Nickel supply...,"On April 9, 2018, President Rodrigo Duterte of the Philippines issued a warning that the ban on open-pit mining could extend until 2019 if mining companies fail to undertake tree-planting projects. This announcement is significant as it directly impacts the country's nickel supply and highlights ongoing discussions regarding environmental policies and regulations in the mining sector.",-5,"The warning from President Duterte regarding the potential extension of the ban on open-pit mining indicates a significant regulatory risk for mining companies in the Philippines, which could lead to reduced nickel production if companies do not comply with environmental requirements. This uncertainty may negatively impact global nickel supply, potentially driving prices up. However, the impact is not as strong as the lifting of a ban, which would have a more immediate positive effect on production. Therefore, the score reflects a moderate negative impact on nickel prices due to the regulatory uncertainty.  
Score: -5",0,336,1.931547619047619,3.6819144903356413
DENR limits areas for mining activities,2018. 4. 25.,"MANILA, Philippines — The Department of Environment and Natural Resources (DENR) is limiting the areas to be mined and developed as the government moves...","On April 25, 2018, the Department of Environment and Natural Resources (DENR) in the Philippines announced new restrictions regarding mining activities. The government is implementing limitations on the areas designated for mining and development, reflecting a significant shift in policies and regulations concerning the mining industry in the country.",5,"The announcement of new restrictions by the DENR indicates a tightening of regulations on mining activities, which could lead to reduced nickel production and exports from the Philippines. This could create supply constraints in the global market, potentially increasing nickel prices. However, the impact may be moderated by the availability of nickel from other countries and the overall demand dynamics. Thus, while the event is significant, it may not be as impactful as the lifting of a ban on mining, which directly facilitates increased production. 

Score: +5",0,336,1.931547619047619,3.6819144903356413
Philippines mulls new mining limits,2018. 5. 6.,The Philippines is planning to limit the amount of land that miners can develop at any one time to boost environmental rehabilitation.,"On May 6, 2018, the Philippines considered implementing new mining limits aimed at enhancing environmental rehabilitation. The proposed regulations would restrict the area of land that mining companies could develop simultaneously.",5,"The proposed regulations to limit the area of land that mining companies could develop simultaneously indicate a tightening of mining operations, which could lead to reduced nickel production in the Philippines. This could create upward pressure on global nickel prices due to supply constraints. However, the impact may not be as significant as the lifting of a ban on open-pit mining, which directly facilitates increased production. Therefore, while the event is impactful, it does not reach the level of a major policy shift that would drastically alter market dynamics. 

Score: +5",0,336,1.931547619047619,3.6819144903356413
Nickel ore - a liquefaction risk,2018. 6. 21.,Liquefaction risks of nickel ore cargoes from Indonesia and the Philippines have been a long-standing prominent issue which require constant vigilance and...,"On June 21, 2018, a significant event highlighted the ongoing concerns regarding liquefaction risks associated with nickel ore cargoes sourced from Indonesia and the Philippines. The issue has been identified as a long-standing problem that necessitates continuous monitoring and vigilance to ensure maritime safety.",0,"The event highlights concerns about liquefaction risks associated with nickel ore cargoes, which could lead to increased scrutiny and potential regulatory changes affecting nickel exports from the Philippines. However, it does not directly impact production levels or demand for nickel. The ongoing nature of the issue suggests a moderate concern but not an immediate or significant impact on global nickel prices compared to more decisive regulatory changes. 

Score: 0",0,336,1.931547619047619,3.6819144903356413
"In Gina Lopez aftermath, mining firms still shedding ‘evil’ image",2018. 7. 21.,"In his last State of the Nation Address (Sona), President Duterte said he wanted to stop exporting mineral resources and close the mining sector for good...","On July 21, 2018, President Duterte, in his final State of the Nation Address, expressed a desire to halt the export of mineral resources and proposed a complete closure of the mining sector in the Philippines. This statement reflects ongoing concerns regarding the image of mining firms, particularly in the context of environmental and regulatory issues following the tenure of Gina Lopez.",8,"President Duterte's statement about halting mineral exports and potentially closing the mining sector raises significant concerns about the future of mining operations in the Philippines, a major nickel producer. This could lead to a decrease in nickel supply from the Philippines, which would likely drive up global nickel prices. The strong emphasis on environmental and regulatory issues suggests that the government may take further actions that could restrict mining activities, amplifying the impact on supply. Therefore, this event has a high potential impact on global nickel prices.  
Score: +8",0,336,1.931547619047619,3.6819144903356413
