topic,count,mean,std,keywords,summary
-1,1360,1.7889705882352942,3.0497993949425335,,Noise / 기타
0,1327,3.5162019593067066,3.711037068270488,"philippines, the, of, and, in, to, nickel, could, significant, score",philippines the of and in
1,400,1.0325,2.3226990932305966,"depression, minimal, tropical, be, is, to, severe, or, on, impact",depression minimal tropical be is
2,373,0.005361930294906166,0.10355607461569956,"disaster, does, it, or, directly, demand, response, focuses, rather, minimal",disaster does it or directly
3,267,0.6741573033707865,1.998732385311989,"earthquake, magnitude, location, is, overall, be, cause, relatively, may, limited",earthquake magnitude location is overall
4,222,1.6036036036036037,2.746546261588502,"earthquake, magnitude, cause, unlikely, is, be, may, infrastructure, philippines, overall",earthquake magnitude cause unlikely is
5,142,3.0140845070422535,3.4083458592628184,"eruption, volcano, taal, volcanic, activity, evacuation, the, may, mayon, to",eruption volcano taal volcanic activity
6,111,7.405405405405405,2.443463928630004,"trami, tropical, by, supplier, storm, caused, loss, life, and, of",trami tropical by supplier storm
7,103,6.864077669902913,3.1717148936273043,"mangkhut, typhoon, would, destruction, caused, scale, and, super, given, leading",mangkhut typhoon would destruction caused
8,75,6.666666666666667,3.0194564274248297,"goni, typhoon, super, of, destruction, caused, and, decrease, infrastructure, the",goni typhoon super of destruction
9,65,5.769230769230769,3.111316194400444,"yagi, storm, and, caused, life, given, by, lead, of, loss",yagi storm and caused life
10,62,3.774193548387097,3.6368755949403115,"carina, typhoon, intensification, of, the, and, monsoon, to, likely, southwest",carina typhoon intensification of the
11,57,0.9473684210526315,2.0126479770936716,"odette, typhoon, efforts, aid, recovery, ongoing, rather, than, relief, response",odette typhoon efforts aid recovery
12,56,5.071428571428571,3.6474506307688537,"pepito, super, typhoon, could, potential, of, damage, significant, lead, to",pepito super typhoon could potential
13,53,3.6792452830188678,3.906471873234409,"kristine, storm, tropical, severe, and, the, could, in, lead, of",kristine storm tropical severe and
14,42,-0.11904761904761904,0.7715167498104596,"fire, city, unlikely, cebu, tragic, does, or, affect, manila, community",fire city unlikely cebu tragic
15,39,7.0,1.8353258709644944,"vamco, typhoon, disrupted, caused, by, decrease, positive, supplier, and, of",vamco typhoon disrupted caused by
16,37,5.783783783783784,3.0380470255955103,"doksuri, typhoon, caused, and, by, could, the, of, supply, to",doksuri typhoon caused and by
17,36,-0.1388888888888889,0.8333333333333334,"spill, oil, environmental, local, primarily, affects, directly, environment, contamination, alter",spill oil environmental local primarily
18,36,6.75,2.4186773244895647,"nalgae, storm, disrupted, life, tropical, loss, caused, supplier, major, and",nalgae storm disrupted life tropical
19,35,4.257142857142857,3.319663848528476,"paeng, storm, tropical, of, severe, and, extent, the, damage, philippines",paeng storm tropical of severe
20,33,0.0,0.0,"niño, el, agricultural, phenomenon, agriculture, water, state, calamity, primarily, affects",niño el agricultural phenomenon agriculture
21,32,1.90625,3.155735945043361,"mindanao, earthquake, magnitude, may, region, location, mining, tsunami, operations, overall",mindanao earthquake magnitude may region
22,32,0.0,0.0,"dengue, health, public, outbreak, labor, affects, primarily, directly, epidemic, unlikely",dengue health public outbreak labor
23,31,1.1935483870967742,2.2571273016633286,"kristine, storm, tropical, severe, indicates, affected, food, reflects, on, without",kristine storm tropical severe indicates
24,31,2.774193548387097,4.240359084003419,"haiyan, current, typhoon, historical, recovery, ongoing, indicate, context, past, anniversary",haiyan current typhoon historical recovery
25,30,3.7666666666666666,3.865705389824674,"ulysses, typhoon, caused, supplier, damage, displacement, of, major, by, severe",ulysses typhoon caused supplier damage
26,30,6.466666666666667,2.9211869733608857,"usagi, typhoon, threat, evacuations, situation, lead, substantial, this, storms, to",usagi typhoon threat evacuations situation
27,29,1.206896551724138,2.8205788456681264,"mayon, volcano, eruption, mount, evacuation, subsequent, volcanic, activity, region, if",mayon volcano eruption mount evacuation
28,28,4.535714285714286,3.6053678381931085,"kammuri, typhoon, of, and, philippines, damage, landfall, likely, disrupted, destruction",kammuri typhoon of and philippines
29,27,0.0,0.0,"health, covid, 19, pandemic, economic, primarily, public, affects, swine, african",health covid 19 pandemic economic
30,27,1.8518518518518519,2.864956754992509,"state, calamity, declaration, indicates, be, of, affected, specific, may, however",state calamity declaration indicates be
31,27,1.2962962962962963,2.628465694817398,"davao, local, flooding, region, if, overall, city, is, may, as",davao local flooding region if
32,27,2.962962962962963,3.513506701961638,"mindanao, flooding, landslides, in, heavy, and, disrupt, resulting, to, risk",mindanao flooding landslides in heavy
33,25,1.52,2.694438717061496,"evacuation, families, scale, 000, larger, compared, small, over, preemptive, widespread",evacuation families scale 000 larger
34,24,1.0416666666666667,2.0742555849952673,"niño, el, drought, water, agricultural, phenomenon, affects, declaration, cebu, primarily",niño el drought water agricultural
35,23,2.130434782608696,3.58411074080748,"regulatory, scrutiny, mine, environmental, ruling, marcopper, court, mining, increased, mines",regulatory scrutiny mine environmental ruling
36,23,0.8695652173913043,1.9377669394079493,"leon, storm, tropical, yet, still, intensification, without, potential, confirmed, uncertain",leon storm tropical yet still
37,23,4.043478260869565,3.5094451888577547,"nika, intensification, potential, storm, luzon, for, tropical, this, of, could",nika intensification potential storm luzon
38,23,0.43478260869565216,1.440520327600152,"landslide, tragic, while, cebu, indicate, or, unlikely, does, in, disruption",landslide tragic while cebu indicate
39,22,0.0,0.0,"aid, humanitarian, help, dynamics, does, response, announcement, directly, assistance, it",aid humanitarian help dynamics does
40,21,6.571428571428571,2.9928486191491306,"megi, disrupted, storm, tropical, by, floods, supplier, devastation, life, loss",megi disrupted storm tropical by
41,21,3.4285714285714284,2.9760952365713798,"maring, tropical, storm, flooding, these, severe, however, overall, be, of",maring tropical storm flooding these
42,20,0.0,0.0,"classes, suspension, adverse, daily, weather, suggest, does, work, suspensions, conditions",classes suspension adverse daily weather
43,20,1.95,2.3725402775129134,"cotabato, north, south, if, other, disrupt, compensate, be, countries, as",cotabato north south if other
44,20,0.0,0.0,"wind, signal, cyclone, issuance, no, panic, weather, indication, stage, adverse",wind signal cyclone issuance no
45,19,3.9473684210526314,3.9083057456101864,"rey, kong, storm, tropical, into, winds, developing, trami, raises, potential",rey kong storm tropical into
46,19,5.842105263157895,3.0598322011860724,"mawar, super, typhoon, poses, threat, producer, potential, could, lead, philippines",mawar super typhoon poses threat
47,18,2.611111111111111,3.550292264504247,"karding, super, typhoon, sector, ecija, indicates, damage, agricultural, nueva, on",karding super typhoon sector ecija
48,18,1.8333333333333333,2.7493314695415982,"aghon, typhoon, be, appears, from, may, while, away, overall, diminishing",aghon typhoon be appears from
49,17,0.23529411764705882,0.6642111641550714,"davao, oro, de, earthquake, earthquakes, if, seismic, especially, may, magnitude",davao oro de earthquake earthquakes
50,17,0.7058823529411765,1.6868871436151613,"negros, occidental, local, scale, other, flooding, as, impactful, be, may",negros occidental local scale other
51,17,0.0,0.0,"marce, intensification, cautiously, storm, react, yet, tropical, at, without, reported",marce intensification cautiously storm react
52,17,5.764705882352941,3.133077795170148,"yinxing, typhoon, key, northern, region, given, this, of, storms, disruption",yinxing typhoon key northern region
53,17,1.411764705882353,2.6471405216150634,"kanlaon, eruption, mt, volcano, if, subsequent, local, some, as, negros",kanlaon eruption mt volcano if
