제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
ICC to open separate initial examinations of Philippines ‘war on drugs;’ Venezuela protests,2018. 2. 8.,The Prosecutor of the International Criminal Court (ICC) announced on Thursday that she will open preliminary examinations into the so-called “war on drugs”...,"On February 8, 2018, the International Criminal Court (ICC) announced the initiation of separate preliminary examinations concerning the Philippines' controversial ""war on drugs,"" as well as ongoing protests in Venezuela. This move indicates a significant international scrutiny of the human rights implications associated with the anti-drug campaign in the Philippines.",0,"The ICC's examination of the Philippines' ""war on drugs"" primarily focuses on human rights issues and does not directly impact mining operations or nickel production. While it may create some international scrutiny, it is unlikely to affect nickel supply or demand significantly. Therefore, the event has minimal impact on nickel prices relative to other events in this category.  
Score: 0",0,208,0.9855769230769231,2.772324170811184
Gina Lopez fights Philippine mining,2018. 1. 22.,"The Philippines' maverick environmentalist fighting the powerful mining industry, speaks with Veronique Mistiaen.","On January 22, 2018, Gina Lopez, a prominent environmentalist in the Philippines, was actively opposing the influential mining industry within the country. In her fight against mining practices, she engaged in discussions with Veronique Mistiaen, highlighting her efforts to bring attention to environmental issues associated with mining in the Philippines.",0,"While Gina Lopez's activism against mining practices raises awareness about environmental issues, it does not result in any immediate legislative changes or operational halts for mining companies. Therefore, the impact on nickel production and prices is minimal, as there are no concrete actions taken that would significantly alter the supply dynamics or market perceptions. 

Score: 0",1,127,0.07874015748031496,0.8873565094161138
Philippines: Boracay island shuts down for 6 months as clean-up begins,2018. 11. 5.,Assault-rifle wielding police escort tourists off island president says has become 'cesspool',"On November 5, 2018, Boracay island in the Philippines was shut down for a six-month clean-up due to severe environmental concerns. The president labeled the island a ""cesspool,"" and armed police escorted tourists off the island as the government initiated this significant sanitation effort.",0,"The shutdown of Boracay island primarily relates to environmental concerns and tourism rather than directly impacting nickel mining operations or production. While it highlights the government's focus on environmental issues, it does not specifically affect nickel supply or demand. Therefore, the impact on global nickel prices is minimal.  
Score: 0",1,127,0.07874015748031496,0.8873565094161138
"High rises, sharp falls: Women tell the story of Philippine politics",2018. 11. 21.,"THE HISTORY of the Philippines' political landscape is marked, among other things, by recurring patterns of women rising to power in times of political...","On November 21, 2018, an article titled ""High rises, sharp falls: Women tell the story of Philippine politics"" highlighted the recurring patterns of women gaining power in the political landscape of the Philippines, particularly in times of political turmoil. The piece reflects on the significant role women have played in shaping the history of the country's politics amidst ongoing challenges.",0,"The event discussed does not directly relate to mining or nickel production, nor does it indicate any significant changes in legislation or operations that would impact nickel supply or demand. Therefore, it has minimal or no impact on nickel prices.  
Score: 0",1,127,0.07874015748031496,0.8873565094161138
Terror threat lingers despite Marawi victory,2018. 12. 18.,"The battle against ""Islamic State"" fighters turned Marawi into a ghost town. But more than a year after the Philippine government regained control, IS-inspired...","On December 18, 2018, despite the Philippine government's victory in the battle for Marawi against ""Islamic State"" fighters, the region continued to face significant security threats. The conflict had transformed Marawi into a ghost town, and more than a year later, concerns remained about ongoing dangers linked to IS-inspired groups in the area.",0,"The ongoing security threats in Marawi do not directly impact nickel production or exports, as the region is not a major nickel-producing area. Additionally, the conflict does not significantly alter global demand for nickel or the supply dynamics from other countries. Therefore, the event has minimal impact on nickel prices relative to other events in this category.  
Score: 0",3,6,0.0,0.0
ML extension normalizes killings in Mindanao—Suara Bangsamoro,2018. 12. 12.,"DAVAO CITY, Philippines — The spate of killings in Mindanao is expected to continue after Congress and Senate approved on Wednesday the extension of martial...","On December 12, 2018, a significant event occurred regarding the ongoing violence in the Mindanao region of the Philippines. The title highlights concerns from Suara Bangsamoro, indicating that the recent pattern of killings is likely to persist. This expectation follows the approval of a martial law extension by both Congress and the Senate, which suggests that governmental actions may contribute to the normalization of violence in the area.",0,"The ongoing violence in the Mindanao region and the extension of martial law may create instability that could disrupt nickel production and exports in the Philippines. However, the event does not directly relate to mining operations or legislative actions affecting the industry, leading to a minimal impact on global nickel prices. The situation may cause some concern among investors, but it is not significant enough to warrant a strong reaction in the nickel market. 

Score: 0",0,208,0.9855769230769231,2.772324170811184
UN rights chief denounces ‘unacceptable’ charges of terrorism by Philippine’s Duterte against UN expert,2018. 3. 9.,Flinging terrorism charges at a United Nations human rights expert is just one act in a litany of profane and inflammatory comments made by Philippine...,"On March 9, 2018, the UN rights chief condemned Philippine President Duterte for making ""unacceptable"" terrorism charges against a UN human rights expert. This incident was part of a series of inflammatory comments made by the Philippine leadership, raising concerns about human rights and the treatment of experts by the government.",0,"The event primarily concerns human rights issues and political tensions rather than direct actions affecting mining operations or environmental regulations. While it may contribute to a negative perception of the Philippines, it does not have a direct impact on nickel production or legislative changes that would significantly affect supply or demand. Therefore, the impact on nickel prices is minimal.  
Score: 0",0,208,0.9855769230769231,2.772324170811184
Actress Hayley Atwell cancels appearance in ComicCon Asia 2018,2018. 3. 22.,"Organizers say that Hayley, known for her role as Peggy Carter in the Marvel Cinematic Universe, has canceled due to the 'political unrest in the country'.","On March 22, 2018, actress Hayley Atwell announced the cancellation of her appearance at ComicCon Asia 2018. The cancellation was attributed to the political unrest in the Philippines, highlighting the impact of the ongoing wars and conflicts in the country on public events.",0,"The cancellation of a public event due to political unrest indicates instability but does not directly affect nickel production or demand. The impact on global nickel prices is minimal as it does not involve significant changes in mining operations or legislative actions related to nickel.  
Score: 0",1,127,0.07874015748031496,0.8873565094161138
Actress Hayley Atwell cancels appearance in ComicCon Asia 2018,2018. 3. 21.,ComicCon Asia announces that Hayley Atwell has cancelled her appearance in the event due to 'political unrest in the country.',"On March 21, 2018, actress Hayley Atwell canceled her appearance at ComicCon Asia due to the political unrest in the Philippines.",0,"The cancellation of an actress's appearance at a convention due to political unrest does not have a direct impact on nickel production, demand, or market dynamics. It is a minor event that is unlikely to influence global nickel prices significantly.  
Score: 0",1,127,0.07874015748031496,0.8873565094161138
Karapatan to Cayetano: file diplomatic protest vs US gov't for alleged torture of young Moro leader,2018. 4. 22.,Karapatan dared Foreign Affairs Secretary Alan Peter Cayetano to file a diplomatic protest against the US Government for allegedly torturing Jerome Aladdin...,"On April 22, 2018, a significant event involved the Philippine human rights group Karapatan challenging Foreign Affairs Secretary Alan Peter Cayetano to submit a diplomatic protest to the U.S. government. This demand was in response to allegations of torture against a young Moro leader, Jerome Aladdin.",0,"The event primarily concerns human rights issues and diplomatic relations rather than direct impacts on mining operations or nickel production. It does not significantly affect the supply or demand dynamics of nickel, nor does it alter market perceptions regarding nickel production in the Philippines. Therefore, the impact on global nickel prices is minimal.  
Score: 0",0,208,0.9855769230769231,2.772324170811184
"Driven from home, Philippine indigenous people long for their land",2018. 4. 18.,"MADAUM, Philippines (Thomson Reuters Foundation) - As Philippine military battalions closed in, shutting down schools, rounding up men and harassing women,...","On April 18, 2018, significant events involving indigenous communities in the Philippines were reported. The article titled ""Driven from home, Philippine indigenous people long for their land"" highlights the struggles of indigenous people in MADAUM as they faced increasing pressure from Philippine military forces. The military's actions included shutting down schools, detaining men, and harassing women, which has led to displacement and a longing for their ancestral lands.",0,"The reported military actions against indigenous communities in MADAUM indicate a significant human rights issue but do not directly impact nickel production or legislative actions regarding mining. While the situation may create local instability, it does not lead to immediate changes in mining operations or regulations that would affect nickel supply or demand on a global scale. Therefore, the impact on nickel prices is minimal.  
Score: 0",1,127,0.07874015748031496,0.8873565094161138
Mindanao protest rallies mark ML’s 1-year anniversary,2018. 5. 23.,"DAVAO CITY, Philippines — Protest actions were launched in key cities of Mindanao to mark the first year of Marawi siege and the declaration of Martial Law...","On May 23, 2018, protest rallies were held in key cities of Mindanao to commemorate the one-year anniversary of the Marawi siege and the declaration of Martial Law in the region.",0,"The protest rallies commemorating the Marawi siege and the declaration of Martial Law in Mindanao are unlikely to have a direct impact on nickel production or exports, as they do not specifically target mining operations or legislation affecting the nickel industry. The event may create some local unrest, but it does not significantly alter the supply or demand dynamics for nickel on a global scale. Therefore, the impact on global nickel prices is minimal.  
Score: 0",0,208,0.9855769230769231,2.772324170811184
