제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
Rusal Readies for Billionaire Shoot Out Over Norilsk Nickel,2018. 2. 23.,United Co. Rusal is readying for a potential shoot out deal for MMC Norilsk Nickel PJSC that could resolve a dispute between billionaire shareholders going...,"On February 23, 2018, a significant event involved United Co. Rusal preparing for a potential resolution to a dispute among billionaire shareholders over MMC Norilsk Nickel PJSC. This preparation indicates heightened tensions and possible negotiations or conflicts regarding the control and future direction of one of the world's largest nickel producers, which is critical given Russia's role in nickel production and its implications for the global metals market.",0,"The event indicates potential instability and uncertainty regarding the control of MMC Norilsk Nickel, a major player in the nickel market. While it suggests possible negotiations, the lack of immediate supply disruptions or regulatory changes means the impact on nickel prices is likely to be limited. Therefore, the event does not significantly alter market perceptions or supply dynamics in a way that would lead to a substantial price change. 

Score: 0",1,27,0.9259259259259259,2.0367003088692623
Is Norilsk Nickel too big to sanction?,2018. 4. 19.,Russian metal producer's size may be key in White House's decision.,"On April 19, 2018, discussions arose regarding the possibility of sanctions against Norilsk Nickel, a major Russian metal producer. The size and significance of Norilsk Nickel may play a crucial role in the White House's considerations about imposing sanctions. This situation highlights the geopolitical implications of Russia's nickel production and its position in global metal markets amidst international regulatory scrutiny.",3,"The discussions about potential sanctions against Norilsk Nickel, a key player in the nickel market, could create significant uncertainty regarding future nickel supply from Russia. This uncertainty may lead to increased speculation and volatility in nickel prices, as market participants react to the possibility of reduced exports. However, without concrete sanctions being imposed, the immediate impact may be limited compared to more severe events. Therefore, while the event raises concerns, it does not reach the level of a major disruption that would cause a dramatic price surge. 

Score: +3",4,7,3.5714285714285716,1.9880595947760098
Nickel prices jump by 10 per cent in biggest one-day move since 2008,2018. 4. 18.,Nickel prices jumped by 10 per cent in the biggest one-day move since 2008 on concerns about Russian supplies of the metal following US sanctions.,"On April 18, 2018, nickel prices experienced a significant surge of 10 percent, marking the largest one-day increase since 2008. This dramatic rise was attributed to growing concerns regarding the stability of Russian supplies of nickel in light of newly imposed US sanctions. The event highlighted the impact of geopolitical tensions on commodity markets, particularly in relation to Russia's role as a major nickel producer.",7,"The event on April 18, 2018, resulted in a significant 10 percent surge in nickel prices due to concerns over the stability of Russian supplies amid newly imposed US sanctions. This reflects a strong market reaction to geopolitical tensions affecting a major nickel producer, indicating a high level of sensitivity in the market to Russian policy and regulation. The impact is notable but not as extreme as the largest daily percentage gain in history, which would score higher. Therefore, it warrants a positive score reflecting significant concern but not the maximum impact.  
Score: +7",0,34,5.323529411764706,3.649164190193081
Polluter Norilsk Nickel forced to clean up its act,2018. 4. 30.,Miner plans $1bn plant to convert sulphur dioxide into gypsum to meet environmental rules.,"On April 30, 2018, Norilsk Nickel, a major Russian mining company, announced plans to invest $1 billion in a new plant designed to convert sulphur dioxide emissions into gypsum. This decision was made in response to environmental regulations aimed at reducing pollution and adhering to stricter environmental standards. The move underscores the company's efforts to improve its environmental performance and comply with governmental policies regarding emissions control.",0,"The investment by Norilsk Nickel in a new plant to reduce emissions indicates a commitment to improving environmental standards, which may enhance the company's operational stability and long-term production capabilities. However, this event is more focused on compliance with regulations rather than directly impacting nickel supply or causing significant market disruptions. As such, it is unlikely to have a substantial effect on global nickel prices compared to more impactful events related to supply disruptions or geopolitical tensions. Therefore, the impact is minimal.  
Score: 0",1,27,0.9259259259259259,2.0367003088692623
A Manmade Volcano over Norilsk,2018. 6. 7.,Sulfur dioxide emissions from ore processing facilities in Norilsk exceed that of many volcanoes.,"On June 7, 2018, significant concerns were raised regarding environmental regulations in Russia, specifically related to the nickel-producing city of Norilsk. Reports highlighted that sulfur dioxide emissions from ore processing facilities in Norilsk were alarmingly high, surpassing the emissions of several volcanoes. This raised awareness about the pollution levels and the urgent need for the Russian government to implement stricter policies and regulations to mitigate environmental damage and protect public health.",0,"The concerns regarding environmental regulations in Norilsk could lead to stricter policies that might limit nickel production or increase operational costs for producers. However, the immediate impact on global nickel prices may be moderate, as the market may not react as strongly to environmental issues compared to supply disruptions or geopolitical tensions. The event raises awareness but does not directly indicate an imminent supply crisis. Therefore, the impact is assessed as relatively low.  
Score: 0",1,27,0.9259259259259259,2.0367003088692623
Norilsk Nickel cautiously opening the conversation with environmentalists,2018. 11. 20.,"Norilsk Nickel and activists still feel a divide. The company is fatigued by complaints from environmentalists, who, for their part, are wary of trusting the...","On November 20, 2018, Norilsk Nickel initiated discussions with environmentalists, reflecting ongoing tensions and a divide between the company and activists. The company expressed fatigue over continuous complaints regarding its environmental practices, while environmentalists remained skeptical and hesitant to trust Norilsk Nickel's intentions. This event underscores the complex relationship between a major nickel producer and the growing concerns about environmental regulations and practices in Russia.",0,"The discussions between Norilsk Nickel and environmentalists highlight ongoing tensions regarding environmental practices, which could lead to increased regulatory scrutiny and potential operational disruptions. However, the event does not indicate immediate supply disruptions or significant changes in production levels, and it is unlikely to have a substantial impact on global nickel prices compared to more severe geopolitical events. Therefore, the impact is minimal.  
Score: 0",1,27,0.9259259259259259,2.0367003088692623
Meeting with Norilsk Nickel CEO Vladimir Potanin,2018. 12. 10.,"President of Russia Vladimir Putin: Mr Potanin, nature protection is among your priorities, as far as I remember. I know that you are working on this.","On December 10, 2018, a significant event involved a meeting between Russian President Vladimir Putin and Norilsk Nickel CEO Vladimir Potanin. During this meeting, President Putin emphasized the importance of nature protection, indicating that it is a priority for Potanin and his company. This discussion suggests a focus on environmental regulations and policies in relation to nickel production in Russia, highlighting the government's interest in ensuring sustainable practices in the mining sector.",0,"The meeting between President Putin and Norilsk Nickel's CEO indicates a potential shift towards stricter environmental regulations in nickel production. While this could lead to increased operational costs and possibly reduced output in the long term, the immediate impact on global nickel prices is likely minimal. The focus on sustainability may not directly disrupt supply or demand in the short term, especially given that other sources of nickel could mitigate any potential supply constraints from Russia. Therefore, the event does not significantly alter market perceptions or lead to immediate price fluctuations. 

Score: 0",-1,31,1.2580645161290323,2.954857491605801
Abramovich trims Nornickel stake in $551 million share sale,2019. 3. 13.,Russian billionaire Roman Abramovich sold $551 million worth of shares in mining giant Norilsk Nickel on Tuesday during an accelerated bookbuilding deal...,"On March 13, 2019, Russian billionaire Roman Abramovich sold $551 million worth of shares in Norilsk Nickel, a major player in the nickel industry. This sale took place during an accelerated bookbuilding deal, indicating a strategic move in the financial activities surrounding the mining giant, which is significant for Russia's nickel production.",0,"The sale of shares by Roman Abramovich in Norilsk Nickel, while significant, does not directly indicate a change in production or export levels of nickel. It reflects financial maneuvering rather than a policy or regulatory change that would impact supply or demand dynamics. Therefore, the event is likely to have minimal impact on global nickel prices compared to more significant events related to supply disruptions or regulatory changes. 

Score: 0",1,27,0.9259259259259259,2.0367003088692623
Nornickel to invest $1.4bn in two Russian projects,2019. 3. 29.,Russian company Norilsk Nickel (Nornickel) has announced plans to invest up to RUB90bn ($1.4bn) over the next four years in two major projects.,"On March 29, 2019, the Russian company Norilsk Nickel (Nornickel) announced its intention to invest up to RUB90 billion (approximately $1.4 billion) in two significant projects over the next four years. This investment reflects the company's commitment to enhancing its operations and potentially expanding its influence in the nickel market, aligning with broader strategies regarding resource management and economic development in Russia.",0,"The announcement of Norilsk Nickel's significant investment indicates a commitment to enhancing nickel production capabilities, which could lead to increased supply in the future. However, the investment itself does not suggest immediate disruptions or changes in the current market dynamics. While it reflects positively on the company's long-term strategy, it is unlikely to have a substantial immediate impact on global nickel prices compared to more disruptive events. Therefore, the score reflects a minimal impact on prices.  
Score: 0",1,27,0.9259259259259259,2.0367003088692623
Potanin says smelter in Nikel will be closed,2019. 10. 20.,"Nornickel has hinted about it earlier, but now it seems more real. The days of the bad-polluting nickel-smelter in Russia's border-town to Norway are...","On October 20, 2019, key events in Russia's nickel industry included the announcement by Nornickel's CEO, Vladimir Potanin, regarding the impending closure of the nickel smelter located in the town of Nikel, which is near the border with Norway. This development followed earlier indications from Nornickel about the potential closure, highlighting ongoing concerns related to pollution and environmental regulations in the region.",5,"The closure of the nickel smelter in Nikel by Nornickel raises concerns about supply disruptions in the nickel market, particularly given that Nornickel is one of the largest nickel producers globally. This event could lead to a decrease in nickel production, potentially tightening supply and increasing prices. However, the impact may be moderated by the fact that the closure is related to environmental regulations rather than geopolitical tensions, which typically have a more pronounced effect on prices. Overall, while the event is significant, it does not reach the level of dramatic price surges seen in more severe supply disruption scenarios. 

Score: +5",1,27,0.9259259259259259,2.0367003088692623
