topic,count,mean,std,keywords,summary
-1,187,0.5454545454545454,1.7906021639331042,,Noise / 기타
0,139,1.1726618705035972,2.368048354242024,"the, nickel, to, in, production, and, impact, on, russia, could",the nickel to in production
1,93,2.096774193548387,2.859250875320744,"zaporizhzhia, the, nuclear, plant, and, power, could, to, nickel, lead",zaporizhzhia the nuclear plant and
2,56,0.125,0.7642584046583387,"norilsk, environmental, regulatory, the, and, to, immediate, scrutiny, nickel, operational",norilsk environmental regulatory the and
3,54,2.4444444444444446,2.8262026437691614,"chernobyl, nuclear, the, and, of, safety, nickel, to, direct, could",chernobyl nuclear the and of
4,44,0.20454545454545456,0.6675029990193218,"wildfires, to, do, in, nickel, the, or, is, global, impact",wildfires to do in nickel
5,35,0.0,0.0,"oil, environmental, nickel, or, the, is, to, concerns, tankers, impact",oil environmental nickel or the
6,23,0.08695652173913043,0.41702882811414954,"arctic, spill, environmental, diesel, or, it, is, nickel, concerns, the",arctic spill environmental diesel or
7,23,0.0,0.0,"fire, nickel, or, the, at, is, to, it, impact, in",fire nickel or the at
8,22,0.0,0.0,"mine, coal, mining, nickel, gold, kazakhstan, in, is, the, it",mine coal mining nickel gold
9,21,0.6190476190476191,1.5961262630566062,"drone, on, nickel, the, production, may, is, supply, to, impact",drone on nickel the production
10,16,0.0,0.0,"philippines, landslide, in, the, global, disaster, russian, nickel, local, russia",philippines landslide in the global
11,15,0.0,0.0,"crash, or, tragic, nickel, fighter, does, plane, no, it, not",crash or tragic nickel fighter
12,13,0.0,0.0,"environmental, siberia, or, disaster, nickel, primarily, implications, directly, local, compared",environmental siberia or disaster nickel
13,12,0.0,0.0,"submarine, fire, military, or, the, it, russian, is, on, nickel",submarine fire military or the
14,11,0.0,0.0,"kerch, strait, environmental, nickel, it, the, oil, primarily, or, is",kerch strait environmental nickel it
15,11,-0.18181818181818182,0.6030226891555273,"oil, spill, it, or, nickel, the, environmental, and, demand, tankers",oil spill it or nickel
16,11,0.0,0.0,"kamchatka, marine, environmental, life, or, nickel, disaster, it, ecological, is",kamchatka marine environmental life or
17,10,0.3,0.9486832980505138,"direct, production, nickel, or, on, event, the, highlights, demand, and",direct production nickel or on
18,9,0.0,0.0,"test, missile, explosion, at, nickel, site, the, global, is, safety",test missile explosion at nickel
19,8,0.25,0.7071067811865476,"flooding, as, nickel, in, have, global, is, or, the, catastrophic",flooding as nickel in have
20,7,0.0,0.0,"dam, kakhovka, nickel, environmental, the, or, production, to, it, of",dam kakhovka nickel environmental the
21,7,0.0,0.0,"black, sea, spill, oil, environmental, along, impacting, or, affects, the",black sea spill oil environmental
22,6,0.0,0.0,"forest, chernobyl, exclusion, the, fires, zone, and, anxiety, is, actions",forest chernobyl exclusion the fires
23,6,0.0,0.0,"stream, nord, gas, pipeline, energy, correlation, nickel, europe, pipelines, direct",stream nord gas pipeline energy
24,5,0.0,0.0,"japan, expected, in, storm, not, nickel, the, or, global, to",japan expected in storm not
