제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
Russian airline grounds several jets after crash left 71 dead,2018. 2. 12.,"The plane crashed several minutes after taking off from Moscow's Domodedovo airport, and all 65 passengers and the crew of six were killed when the aircraft...","On February 12, 2018, a tragic event unfolded when a Russian airline crash resulted in the deaths of 71 individuals. The aircraft, which took off from Moscow's Domodedovo airport, crashed just minutes after departure, leading to the loss of all 65 passengers and the crew of six on board. This incident prompted the airline to ground several jets as a precautionary measure following the disaster.",0,"The airline crash, while tragic, does not have a direct impact on nickel production or exports from Russia, nor does it significantly alter global demand for nickel. The event is more related to transportation safety rather than industrial or economic factors that would influence nickel prices. Therefore, it is assessed to have minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",11,15,0.0,0.0
Kemerovo fire: Russia crowd condemns officials over disaster,2018. 3. 27.,"Thousands of people have protested in the Siberian city of Kemerovo, angry at Russian officials over the leisure complex fire that killed at least 64 people,...","On March 27, 2018, a significant disaster occurred in Kemerovo, Russia, where a devastating fire broke out in a leisure complex, resulting in the tragic deaths of at least 64 people. The incident led to widespread public outrage, with thousands of residents participating in protests to condemn Russian officials for their handling of the situation and perceived negligence.",0,"The Kemerovo fire disaster, while tragic and leading to public outrage, does not have a direct impact on nickel production or exports from Russia. The event is more of a social and political issue rather than one that affects the supply or demand dynamics of nickel in the global market. Therefore, it is likely to have minimal or no impact on nickel prices compared to other significant events that directly affect production or geopolitical stability. 

Score: 0",7,23,0.0,0.0
Trapped schoolchildren called their parents from burning Russian mall — to say goodbye,2018. 3. 26.,"With anger, sadness, and confusion, Russians struggled to come to grips Monday with a shocking failure of fire safety that allowed a blaze to storm through...","On March 26, 2018, a tragic fire occurred in a mall in Russia, where trapped schoolchildren made heartbreaking calls to their parents to say goodbye. The incident highlighted significant failures in fire safety regulations, leading to widespread anger, sadness, and confusion among the Russian population as they grappled with the devastating consequences of the blaze.",0,"The tragic fire in a mall in Russia, while deeply impactful on a human level, does not directly affect nickel production or exports. The event is more of a domestic tragedy and does not have significant implications for global nickel supply or demand. Therefore, it is unlikely to influence nickel prices in the global market. 

Score: 0",7,23,0.0,0.0
Fears of radioactive disaster as Russian proxies plan to flood nuclear test site in Donbas,2018. 4. 5.,"The decision threatens to cause a nuclear disaster in the region. Within the worst-case scenario, the forthcoming filling of the mine with water may pollute...","On April 5, 2018, there were significant concerns regarding a potential nuclear disaster in the Donbas region of Ukraine, where Russian proxies were reportedly planning to flood a nuclear test site. The action raised fears of a catastrophic event that could lead to the contamination of water and pollution in the area, highlighting the risks associated with nuclear materials and the ongoing conflict in the region.",0,"The potential flooding of a nuclear test site in the Donbas region raises significant safety and environmental concerns, which could lead to disruptions in the region and impact nickel production and exports from Russia. However, the event does not directly threaten major nickel production facilities or create immediate supply chain disruptions. The global demand for nickel may also remain stable as alternative sources exist. Overall, while the event raises concerns, its direct impact on nickel prices is likely to be minimal compared to more severe incidents. 

Score: 0",-1,187,0.5454545454545454,1.7906021639331042
Fire and ice: The world's biggest untapped fuel?,2018. 5. 31.,Methane hydrate buried below permafrost and the ocean floor could meet the world's energy needs for 100 years – but would extracting it be catastrophic for...,"On May 31, 2018, a significant event was highlighted regarding the potential implications of extracting methane hydrate, a fuel source buried beneath permafrost and ocean floors. The discussion focused on the large-scale energy potential of methane hydrate, which could theoretically meet global energy demands for a century. However, concerns were raised about the environmental risks and catastrophic consequences that extraction might entail, particularly in the context of disasters related to energy sourcing in regions like Russia, a major producer of nickel.",0,"The event discusses the potential of methane hydrate extraction and its implications for energy sourcing, but it does not directly impact nickel production or demand. While it raises environmental concerns, it does not create immediate disruptions in nickel supply or alter demand dynamics significantly. Therefore, its impact on nickel prices is minimal compared to more direct events related to nickel production or geopolitical tensions affecting supply chains.

Score: 0",-1,187,0.5454545454545454,1.7906021639331042
Alberta wildfire 2016: Apt contribution from anomalous planetary wave dynamics,2018. 8. 17.,"This critically contributed to the ignition of the Alberta Wildfire in May 2016, appearing to be the costliest disaster in Canadian history thus far.","On August 17, 2018, the news discussed the Alberta wildfire of 2016, highlighting the significant impact of anomalous planetary wave dynamics that contributed to the ignition of the wildfire. This disaster became noted as the costliest in Canadian history, indicating the severity and consequences of such environmental events.",0,"The Alberta wildfire event, while significant in its own right, does not directly relate to nickel production or supply from Russia. It primarily highlights environmental issues in Canada and does not indicate any immediate threat to nickel supply chains or market dynamics related to Russia. Therefore, its impact on global nickel prices is minimal compared to events directly affecting Russian nickel production or geopolitical tensions. 

Score: 0",4,44,0.20454545454545456,0.6675029990193218
"Wildfires: Causes, Costs & Containment",2018. 8. 28.,"Wildfires burn millions of acres every year, leaving death and destruction in their wake. While natural causes (and climate change) play a part, nearly all...","On August 28, 2018, major wildfires were reported in Russia, highlighting the destructive impact of these events, which burned millions of acres and resulted in significant loss of life and property. The news discussed various causes of the wildfires, emphasizing the contribution of climate change along with other factors. The persistent occurrence of such disasters poses ongoing challenges to containment and recovery efforts.",0,"The wildfires in Russia, while devastating, do not directly impact nickel production or exports significantly. The event primarily highlights environmental concerns rather than immediate threats to nickel supply chains. Additionally, the global nickel market has alternative sources that could mitigate any potential supply disruptions from Russia. Therefore, the impact on nickel prices is minimal.  
Score: 0",4,44,0.20454545454545456,0.6675029990193218
Typhoon Mangkhut: Miners and families buried by landslide,2018. 9. 17.,Rescuers in the Philippines are digging through mud to retrieve bodies buried by a landslide that hit as Typhoon Mangkhut battered the country.,"On September 17, 2018, a significant disaster occurred in the Philippines as Typhoon Mangkhut caused devastating landslides, burying miners and their families. Rescuers were engaged in efforts to recover bodies from the mud as the typhoon wreaked havoc across the country, highlighting the severe impacts of natural disasters in the region.",0,"The disaster in the Philippines primarily affects local mining operations and does not have a direct impact on Russian nickel production or exports. While it highlights the risks associated with mining, it does not significantly alter global supply or demand dynamics for nickel, especially in comparison to events directly related to Russia's geopolitical situation. Therefore, the impact on global nickel prices is minimal.  
Score: 0",10,16,0.0,0.0
Philippines: At least 29 dead in Cebu landslide,2018. 9. 21.,The Philippines has suspended all mining operations in seven regions of the country after a new landslide killed at least 29 people near a limestone quarry on...,"On September 21, 2018, a tragic landslide in Cebu, Philippines, resulted in the deaths of at least 29 individuals. This disaster prompted the government to suspend all mining operations across seven regions of the country, particularly in light of the landslide's proximity to a limestone quarry.",0,"The landslide in Cebu, Philippines, while tragic, primarily affects local mining operations and does not have a direct impact on nickel production or exports from Russia. The suspension of mining operations in the Philippines may influence local supply but is unlikely to significantly alter global nickel prices, especially considering that Russia is a major producer. Therefore, the event has minimal relevance to the global nickel market in the context of the Russian disaster event.  
Score: 0",10,16,0.0,0.0
"Philippines Struck by Another Deadly Landslide, Days After Typhoon (Published 2018)",2018. 9. 20.,"Up to 25 homes in a village were buried, and officials blamed heavy rains in the days since Typhoon Mangkhut struck. At least 12 people died.","On September 20, 2018, a deadly landslide struck the Philippines, burying up to 25 homes in a village. The event was attributed to heavy rains that followed Typhoon Mangkhut, which had hit the region shortly before. The landslide resulted in at least 12 fatalities.",0,"The landslide in the Philippines, while tragic, does not have a direct connection to nickel production or exports from Russia. It is unlikely to affect global nickel prices significantly, as it does not involve a major nickel-producing region or impact supply chains related to nickel. Therefore, the event has minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",10,16,0.0,0.0
