topic,count,mean,std,keywords,summary
-1,7076,0.923968343697004,2.1482541179578387,,Noise / 기타
0,3068,1.438722294654498,2.608548547953068,"ukraine, in, and, ongoing, invasion, the, may, conflict, be, overall",ukraine in and ongoing invasion
1,1749,0.8313321898227558,2.0104479668617747,"sanctions, russia, military, could, nickel, or, actions, supply, russian, the",sanctions russia military could nickel
2,1086,3.032228360957643,2.5294344657386962,"reflects, moderate, up, severe, drive, due, uncertainty, as, positive, score",reflects moderate up severe drive
3,660,0.010606060606060607,0.39134365939768356,"it, relative, no, does, category, influence, minimal, or, directly, demand",it relative no does category
4,631,0.5705229793977813,1.4814255936598615,"drone, drones, attack, strikes, attacks, an, invasion, strike, limited, responses",drone drones attack strikes attacks
5,493,0.08113590263691683,0.716748762401096,"north, korean, korea, troops, deployment, involvement, support, russia, soldiers, military",north korean korea troops deployment
6,362,-0.0027624309392265192,0.5020656432814372,"crimes, international, war, against, condemnation, sentencing, invasions, contribute, sanctions, that",crimes international war against condemnation
7,326,0.04294478527607362,0.5801823930882823,"protests, domestic, unrest, do, political, they, instability, protest, are, against",protests domestic unrest do political
8,320,0.359375,1.3641995310443293,"china, support, between, russia, strengthening, for, ties, trade, its, demand",china support between russia strengthening
9,225,0.008888888888888889,0.1333333333333333,"syria, syrian, unlikely, turkey, have, alter, additionally, significantly, russian, does",syria syrian unlikely turkey have
10,192,0.3802083333333333,1.1916919901140228,"kursk, region, incursion, into, oblast, raid, react, localized, limited, invasion",kursk region incursion into oblast
11,188,1.4574468085106382,2.2212627984134223,"missile, strikes, strike, escalate, further, responses, attacks, limited, invasion, attack",missile strikes strike escalate further
12,182,0.8516483516483516,2.9235134632121853,"nuclear, markets, weapons, raises, less, including, heightened, geopolitical, threats, increased",nuclear markets weapons raises less
13,177,0.615819209039548,1.540874357405799,"wagner, group, mutiny, within, instability, rebellion, internal, introduces, mercenaries, involvement",wagner group mutiny within instability
14,166,0.024096385542168676,0.5923942915948207,"president, zelenskyy, zelensky, ukrainian, volodymyr, zelenskiy, visit, diplomatic, does, nor",president zelenskyy zelensky ukrainian volodymyr
15,164,0.8658536585365854,1.811769261179084,"crimea, bridge, escalate, disrupting, crimean, further, annexation, explosions, tensions, limited",crimea bridge escalate disrupting crimean
16,158,0.9177215189873418,1.941715014063525,"kyiv, missile, attack, responses, further, limited, caution, an, could, react",kyiv missile attack responses further
17,154,0.19480519480519481,0.8935346720575068,"belarus, belarusian, involvement, lukashenko, tensions, geopolitical, trade, from, but, unlikely",belarus belarusian involvement lukashenko tensions
18,146,0.0,0.0,"putin, president, lacks, political, it, rhetoric, changes, does, would, or",putin president lacks political it
19,146,0.3219178082191781,1.0500241803905364,"bakhmut, fighting, intense, conflict, react, limited, ongoing, major, prolonged, like",bakhmut fighting intense conflict react
20,138,0.2246376811594203,0.9964763902040028,"commodity, volatility, including, creates, can, without, specific, ongoing, moderate, uncertainty",commodity volatility including creates can
