topic,count,mean,std
208,10,5.000,0.000
286,5,5.000,0.000
178,13,5.000,0.000
105,22,4.727,0.703
101,24,4.583,2.041
180,12,4.583,1.443
247,7,4.571,1.134
281,5,4.400,1.342
51,47,3.894,2.539
196,11,3.818,2.523
214,10,3.600,2.066
244,8,3.375,3.543
263,7,3.143,2.410
2,1086,3.032,2.529
278,6,2.667,2.251
285,5,2.600,4.336
236,8,2.500,2.673
136,18,2.056,2.532
207,10,2.000,2.309
34,77,1.519,2.137
234,8,1.500,1.852
155,15,1.467,2.264
11,188,1.457,2.221
0,3068,1.439,2.609
76,32,1.406,1.915
125,19,1.263,1.284
228,8,1.250,2.315
78,31,1.226,2.499
224,9,1.222,1.716
280,5,1.200,1.643
258,7,1.143,2.035
227,8,1.125,1.808
140,17,1.118,1.536
25,101,1.079,1.948
171,13,1.077,1.891
95,25,1.000,1.780
167,13,1.000,1.683
287,5,1.000,2.236
-1,7076,0.924,2.148
16,158,0.918,1.942
15,164,0.866,1.812
69,34,0.853,1.417
12,182,0.852,2.924
37,71,0.845,1.880
1,1749,0.831,2.010
118,20,0.800,1.609
146,16,0.750,2.352
256,7,0.714,1.254
264,7,0.714,1.890
248,7,0.714,1.890
261,7,0.714,1.890
53,47,0.702,1.573
126,19,0.684,1.797
52,47,0.681,1.534
31,87,0.644,1.555
23,115,0.635,1.667
71,34,0.618,1.498
13,177,0.616,1.541
92,26,0.577,1.748
4,631,0.571,1.481
38,69,0.565,1.658
50,48,0.562,1.809
222,9,0.556,1.667
24,103,0.553,1.460
107,22,0.545,1.299
112,22,0.545,2.017
142,17,0.529,1.328
212,10,0.500,1.080
202,10,0.500,1.581
117,20,0.500,1.539
166,13,0.462,0.877
195,11,0.455,1.036
192,11,0.455,1.508
260,7,0.429,1.134
32,83,0.422,1.231
99,24,0.417,2.125
58,42,0.405,1.211
288,5,0.400,0.894
10,192,0.380,1.192
226,8,0.375,1.061
8,320,0.359,1.364
163,14,0.357,0.929
84,28,0.357,1.129
145,17,0.353,0.996
154,15,0.333,1.291
221,9,0.333,2.693
19,146,0.322,1.050
150,16,0.312,1.250
28,97,0.309,1.318
40,62,0.306,1.034
104,23,0.304,0.822
79,31,0.290,0.783
29,94,0.287,0.923
262,7,0.286,0.756
33,82,0.280,1.022
165,13,0.231,0.832
44,57,0.228,0.887
20,138,0.225,0.996
27,97,0.206,0.999
216,10,0.200,0.632
17,154,0.195,0.894
59,41,0.171,0.834
181,12,0.167,0.577
133,18,0.167,0.707
138,18,0.167,0.707
265,6,0.167,1.602
41,61,0.164,0.898
174,13,0.154,0.555
36,72,0.139,0.512
109,22,0.136,1.167
159,15,0.133,0.516
21,136,0.125,0.693
141,17,0.118,0.485
134,18,0.111,0.471
55,45,0.111,0.745
54,46,0.109,0.526
124,19,0.105,0.459
129,19,0.105,0.459
74,33,0.091,0.723
102,24,0.083,0.408
5,493,0.081,0.717
35,74,0.068,0.581
75,32,0.062,0.354
72,34,0.059,0.343
7,326,0.043,0.580
30,94,0.043,0.761
49,49,0.041,0.286
48,50,0.040,0.283
45,55,0.036,0.270
14,166,0.024,0.592
3,660,0.011,0.391
9,225,0.009,0.133
22,135,0.007,0.768
130,19,0.000,0.000
80,30,0.000,0.000
284,5,0.000,0.000
81,30,0.000,0.000
123,19,0.000,0.000
122,20,0.000,0.000
277,6,0.000,0.000
283,5,0.000,0.000
276,6,0.000,0.000
275,6,0.000,0.000
273,6,0.000,0.000
274,6,0.000,0.000
282,5,0.000,0.000
279,5,0.000,0.000
88,27,0.000,0.000
83,28,0.000,0.000
103,23,0.000,0.000
100,24,0.000,0.000
98,24,0.000,0.000
106,22,0.000,0.000
110,22,0.000,0.000
111,22,0.000,0.000
86,28,0.000,0.000
85,28,0.000,0.000
91,27,0.000,0.000
93,26,0.000,0.000
96,25,0.000,0.000
94,25,0.000,0.000
97,24,0.000,0.000
89,27,0.000,0.000
90,27,0.000,0.000
87,28,0.000,0.000
26,100,0.000,0.000
246,7,0.000,0.000
219,9,0.000,0.000
151,15,0.000,0.000
143,17,0.000,0.000
144,17,0.000,0.000
148,16,0.000,0.000
149,16,0.000,0.000
132,19,0.000,0.000
137,18,0.000,0.000
135,18,0.000,0.000
66,36,0.000,0.000
77,31,0.000,0.000
73,33,0.000,0.000
139,17,0.000,0.000
147,16,0.000,0.000
128,19,0.000,0.000
65,36,0.000,0.000
127,19,0.000,0.000
70,34,0.000,0.000
68,35,0.000,0.000
67,35,0.000,0.000
113,21,0.000,0.000
108,22,0.000,0.000
114,21,0.000,0.000
115,20,0.000,0.000
119,20,0.000,0.000
116,20,0.000,0.000
120,20,0.000,0.000
121,20,0.000,0.000
160,14,0.000,0.000
161,14,0.000,0.000
198,11,0.000,0.000
199,11,0.000,0.000
182,12,0.000,0.000
179,13,0.000,0.000
184,12,0.000,0.000
185,12,0.000,0.000
186,12,0.000,0.000
183,12,0.000,0.000
188,12,0.000,0.000
