topic,count,mean,std,keywords,summary
-1,1696,1.090801886792453,3.263457864398497,,Noise / 기타
0,2922,1.393908281998631,3.5515286218767033,"the, nickel, to, in, demand, and, energy, on, for, impact",the nickel to in demand
1,79,1.8481012658227849,2.957340314066595,"california, federal, is, to, and, demand, nickel, the, may, broader",california federal is to and
2,77,2.7662337662337664,3.790209353668253,"russia, sanctions, supply, geopolitical, ukraine, producer, russian, policy, prices, the",russia sanctions supply geopolitical ukraine
3,63,3.6507936507936507,4.299882707172709,"ira, act, inflation, reduction, the, in, clean, nickel, energy, for",ira act inflation reduction the
4,52,2.3846153846153846,2.8086270887535503,"deal, green, new, immediate, proposal, concrete, actions, its, and, technologies",deal green new immediate proposal
5,41,-1.5853658536585367,3.3164409368787013,"court, supreme, ruling, may, authority, the, regulations, epa, ability, hinder",court supreme ruling may authority
6,34,-0.058823529411764705,0.3429971702850177,"steel, aluminum, tariffs, costs, on, nickel, the, minimal, imposition, prices",steel aluminum tariffs costs on
7,32,0.53125,3.801395117415405,"indonesia, supply, policy, indonesian, could, of, nickel, global, the, prices",indonesia supply policy indonesian could
8,26,0.0,0.0,"wind, offshore, energy, renewable, on, primarily, or, directly, minimal, to",wind offshore energy renewable on
9,26,0.6153846153846154,1.2673412508688597,"massachusetts, federal, national, localized, to, initiatives, bill, larger, is, in",massachusetts federal national localized to
10,26,0.0,0.0,"aviation, pipeline, it, does, direct, is, carbon, minimal, on, primarily",aviation pipeline it does direct
11,23,-0.08695652173913043,0.4170288281141495,"methane, oil, gas, emissions, directly, it, environmental, or, primarily, does",methane oil gas emissions directly
12,21,1.4285714285714286,2.8735244660769563,"illinois, federal, localized, equitable, national, energy, renewable, and, initiatives, may",illinois federal localized equitable national
13,21,0.09523809523809523,0.4364357804719847,"rare, earth, earths, elements, materials, does, nickel, rather, on, than",rare earth earths elements materials
14,20,0.65,2.3004576203785834,"border, adjustment, carbon, mechanism, costs, cbam, domestic, could, nickel, the",border adjustment carbon mechanism costs
15,19,2.6842105263157894,2.427907914667536,"hydrogen, hubs, hub, clean, establishment, regional, other, direct, battery, indirectly",hydrogen hubs hub clean establishment
16,17,0.0,0.0,"sanctions, iran, on, myanmar, imposition, primarily, or, markets, nickel, geopolitical",sanctions iran on myanmar imposition
17,17,0.8823529411764706,3.854905202160886,"recycling, recycled, mined, newly, battery, new, ev, for, materials, the",recycling recycled mined newly battery
18,16,-2.875,3.1171568242016097,"paris, agreement, withdrawal, climate, decreased, from, rejoining, commitment, negatively, to",paris agreement withdrawal climate decreased
19,15,0.2,1.424279266355945,"recycling, waste, scrap, on, mined, newly, of, the, nickel, supply",recycling waste scrap on mined
20,14,0.8571428571428571,1.8337495365063798,"forced, labor, uyghur, prevention, act, chain, supply, compliance, human, scrutiny",forced labor uyghur prevention act
21,14,0.0,0.0,"shipping, emissions, industry, maritime, broader, nickel, or, direct, targets, minimal",shipping emissions industry maritime broader
22,13,0.0,0.0,"mexico, or, does, it, minimal, its, policy, mexican, not, about",mexico or does it minimal
23,13,-3.076923076923077,3.8179736873010373,"manchin, senator, joe, climate, complete, initiatives, progress, uncertainty, negative, lowering",manchin senator joe climate complete
24,13,-0.6923076923076923,2.982857002512172,"texas, renewable, energy, in, the, legislation, regarding, that, clean, for",texas renewable energy in the
25,12,0.0,0.0,"cybersecurity, cyber, security, grid, about, concerns, it, directly, does, raises",cybersecurity cyber security grid about
26,12,4.166666666666667,2.124888588879783,"steel, alloys, sustainable, green, stainless, as, in, key, component, industry",steel alloys sustainable green stainless
27,11,1.1818181818181819,2.7136021011998728,"45q, credit, capture, tax, carbon, on, the, nickel, industries, 45x",45q credit capture tax carbon
28,11,0.0,0.0,"hydropower, contribute, or, directly, strategy, facilities, focuses, it, hydroelectric, primarily",hydropower contribute or directly strategy
29,10,2.2,3.7357135269658404,"graphite, ev, china, chain, manufacturers, situation, alternative, materials, up, seek",graphite ev china chain manufacturers
30,10,0.0,0.0,"geothermal, it, contribute, energy, does, where, directly, or, not, unlikely",geothermal it contribute energy does
31,10,0.0,0.0,"cement, industry, carbon, unlikely, construction, on, have, does, it, low",cement industry carbon unlikely construction
32,9,0.0,0.0,"advance, nuclear, act, vehicle, manufacturing, directly, promote, battery, focuses, events",advance nuclear act vehicle manufacturing
33,9,0.3333333333333333,0.9999999999999999,"carolina, north, energy, duke, on, south, to, building, global, is",carolina north energy duke on
34,9,-1.1111111111111112,2.2047927592204917,"ohio, renewable, energy, wind, used, for, in, slowdown, is, and",ohio renewable energy wind used
35,9,1.2222222222222223,2.7284509239574835,"nepa, or, mining, regulatory, either, facilitate, the, hinder, environmental, that",nepa or mining regulatory either
36,8,0.25,0.7071067811865476,"jennifer, granholm, secretary, confirmation, appointment, immediate, signals, energy, as, stage",jennifer granholm secretary confirmation appointment
37,8,0.625,1.7677669529663689,"colorado, federal, local, renewable, energy, plan, initiatives, in, development, is",colorado federal local renewable energy
38,8,0.0,0.0,"nafta, trade, relations, agreements, revised, usmca, can, or, mexico, implications",nafta trade relations agreements revised
39,7,3.2857142857142856,3.2513733362117265,"chips, science, act, passage, on, be, semiconductor, domestic, increased, reflects",chips science act passage on
40,7,2.857142857142857,2.6726124191242437,"wind, target, offshore, energy, renewable, is, growth, other, as, technologies",wind target offshore energy renewable
41,7,-0.42857142857142855,2.14919697074224,"ccs, capture, carbon, storage, ccus, as, technology, nor, does, reducing",ccs capture carbon storage ccus
42,7,0.0,0.0,"texas, storm, winter, or, infrastructure, does, highlight, energy, nor, changes",texas storm winter or infrastructure
43,6,0.0,0.0,"plastic, plastics, waste, reducing, unlikely, relate, environmental, it, on, does",plastic plastics waste reducing unlikely
44,6,0.0,0.0,"pfas, relate, concerning, does, environmental, semiconductor, dynamics, directly, events, or",pfas relate concerning does environmental
45,6,3.5,3.8858718455450894,"minerals, critical, cobalt, lithium, collaboration, us, between, the, on, nickel",minerals critical cobalt lithium collaboration
46,5,0.0,0.0,"protesters, marine, pipeline, it, influence, or, directly, coatings, activism, while",protesters marine pipeline it influence
