topic,count,mean,std
26,12,4.167,2.125
3,63,3.651,4.300
45,6,3.500,3.886
39,7,3.286,3.251
40,7,2.857,2.673
2,77,2.766,3.790
15,19,2.684,2.428
4,52,2.385,2.809
29,10,2.200,3.736
1,79,1.848,2.957
12,21,1.429,2.874
0,2922,1.394,3.552
35,9,1.222,2.728
27,11,1.182,2.714
-1,1696,1.091,3.263
17,17,0.882,3.855
20,14,0.857,1.834
14,20,0.650,2.300
37,8,0.625,1.768
9,26,0.615,1.267
7,32,0.531,3.801
33,9,0.333,1.000
36,8,0.250,0.707
19,15,0.200,1.424
13,21,0.095,0.436
44,6,0.000,0.000
32,9,0.000,0.000
10,26,0.000,0.000
8,26,0.000,0.000
38,8,0.000,0.000
28,11,0.000,0.000
21,14,0.000,0.000
46,5,0.000,0.000
43,6,0.000,0.000
42,7,0.000,0.000
30,10,0.000,0.000
25,12,0.000,0.000
16,17,0.000,0.000
22,13,0.000,0.000
31,10,0.000,0.000
6,34,-0.059,0.343
11,23,-0.087,0.417
41,7,-0.429,2.149
24,13,-0.692,2.983
34,9,-1.111,2.205
5,41,-1.585,3.316
18,16,-2.875,3.117
23,13,-3.077,3.818
