topic,count,mean,std,keywords,summary
-1,1524,0.6653543307086615,1.9160535313599791,,Noise / 기타
0,2222,1.0121512151215122,2.4689582880238548,"the, nickel, to, on, prices, impact, or, and, in, sanctions",the nickel to on prices
1,181,0.0,0.0,"government, shutdown, operations, or, it, conflicts, primarily, domestic, political, have",government shutdown operations or it
2,111,1.990990990990991,2.7219494868584566,"taiwan, could, for, the, as, tensions, supply, potential, may, increased",taiwan could for the as
3,103,0.0,0.0,"protests, protest, social, political, do, public, or, category, consumption, has",protests protest social political do
4,76,0.5657894736842105,1.6918276217612676,"rare, earth, elements, earths, materials, strategic, for, the, on, minerals",rare earth elements earths materials
5,76,0.6710526315789473,1.6764101160494655,"strike, rail, labor, disrupt, transportation, logistics, chain, port, to, and",strike rail labor disrupt transportation
6,63,0.0,0.0,"iran, iranian, sanctions, they, nickel, on, producing, markets, global, major",iran iranian sanctions they nickel
7,55,0.0,0.0,"capitol, riot, political, domestic, or, would, category, it, than, that",capitol riot political domestic or
8,53,2.2452830188679247,2.6523259775971857,"battery, electric, batteries, component, ev, vehicles, key, for, as, increase",battery electric batteries component ev
9,50,0.1,0.7071067811865476,"korea, south, north, global, nickel, the, or, is, imports, and",korea south north global nickel
10,38,0.0,0.0,"afghanistan, taliban, in, does, withdrawal, not, dynamics, it, or, nickel",afghanistan taliban in does withdrawal
11,35,0.5714285714285714,1.6140142554533785,"japan, strengthening, military, defense, may, be, likely, forces, to, for",japan strengthening military defense may
12,30,0.0,1.3130643285972254,"mexico, border, closure, does, it, not, nickel, or, significantly, is",mexico border closure does it
13,29,2.5172413793103448,2.5581897848614474,"red, sea, shipping, routes, attacks, costs, houthi, as, due, the",red sea shipping routes attacks
14,27,0.0,0.0,"19, covid, pandemic, health, conflicts, than, rather, economic, wars, and",19 covid pandemic health conflicts
15,26,1.4615384615384615,2.8032947648189865,"indonesia, ban, could, its, of, and, the, nickel, ore, event",indonesia ban could its of
16,26,0.38461538461538464,1.3587324409735149,"drone, drones, technology, components, the, in, not, materials, does, for",drone drones technology components the
17,25,0.88,1.87794213613377,"35, fighter, program, turkey, jet, procurement, the, contract, parts, chain",35 fighter program turkey jet
18,24,0.0,0.0,"myanmar, global, nickel, human, is, unlikely, are, imports, rights, major",myanmar global nickel human is
19,23,0.43478260869565216,1.440520327600152,"canada, aluminum, canadian, trade, tariffs, relations, supplier, the, nickel, on",canada aluminum canadian trade tariffs
20,23,0.0,0.0,"debt, ceiling, fiscal, conflicts, policy, default, economic, stability, wars, direct",debt ceiling fiscal conflicts policy
21,22,0.0,0.0,"india, strengthening, defense, ties, agreements, collaboration, between, does, not, or",india strengthening defense ties agreements
22,20,0.25,1.1180339887498947,"syria, troops, withdrawal, remaining, in, imports, does, nickel, iraq, not",syria troops withdrawal remaining in
23,19,0.0,0.0,"cybersecurity, raises, cyber, concerns, physical, about, security, does, it, cyberattack",cybersecurity raises cyber concerns physical
24,19,0.0,0.0,"january, attack, political, capitol, investigation, insurrection, domestic, meaningful, or, unlikely",january attack political capitol investigation
25,18,0.5555555555555556,1.6169041669088866,"semiconductor, electronic, critical, components, chip, materials, indicates, semiconductors, microelectronics, importance",semiconductor electronic critical components chip
26,18,0.0,0.0,"january, riot, capitol, political, domestic, related, legal, unlikely, primarily, or",january riot capitol political domestic
27,18,0.2777777777777778,2.080880909489326,"israel, hamas, gaza, conflict, is, war, the, as, imports, middle",israel hamas gaza conflict is
28,17,0.0,0.0,"vietnam, trade, vietnamese, us, does, it, war, relate, on, nickel",vietnam trade vietnamese us does
29,16,1.25,2.2360679774997894,"strike, dockworkers, labor, import, disrupt, logistics, by, export, leading, dockworker",strike dockworkers labor import disrupt
30,16,0.0,0.0,"blockade, bridge, ambassador, at, cause, logistics, disruptions, canada, trade, border",blockade bridge ambassador at cause
31,15,0.0,0.0,"strike, workers, labor, auto, automotive, wars, components, batteries, conflicts, issues",strike workers labor auto automotive
32,15,0.0,0.0,"gaza, israeli, protests, political, imports, or, global, do, consumption, geopolitical",gaza israeli protests political imports
33,14,0.35714285714285715,1.3363062095621219,"graphite, critical, indirectly, controls, different, nickel, the, battery, materials, on",graphite critical indirectly controls different
34,14,0.0,0.0,"pipeline, keystone, energy, xl, line, oil, environmental, it, cancellation, affects",pipeline keystone energy xl line
35,14,0.35714285714285715,1.3363062095621219,"africa, south, unrest, wars, conflicts, is, global, malawi, substantial, mozambique",africa south unrest wars conflicts
36,14,0.0,0.0,"peru, bolivia, unrest, producer, kenya, zimbabwe, wars, unlikely, political, conflicts",peru bolivia unrest producer kenya
37,13,0.38461538461538464,1.3867504905630728,"yemen, houthi, shipping, routes, attacks, vessels, as, producers, but, major",yemen houthi shipping routes attacks
38,12,0.0,0.0,"convoy, freedom, trucker, protests, effects, canada, there, indirect, protest, some",convoy freedom trucker protests effects
39,12,0.0,0.0,"sudan, unlikely, major, global, local, imports, internal, nickel, does, is",sudan unlikely major global local
40,12,1.25,2.261335084333227,"kazakhstan, unrest, producer, disrupt, potentially, be, limited, could, overall, as",kazakhstan unrest producer disrupt potentially
41,11,0.36363636363636365,0.8090398349558905,"aid, ukraine, package, commitment, support, continued, military, may, funding, producers",aid ukraine package commitment support
42,11,0.0,0.0,"coronavirus, pandemic, economic, conflicts, related, 19, covid, wars, war, context",coronavirus pandemic economic conflicts related
43,11,0.45454545454545453,1.507556722888818,"venezuela, venezuelan, sanctions, they, humanitarian, major, producer, known, nickel, on",venezuela venezuelan sanctions they humanitarian
44,11,0.0,0.0,"haiti, lanka, sri, local, unrest, unlikely, leone, sierra, global, ecuador",haiti lanka sri local unrest
45,11,0.0,0.0,"pakistan, punjab, india, imports, markets, global, unlikely, indirect, primarily, nor",pakistan punjab india imports markets
46,10,0.0,0.0,"turkey, relations, role, germany, alter, nickel, the, between, broader, imports",turkey relations role germany alter
47,9,1.1111111111111112,2.2047927592204917,"indo, pacific, region, enhance, indicates, initiative, defense, focus, presence, strategy",indo pacific region enhance indicates
48,9,0.0,0.0,"saudi, arabia, arms, sales, uae, training, effects, engagement, indirect, or",saudi arabia arms sales uae
49,9,0.0,0.0,"cuba, cuban, player, embargo, criticism, protests, nickel, or, imports, consumption",cuba cuban player embargo criticism
50,8,0.0,0.0,"address, state, union, politically, no, politics, issues, or, would, lacks",address state union politically no
51,8,-3.125,3.720119045714225,"vehicles, electric, batteries, tariffs, decrease, from, mitigated, as, heavily, production",vehicles electric batteries tariffs decrease
52,7,0.0,0.0,"boeing, 737, max, aviation, industry, production, wars, applications, does, conflicts",boeing 737 max aviation industry
53,7,0.2857142857142857,0.7559289460184545,"lebanon, hezbollah, explosions, beirut, involving, involve, producing, in, humanitarian, conflict",lebanon hezbollah explosions beirut involving
54,7,0.2857142857142857,0.7559289460184545,"israel, support, allocation, military, additional, spending, resource, substantial, but, may",israel support allocation military additional
55,7,0.0,0.0,"inflation, rise, economic, gauge, sharp, tribute, colin, powell, conditions, instability",inflation rise economic gauge sharp
56,7,0.0,0.0,"space, agency, small, warfare, development, management, for, does, resource, technology",space agency small warfare development
57,7,0.0,0.0,"bangladesh, unrest, wars, conflicts, pertains, rupees, settling, trades, regional, restore",bangladesh unrest wars conflicts pertains
58,6,0.8333333333333334,2.0412414523193148,"canada, canadian, its, disinformation, vehicle, us, event, tighter, and, electric",canada canadian its disinformation vehicle
59,6,2.5,2.7386127875258306,"ndaa, defense, procurement, be, factoring, spending, materials, may, moderate, aukus",ndaa defense procurement be factoring
60,6,1.6666666666666667,2.581988897471611,"philippines, can, bongbong, exhaustion, 2030, inauguration, marcos, jr, dynamics, war",philippines can bongbong exhaustion 2030
61,6,0.0,0.0,"germany, strategy, adversely, imports, drawdown, posture, is, pause, may, reduced",germany strategy adversely imports drawdown
62,6,0.0,0.0,"mexico, affects, imposition, duties, relations, tariffs, tariff, import, primarily, impacting",mexico affects imposition duties relations
63,6,4.333333333333333,3.614784456460256,"caledonia, new, unrest, territory, situation, given, stability, the, region, disrupt",caledonia new unrest territory situation
64,6,0.0,0.0,"colonial, pipeline, attack, fuel, infrastructure, affected, cyber, ransomware, did, raised",colonial pipeline attack fuel infrastructure
65,5,0.0,0.0,"kosovo, serbia, scale, bosnia, herzegovina, abolition, raw, taxes, dialogue, unlikely",kosovo serbia scale bosnia herzegovina
66,5,2.4,2.5099800796022267,"coast, ports, port, mitigated, shipments, chain, scarcity, disrupt, be, as",coast ports port mitigated shipments
