topic,count,mean,std
63,6,4.333,3.615
13,29,2.517,2.558
59,6,2.500,2.739
66,5,2.400,2.510
8,53,2.245,2.652
2,111,1.991,2.722
60,6,1.667,2.582
15,26,1.462,2.803
40,12,1.250,2.261
29,16,1.250,2.236
47,9,1.111,2.205
0,2222,1.012,2.469
17,25,0.880,1.878
58,6,0.833,2.041
5,76,0.671,1.676
-1,1524,0.665,1.916
11,35,0.571,1.614
4,76,0.566,1.692
25,18,0.556,1.617
43,11,0.455,1.508
19,23,0.435,1.441
16,26,0.385,1.359
37,13,0.385,1.387
41,11,0.364,0.809
33,14,0.357,1.336
35,14,0.357,1.336
53,7,0.286,0.756
54,7,0.286,0.756
27,18,0.278,2.081
22,20,0.250,1.118
9,50,0.100,0.707
1,181,0.000,0.000
18,24,0.000,0.000
14,27,0.000,0.000
12,30,0.000,1.313
7,55,0.000,0.000
34,14,0.000,0.000
32,15,0.000,0.000
31,15,0.000,0.000
30,16,0.000,0.000
28,17,0.000,0.000
23,19,0.000,0.000
24,19,0.000,0.000
26,18,0.000,0.000
20,23,0.000,0.000
21,22,0.000,0.000
3,103,0.000,0.000
6,63,0.000,0.000
10,38,0.000,0.000
42,11,0.000,0.000
38,12,0.000,0.000
36,14,0.000,0.000
50,8,0.000,0.000
49,9,0.000,0.000
48,9,0.000,0.000
46,10,0.000,0.000
44,11,0.000,0.000
45,11,0.000,0.000
39,12,0.000,0.000
52,7,0.000,0.000
62,6,0.000,0.000
57,7,0.000,0.000
55,7,0.000,0.000
56,7,0.000,0.000
64,6,0.000,0.000
61,6,0.000,0.000
65,5,0.000,0.000
51,8,-3.125,3.720
