topic,count,mean,std,keywords,summary
-1,982,1.0285132382892057,2.6058042382656064,,Noise / 기타
0,2033,0.7294638465322184,2.6004622843485428,"the, nickel, on, to, in, impact, demand, and, is, for",the nickel on to in
1,51,0.0,0.0,"privacy, data, market, primarily, or, nickel, have, dynamics, to, unlikely",privacy data market primarily or
2,32,-0.375,1.2636353087613479,"covid, 19, pandemic, to, the, nickel, or, on, impact, minimal",covid 19 pandemic to the
3,28,0.0,0.0,"healthcare, health, unlikely, any, it, relate, regarding, does, market, or",healthcare health unlikely any it
4,27,1.1111111111111112,1.8257418583505538,"aukus, defense, agreement, on, and, the, nickel, focuses, demand, may",aukus defense agreement on and
5,26,2.5,3.4899856733230297,"evs, electric, vehicles, ev, batteries, component, for, increase, in, used",evs electric vehicles ev batteries
6,24,0.2916666666666667,1.082636342118332,"housing, construction, policies, directly, materials, have, nickel, to, on, or",housing construction policies directly materials
7,22,0.0,0.0,"education, international, student, it, or, have, nickel, cap, the, educational",education international student it or
8,21,0.0,0.0,"media, news, facebook, social, market, unlikely, primarily, such, dynamics, have",media news facebook social market
9,19,0.0,0.0,"no, asylum, regarding, refugee, market, has, category, it, relative, side",no asylum regarding refugee market
10,19,0.10526315789473684,0.45883146774112354,"housing, rental, tenant, south, construction, primarily, do, unlikely, or, protections",housing rental tenant south construction
11,18,0.0,0.0,"recycling, waste, recycled, management, on, or, nickel, the, minimal, likely",recycling waste recycled management on
12,18,-0.3888888888888889,1.2432826042324119,"water, management, darling, operations, murray, nickel, environmental, agricultural, or, other",water management darling operations murray
13,18,0.0,0.0,"drug, unlikely, have, any, cannabis, relevance, market, or, has, to",drug unlikely have any cannabis
14,16,0.0,0.0,"privacy, data, protection, unlikely, laws, have, such, reform, or, to",privacy data protection unlikely laws
15,16,0.0,0.0,"gambling, unlikely, or, they, influence, nickel, market, it, to, regarding",gambling unlikely or they influence
16,15,0.0,0.0,"discrimination, women, gender, social, religious, market, or, have, issue, it",discrimination women gender social religious
17,14,0.21428571428571427,0.8017837257372732,"merger, corporate, competition, control, mandatory, regime, producers, business, mergers, acquisitions",merger corporate competition control mandatory
18,13,0.0,0.0,"education, side, or, it, unlikely, nickel, has, no, market, school",education side or it unlikely
19,13,0.0,0.0,"tobacco, vaping, health, unlikely, public, have, regulation, to, or, nicotine",tobacco vaping health unlikely public
20,12,0.0,0.0,"gearing, housing, negative, tax, economic, primarily, policies, have, discussions, on",gearing housing negative tax economic
21,12,0.0,0.0,"aged, care, assisted, dying, voluntary, or, healthcare, it, social, unlikely",aged care assisted dying voluntary
22,10,0.0,0.0,"superannuation, financial, it, market, does, or, regarding, victims, influence, funds",superannuation financial it market does
23,10,-0.2,1.9321835661585918,"indonesia, agreement, competition, between, australia, trade, relations, aluminium, livestock, nickel",indonesia agreement competition between australia
24,10,-1.0,2.1081851067789197,"port, darwin, lease, foreign, investment, affecting, scrutiny, company, of, uncertainty",port darwin lease foreign investment
25,10,0.0,0.0,"sheep, live, agricultural, ban, sector, two, it, affects, unlikely, cattle",sheep live agricultural ban sector
26,10,0.0,0.0,"reef, great, barrier, environmental, danger, seaweed, it, to, the, protection",reef great barrier environmental danger
27,9,0.0,0.0,"social, sexual, legal, violence, victoria, assault, combating, it, or, market",social sexual legal violence victoria
28,9,0.0,0.0,"retirement, pension, age, social, village, unlikely, significantly, is, or, market",retirement pension age social village
29,9,0.0,0.0,"student, visa, education, visas, sectors, labor, economy, immigration, affect, the",student visa education visas sectors
30,9,0.0,0.0,"digital, identity, id, administrative, side, market, unlikely, system, it, any",digital identity id administrative side
31,8,-0.625,1.7677669529663687,"protests, public, stringent, pressure, could, but, lead, climate, growing, regulations",protests public stringent pressure could
32,8,0.0,0.0,"child, welfare, side, or, it, family, unlikely, relate, market, social",child welfare side or it
33,8,0.0,0.0,"apra, financial, banking, stability, guidance, epbc, banks, risks, the, capital",apra financial banking stability guidance
34,8,0.0,0.0,"queensland, legal, social, adult, hate, crime, it, youth, regarding, market",queensland legal social adult hate
35,7,0.0,0.0,"right, disconnect, labor, employees, workplace, productivity, rights, hours, affects, employee",right disconnect labor employees workplace
36,7,0.0,0.0,"slavery, ethical, modern, combat, compliance, producers, to, focus, costs, this",slavery ethical modern combat compliance
37,7,0.0,0.0,"ai, artificial, it, regulation, intelligence, unlikely, does, or, significantly, nickel",ai artificial it regulation intelligence
38,7,0.0,0.0,"youth, social, justice, market, it, or, issue, does, side, unlikely",youth social justice market it
39,6,0.0,0.0,"protest, liberties, civil, anti, human, laws, public, activism, rights, south",protest liberties civil anti human
40,5,0.0,0.0,"meat, regarding, dingo, brumby, horses, focused, labeling, pet, indexation, preservation",meat regarding dingo brumby horses
41,5,0.0,0.0,"closing, gap, agricultural, issues, social, unlikely, it, architect, traceability, have",closing gap agricultural issues social
42,5,0.0,0.0,"gst, deal, tax, instability, political, events, impactful, reverse, or, is",gst deal tax instability political
