제목,날짜,요약,이벤트,score,reason,topic,count,mean,std
A high price for policy failure: the ten-year story of spiralling electricity bills,2018. 1. 1.,"The Long Read: Most Australians' power bills have been rising for a decade. There are many reasons why, but the common thread is a lack of government...","On January 1, 2018, significant discourse centered around the rising electricity bills in Australia, which have been escalating over the past decade. The article titled ""A high price for policy failure: the ten-year story of spiralling electricity bills"" highlights the various factors contributing to this issue, primarily pointing to a lack of effective government intervention and policy-making as a common underlying cause.",0,"The rising electricity bills in Australia due to ineffective government intervention and policy-making may create concerns about the operational costs for nickel producers, potentially leading to reduced production efficiency. However, the direct impact on global nickel prices is likely minimal, as the event does not significantly alter supply or demand dynamics in the global market. Therefore, it has a limited effect compared to more impactful events related to energy policy and emissions targets. 

Score: 0",0,2033,0.7294638465322184,2.6004622843485428
Forget Paris: Australia needs to stop pretending we're tackling climate change,2018. 1. 10.,"As the Bureau of Meteorology confirms another record-breaking year for temperatures in Australia, where is the urgency in our climate policy?","On January 10, 2018, a significant discussion arose regarding Australia’s climate policy as the Bureau of Meteorology reported a record-breaking year for temperatures. The news highlighted the urgent need for Australia to reevaluate its commitment to tackling climate change, suggesting that the country was not effectively addressing this critical issue. The title emphasizes a need to rethink priorities in relation to international climate agreements like the Paris Accord.",0,"The discussion around Australia's climate policy and the need to reevaluate its commitment to climate change could lead to increased scrutiny on industries like nickel production, which is energy-intensive and may face regulatory challenges. However, the immediate impact on nickel production and demand is uncertain, as it does not directly suggest significant changes in production levels or demand for nickel. Therefore, the impact is likely minimal compared to more definitive policy changes. 

Score: 0",0,2033,0.7294638465322184,2.6004622843485428
Australia Day back in political spotlight as Greens vow to push for date change,2018. 1. 14.,Richard Di Natale says party will campaign to move celebration from 26 January and some Labor MPs say there is a need for conversation.,"On January 14, 2018, the political discourse surrounding Australia Day was reignited as Greens leader Richard Di Natale announced the party's commitment to campaign for changing the date of the celebration from January 26. This call for action received support from some Labor MPs, indicating a growing need for a national conversation regarding the significance and implications of the holiday.",0,"The event regarding the political discourse on Australia Day does not have a direct impact on nickel production, demand, or market dynamics. It is more of a social and cultural issue rather than a policy or regulatory change that would affect the nickel industry. Therefore, it has minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",-1,982,1.0285132382892057,2.6058042382656064
Crikey Worm: change to definition of Aboriginality flagged,2018. 1. 10.,"Good morning, early birds. The technical definition of ""Aboriginal"" could soon change to help the government better distribute GST.","On January 10, 2018, a significant discussion arose regarding a potential change to the technical definition of ""Aboriginality"" in Australia. This change is intended to assist the government in improving the distribution of the Goods and Services Tax (GST).",0,"The discussion regarding the technical definition of ""Aboriginality"" and its implications for GST distribution does not directly relate to nickel production, demand, or market dynamics. It is unlikely to have any significant impact on the supply or demand for nickel, nor does it affect global perceptions of the nickel market. Therefore, the impact on global nickel prices is minimal.  
Score: 0",-1,982,1.0285132382892057,2.6058042382656064
"Science being 'thrown out the window' in Australia's health policy, experts tell MPs",2018. 1. 17.,Consumer health group submissions oppose proposal to change regulation of complementary and alternative medicine ads.,"On January 17, 2018, experts warned Australian MPs that science is being disregarded in the country’s health policy. This assertion was highlighted during discussions with a consumer health group, which strongly opposed a proposal aimed at altering the regulations regarding advertisements for complementary and alternative medicine.",0,"The event primarily concerns health policy and regulations related to advertisements for complementary and alternative medicine, which has no direct connection to nickel production or demand. Therefore, it is unlikely to have any significant impact on global nickel prices.  
Score: 0",0,2033,0.7294638465322184,2.6004622843485428
Cutting Australia's corporate tax will cut inequality,2018. 1. 30.,OPINION: One of the big political fights in 2018 is going to be over company tax reform: who actually pays the tax and who benefits from its reduction.,"On January 30, 2018, a significant political debate emerged in Australia regarding corporate tax reform. The discussion revolved around the implications of cutting the corporate tax rate, particularly focusing on who bears the tax burden and who stands to gain from any reductions. The event highlighted the intersection of fiscal policy and social inequality, making it a critical issue in political discourse for that year.",0,"The political debate on corporate tax reform primarily addresses fiscal policy and social inequality rather than directly impacting nickel production or demand. While tax reforms can influence business investment and economic growth, the specific implications for the nickel market are indirect and minimal. Therefore, this event is unlikely to have a significant effect on global nickel prices compared to more direct regulatory changes affecting production or demand. 

Score: 0",0,2033,0.7294638465322184,2.6004622843485428
"Australia Day’s date will not change while I’m prime minister, Turnbull says",2018. 1. 29.,PM questions why government should be 'bullied' by 'a tiny minority' of people who want to move date from 26 January.,"On January 29, 2018, Prime Minister Malcolm Turnbull asserted that the date of Australia Day will remain unchanged during his tenure. He expressed skepticism towards the notion of altering the date, questioning why the government should yield to the demands of what he described as ""a tiny minority"" who wish to move the celebration from its traditional date of January 26.",0,"The event regarding Australia Day does not have any direct implications for nickel production, demand, or market dynamics. It is a political and cultural issue rather than a policy or regulatory change that would affect the nickel industry. Therefore, it has minimal or no impact on nickel prices relative to other events in this category.  
Score: 0",0,2033,0.7294638465322184,2.6004622843485428
Government’s over-the-top secrecy laws will create more problems than they will fix,2018. 1. 30.,"The Australian Government's proposed legislation to overhaul Australia's secrecy laws is excessive, poorly designed and does not heed the Australian Law Reform...","On January 30, 2018, an event occurred involving the Australian Government's proposal to overhaul the country's secrecy laws. The legislation was criticized for being excessive and poorly designed, suggesting that it could create more issues than it aims to resolve. The concerns raised emphasized that the proposed changes did not align with recommendations from the Australian Law Reform.",0,"The proposed overhaul of secrecy laws is unlikely to have a direct impact on nickel production or demand. While it may create regulatory uncertainty, it does not significantly affect the supply-side or demand-side dynamics of the nickel market. Therefore, its impact on global nickel prices is minimal compared to other more significant policy events.  
Score: 0",1,51,0.0,0.0
'The Franklin would be dammed today': Australia's shrinking environmental protections,2018. 1. 29.,What if the Franklin river hadn't been saved? Stopping the Gordon-below-Franklin dam was one of the Australian environment movement's great victories: in...,"On January 29, 2018, a significant discussion around Australia's environmental protections took place, focusing on the historical context of the Franklin River's preservation. The news highlighted the potential consequences had the Gordon-below-Franklin dam been constructed, illustrating it as a major victory for the Australian environmental movement and a reflection of the ongoing challenges related to policies and regulations in the country.",0,"The discussion around environmental protections, while significant in the context of Australian policy, does not directly impact nickel production or demand. The focus on historical preservation does not suggest immediate changes to nickel mining regulations or market dynamics. Therefore, the impact on global nickel prices is minimal.  
Score: 0",0,2033,0.7294638465322184,2.6004622843485428
Ciobo warns US on protectionism,2018. 2. 1.,Trade Minister Steve Ciobo has warned against protectionism and urged the US to join Australia in supporting a “rules-based system” in the Asia-Pacific...,"On February 1, 2018, Australian Trade Minister Steve Ciobo issued a warning to the United States regarding protectionism. He emphasized the importance of a ""rules-based system"" in the Asia-Pacific region and called for the US to collaborate with Australia in promoting this approach.",0,"The warning about protectionism from the Australian Trade Minister highlights concerns about trade relations, which could indirectly affect nickel exports if tariffs or trade barriers are implemented. However, the event does not directly impact nickel production or demand, and its overall effect on global nickel prices is likely minimal compared to more significant policy changes. Therefore, it has a low relative impact.  
Score: 0",0,2033,0.7294638465322184,2.6004622843485428
