topic,count,mean,std
5,26,2.500,3.490
4,27,1.111,1.826
-1,982,1.029,2.606
0,2033,0.729,2.600
6,24,0.292,1.083
17,14,0.214,0.802
10,19,0.105,0.459
3,28,0.000,0.000
8,21,0.000,0.000
7,22,0.000,0.000
9,19,0.000,0.000
1,51,0.000,0.000
39,6,0.000,0.000
11,18,0.000,0.000
14,16,0.000,0.000
13,18,0.000,0.000
16,15,0.000,0.000
15,16,0.000,0.000
18,13,0.000,0.000
19,13,0.000,0.000
26,10,0.000,0.000
20,12,0.000,0.000
21,12,0.000,0.000
22,10,0.000,0.000
25,10,0.000,0.000
29,9,0.000,0.000
28,9,0.000,0.000
27,9,0.000,0.000
41,5,0.000,0.000
36,7,0.000,0.000
37,7,0.000,0.000
30,9,0.000,0.000
32,8,0.000,0.000
33,8,0.000,0.000
34,8,0.000,0.000
35,7,0.000,0.000
42,5,0.000,0.000
40,5,0.000,0.000
38,7,0.000,0.000
23,10,-0.200,1.932
2,32,-0.375,1.264
12,18,-0.389,1.243
31,8,-0.625,1.768
24,10,-1.000,2.108
