topic,count,mean,std,keywords,summary
-1,510,0.37058823529411766,1.5373278321540742,,Noise / 기타
0,196,0.29591836734693877,1.2128304142850128,"or, nickel, the, on, demand, to, it, military, impact, does",or nickel the on demand
1,115,2.0521739130434784,2.5020815133231578,"defense, the, in, may, to, increased, nickel, could, lead, military",defense the in may to
2,111,0.0,0.0,"or, it, no, nickel, event, impact, does, therefore, that, on",or it no nickel event
3,80,0.375,1.864898952025504,"china, the, nickel, could, and, impact, on, australia, tensions, to",china the nickel could and
4,63,0.4444444444444444,1.563471919941143,"chinese, the, sea, south, china, and, tensions, to, could, nickel",chinese the sea south china
5,56,0.30357142857142855,1.158677033315353,"ukraine, nickel, australia, to, is, the, impact, on, prices, for",ukraine nickel australia to is
6,52,0.3269230769230769,1.5557754997850826,"solomon, islands, the, and, nickel, potential, to, security, raises, australia",solomon islands the and nickel
7,51,0.5294117647058824,1.5146344928922038,"pacific, indo, the, in, does, nickel, it, to, military, however",pacific indo the in does
8,47,1.0,2.0955439264845026,"aukus, the, and, agreement, in, defense, to, nickel, may, military",aukus the and agreement in
9,45,0.5555555555555556,1.5891043154093205,"papua, new, guinea, nickel, the, regional, west, is, australia, impact",papua new guinea nickel the
10,43,0.3488372093023256,1.1727810035944592,"japan, regional, cooperation, strengthening, australia, and, between, of, may, stability",japan regional cooperation strengthening australia
11,42,0.23809523809523808,1.077701343522606,"exercises, exercise, the, military, and, nickel, not, may, australia, joint",exercises exercise the military and
12,39,-0.10256410256410256,0.4469117300619179,"crimes, war, or, is, it, nickel, that, unlikely, impact, australian",crimes war or is it
13,34,0.8529411764705882,2.1899543781214073,"reflects, score, and, the, to, could, china, lead, without, concern",reflects score and the to
14,30,0.4,1.3025174563659143,"philippines, drills, the, and, joint, australia, may, china, in, to",philippines drills the and joint
15,27,2.5185185185185186,3.0555167052697216,"in, of, the, may, missile, nickel, this, from, military, missiles",in of the may missile
16,27,0.0,0.0,"israel, gaza, is, nickel, or, australia, it, impact, the, therefore",israel gaza is nickel or
17,26,-0.19230769230769232,0.9805806756909201,"military, the, in, is, increased, may, to, nickel, effect, of",military the in is increased
18,26,4.038461538461538,2.4573281299943517,"nuclear, submarines, in, the, may, and, could, to, nickel, defense",nuclear submarines in the may
19,26,0.8461538461538461,2.493067310640572,"taiwan, the, could, conflict, over, potential, to, nickel, and, but",taiwan the could conflict over
20,25,1.48,2.2752289262108696,"bombers, of, stealth, 52, deployment, could, the, spirit, military, signifies",bombers of stealth 52 deployment
21,25,0.0,0.0,"riot, or, domestic, wakeley, affect, is, unrest, issue, nickel, incident",riot or domestic wakeley affect
22,24,0.125,0.6123724356957946,"indonesia, regional, between, the, enhance, nickel, cooperation, and, is, positively",indonesia regional between the enhance
23,21,0.0,0.0,"middle, east, additionally, deployment, the, is, to, nickel, as, which",middle east additionally deployment the
24,20,2.75,3.024026594146497,"aukus, submarines, the, in, nuclear, could, under, of, submarine, may",aukus submarines the in nuclear
25,20,0.0,0.0,"bushfires, or, they, that, while, would, local, natural, temporarily, primarily",bushfires or they that while
26,18,0.0,0.0,"or, it, is, does, nickel, military, australian, not, therefore, global",or it is does nickel
27,17,0.0,0.0,"korea, north, south, is, nickel, between, global, defense, or, deal",korea north south is nickel
28,14,0.0,0.0,"helicopters, of, black, military, is, capabilities, to, nickel, it, procurement",helicopters of black military is
29,13,0.0,0.0,"covid, 19, health, primarily, public, domestic, enforce, or, is, deployment",covid 19 health primarily public
30,12,0.0,0.0,"protests, protest, social, issues, or, are, events, they, have, global",protests protest social issues or
31,12,0.0,0.0,"humanitarian, or, refugees, that, nickel, syrian, category, relative, it, children",humanitarian or refugees that nickel
32,11,0.18181818181818182,0.6030226891555273,"vanuatu, base, chinese, the, in, security, concerns, military, nickel, and",vanuatu base chinese the in
33,11,0.0,0.0,"bougainville, independence, mineral, the, referendum, nickel, is, impact, event, minimal",bougainville independence mineral the referendum
