topic,count,mean,std
18,26,4.038,2.457
24,20,2.750,3.024
15,27,2.519,3.056
1,115,2.052,2.502
20,25,1.480,2.275
8,47,1.000,2.096
13,34,0.853,2.190
19,26,0.846,2.493
9,45,0.556,1.589
7,51,0.529,1.515
4,63,0.444,1.563
14,30,0.400,1.303
3,80,0.375,1.865
-1,510,0.371,1.537
10,43,0.349,1.173
6,52,0.327,1.556
5,56,0.304,1.159
0,196,0.296,1.213
11,42,0.238,1.078
32,11,0.182,0.603
22,24,0.125,0.612
16,27,0.000,0.000
2,111,0.000,0.000
25,20,0.000,0.000
26,18,0.000,0.000
23,21,0.000,0.000
21,25,0.000,0.000
29,13,0.000,0.000
30,12,0.000,0.000
28,14,0.000,0.000
27,17,0.000,0.000
31,12,0.000,0.000
33,11,0.000,0.000
12,39,-0.103,0.447
17,26,-0.192,0.981
