Date,´ÏÄÌ°ü·Ã_Àü±âÂ÷ÀÌ½´_impact_score_sum,´ÏÄÌ°ü·Ã_Àü±âÂ÷ÀÌ½´_impact_score_mean,´ÏÄÌ°ü·Ã_Àü±âÂ÷ÀÌ½´_pos_frequency,´ÏÄÌ°ü·Ã_Àü±âÂ÷ÀÌ½´_neg_frequency,´ÏÄÌ°ü·Ã_Àü±âÂ÷ÀÌ½´_zero_frequency,´ÏÄÌ°ü·Ã_Àü±âÂ÷ÀÌ½´_sentiment
2018.1.5 0:00,0,0,0,0,5,0
2018.1.12 0:00,0,0,0,0,8,0
2018.1.19 0:00,0,0,0,0,4,0
2018.1.26 0:00,-1,-0.2,0,1,4,-1
2018.2.2 0:00,0,0,0,0,3,0
2018.2.9 0:00,6,0.857142857,2,0,5,1
2018.2.16 0:00,6,1.5,3,0,1,1
2018.2.23 0:00,0,0,0,0,0,0
2018.3.2 0:00,11,1.375,3,0,5,1
2018.3.9 0:00,31,5.166666667,5,0,1,1
2018.3.16 0:00,12,0.857142857,4,1,9,1
2018.3.23 0:00,1,0.166666667,1,0,5,1
2018.3.30 0:00,15,1.5,3,0,7,1
2018.4.6 0:00,10,2.5,2,0,2,1
2018.4.13 0:00,23,7.666666667,3,0,0,1
2018.4.20 0:00,35,5.833333333,4,0,2,1
2018.4.27 0:00,6,1.2,2,0,3,1
2018.5.4 0:00,8,2.666666667,2,0,1,1
2018.5.11 0:00,-2,-1,0,1,1,-1
2018.5.18 0:00,0,0,0,0,3,0
2018.5.25 0:00,13,4.333333333,2,0,1,1
2018.6.1 0:00,5,1.25,1,0,3,1
2018.6.8 0:00,14,3.5,3,0,1,1
2018.6.15 0:00,16,8,2,0,0,1
2018.6.22 0:00,25,4.166666667,3,0,3,1
2018.6.29 0:00,0,0,0,0,2,0
2018.7.6 0:00,5,2.5,1,0,1,1
2018.7.13 0:00,18,3.6,5,0,0,1
2018.7.20 0:00,3,1.5,1,0,1,1
2018.7.27 0:00,17,3.4,3,0,2,1
2018.8.3 0:00,0,0,0,0,2,0
2018.8.10 0:00,5,1.666666667,1,0,2,1
2018.8.17 0:00,-5,-1.25,0,1,3,-1
2018.8.24 0:00,5,1.25,1,0,3,1
2018.8.31 0:00,2,2,1,0,0,1
2018.9.7 0:00,7,7,1,0,0,1
2018.9.14 0:00,7,1.4,2,1,2,1
2018.9.21 0:00,0,0,0,0,1,0
2018.9.28 0:00,10,2.5,1,0,3,1
2018.10.5 0:00,5,5,1,0,0,1
2018.10.12 0:00,15,3.75,3,0,1,1
2018.10.19 0:00,5,1,1,0,4,1
2018.10.26 0:00,10,2.5,2,0,2,1
2018.11.2 0:00,0,0,0,0,2,0
2018.11.9 0:00,0,0,0,0,1,0
2018.11.16 0:00,3,0.6,1,0,4,1
2018.11.23 0:00,0,0,0,0,3,0
2018.11.30 0:00,8,2.666666667,2,0,1,1
2018.12.7 0:00,5,1.666666667,2,0,1,1
2018.12.14 0:00,10,5,2,0,0,1
2018.12.21 0:00,0,0,0,0,0,0
2018.12.28 0:00,0,0,0,0,2,0
2019.1.4 0:00,5,5,1,0,0,1
2019.1.11 0:00,2,1,1,0,1,1
2019.1.18 0:00,8,4,2,0,0,1
2019.1.25 0:00,5,1,5,0,0,1
2019.2.1 0:00,-3,-1,0,1,2,-1
2019.2.8 0:00,10,5,1,0,1,1
2019.2.15 0:00,20,4,4,0,1,1
2019.2.22 0:00,0,0,0,0,2,0
2019.3.1 0:00,20,4,3,0,2,1
2019.3.8 0:00,15,5,2,0,1,1
2019.3.15 0:00,10,10,1,0,0,1
2019.3.22 0:00,25,8.333333333,3,0,0,1
2019.3.29 0:00,25,8.333333333,3,0,0,1
2019.4.5 0:00,15,2.5,4,0,2,1
2019.4.12 0:00,0,0,0,0,2,0
2019.4.19 0:00,1,0.2,1,1,3,1
2019.4.26 0:00,5,2.5,1,0,1,1
2019.5.3 0:00,32,6.4,5,0,0,1
2019.5.10 0:00,21,5.25,3,0,1,1
2019.5.17 0:00,18,3.6,2,0,3,1
2019.5.24 0:00,10,5,2,0,0,1
2019.5.31 0:00,15,5,3,0,0,1
2019.6.7 0:00,13,6.5,2,0,0,1
2019.6.14 0:00,13,1.857142857,3,1,3,1
2019.6.21 0:00,5,1,1,0,4,1
2019.6.28 0:00,5,1.25,1,0,3,1
2019.7.5 0:00,10,2,1,0,4,1
2019.7.12 0:00,5,1.666666667,1,0,2,1
2019.7.19 0:00,0,0,0,0,5,0
2019.7.26 0:00,32,4,7,0,1,1
2019.8.2 0:00,-3,-3,0,1,0,-1
2019.8.9 0:00,12,4,2,0,1,1
2019.8.16 0:00,6,1.5,1,1,2,1
2019.8.23 0:00,29,5.8,5,0,0,1
2019.8.30 0:00,15,3,3,1,1,1
2019.9.6 0:00,25,3.571428571,4,0,3,1
2019.9.13 0:00,24,2.4,7,0,3,1
2019.9.20 0:00,16,4,3,0,1,1
2019.9.27 0:00,0,0,1,1,2,0
2019.10.4 0:00,5,1.25,1,0,3,1
2019.10.11 0:00,12,2.4,2,0,3,1
2019.10.18 0:00,10,2.5,2,0,2,1
2019.10.25 0:00,20,5,2,0,2,1
2019.11.1 0:00,10,2,2,0,3,1
2019.11.8 0:00,0,0,0,0,1,0
2019.11.15 0:00,15,3,3,0,2,1
2019.11.22 0:00,-5,-2.5,0,1,1,-1
2019.11.29 0:00,10,2,3,0,2,1
2019.12.6 0:00,5,1.25,1,0,3,1
2019.12.13 0:00,53,5.888888889,8,0,1,1
2019.12.20 0:00,0,0,0,0,3,0
2019.12.27 0:00,0,0,0,0,3,0
2020.1.3 0:00,10,2,2,0,3,1
2020.1.10 0:00,41,3.416666667,8,1,3,1
2020.1.17 0:00,0,0,0,0,1,0
2020.1.24 0:00,0,0,1,2,4,0
2020.1.31 0:00,15,5,3,0,0,1
2020.2.7 0:00,5,2.5,1,0,1,1
2020.2.14 0:00,12,1.714285714,5,0,2,1
2020.2.21 0:00,2,0.5,1,1,2,1
2020.2.28 0:00,22,4.4,3,0,2,1
2020.3.6 0:00,23,1.642857143,5,0,9,1
2020.3.13 0:00,20,4,2,0,3,1
2020.3.20 0:00,0,0,0,0,4,0
2020.3.27 0:00,5,2.5,1,0,1,1
2020.4.3 0:00,8,1,5,0,3,1
2020.4.10 0:00,10,2.5,2,0,2,1
2020.4.17 0:00,5,1.25,1,0,3,1
2020.4.24 0:00,13,2.6,2,1,2,1
2020.5.1 0:00,11,1.833333333,2,2,2,1
2020.5.8 0:00,15,2.5,2,0,4,1
2020.5.15 0:00,28,5.6,5,0,0,1
2020.5.22 0:00,30,3.333333333,6,1,2,1
2020.5.29 0:00,0,0,0,0,0,0
2020.6.5 0:00,11,3.666666667,2,0,1,1
2020.6.12 0:00,28,4,4,0,3,1
2020.6.19 0:00,22,3.142857143,5,0,2,1
2020.6.26 0:00,7,1.75,2,0,2,1
2020.7.3 0:00,0,0,0,0,2,0
2020.7.10 0:00,5,0.833333333,1,0,5,1
2020.7.17 0:00,-3,-1.5,0,1,1,-1
2020.7.24 0:00,92,6.133333333,14,0,1,1
2020.7.31 0:00,36,2.571428571,7,1,6,1
2020.8.7 0:00,10,1.428571429,2,0,5,1
2020.8.14 0:00,10,5,1,0,1,1
2020.8.21 0:00,-15,-3,1,3,1,-1
2020.8.28 0:00,6,0.857142857,3,4,0,1
2020.9.4 0:00,18,2.571428571,5,2,0,1
2020.9.11 0:00,39,3,7,2,4,1
2020.9.18 0:00,10,1.111111111,2,0,7,1
2020.9.25 0:00,70,3.888888889,10,1,7,1
2020.10.2 0:00,15,1.875,3,0,5,1
2020.10.9 0:00,31,3.875,7,0,1,1
2020.10.16 0:00,32,4,6,0,2,1
2020.10.23 0:00,31,3.444444444,7,0,2,1
2020.10.30 0:00,23,3.285714286,7,0,0,1
2020.11.6 0:00,11,2.2,4,1,0,1
2020.11.13 0:00,0,0,0,0,3,0
2020.11.20 0:00,11,1.375,4,2,2,1
2020.11.27 0:00,19,3.8,4,0,1,1
2020.12.4 0:00,13,1.625,4,2,2,1
2020.12.11 0:00,54,4.5,10,0,2,1
2020.12.18 0:00,69,4.928571429,10,0,4,1
2020.12.25 0:00,17,5.666666667,3,0,0,1
2021.1.1 0:00,15,7.5,2,0,0,1
2021.1.8 0:00,37,5.285714286,6,0,1,1
2021.1.15 0:00,36,3.6,7,1,2,1
2021.1.22 0:00,42,3,7,1,6,1
2021.1.29 0:00,4,0.666666667,3,1,2,1
2021.2.5 0:00,33,2.75,8,0,4,1
2021.2.12 0:00,60,5,8,0,4,1
2021.2.19 0:00,15,2.142857143,4,0,3,1
2021.2.26 0:00,6,0.428571429,3,2,9,1
2021.3.5 0:00,52,3.466666667,11,1,3,1
2021.3.12 0:00,48,3,9,1,6,1
2021.3.19 0:00,37,3.083333333,9,1,2,1
2021.3.26 0:00,20,3.333333333,5,0,1,1
2021.4.2 0:00,29,1.705882353,9,2,6,1
2021.4.9 0:00,25,2.272727273,8,1,2,1
2021.4.16 0:00,45,5.625,5,0,3,1
2021.4.23 0:00,26,2.363636364,6,0,5,1
2021.4.30 0:00,16,1.777777778,4,2,3,1
2021.5.7 0:00,27,2.454545455,6,1,4,1
2021.5.14 0:00,31,2.583333333,6,0,6,1
2021.5.21 0:00,10,0.666666667,3,1,11,1
2021.5.28 0:00,21,1.3125,6,0,10,1
2021.6.4 0:00,48,4,10,0,2,1
2021.6.11 0:00,32,2.133333333,8,0,7,1
2021.6.18 0:00,17,1.7,3,0,7,1
2021.6.25 0:00,25,2.272727273,4,0,7,1
2021.7.2 0:00,57,3.352941176,13,1,3,1
2021.7.9 0:00,21,1.615384615,5,0,8,1
2021.7.16 0:00,44,3.666666667,7,0,5,1
2021.7.23 0:00,50,3.125,11,1,4,1
2021.7.30 0:00,37,3.363636364,7,0,4,1
2021.8.6 0:00,17,1.7,6,1,3,1
2021.8.13 0:00,49,2.722222222,10,1,7,1
2021.8.20 0:00,44,3.666666667,8,1,3,1
2021.8.27 0:00,39,3.545454545,8,0,3,1
2021.9.3 0:00,8,1.6,2,1,2,1
2021.9.10 0:00,45,4.5,9,0,1,1
2021.9.17 0:00,45,2.647058824,9,0,8,1
2021.9.24 0:00,60,5,7,0,5,1
2021.10.1 0:00,43,2.388888889,8,0,10,1
2021.10.8 0:00,34,2.428571429,7,0,7,1
2021.10.15 0:00,46,5.75,6,0,2,1
2021.10.22 0:00,26,1.368421053,9,4,6,1
2021.10.29 0:00,11,1.222222222,3,1,5,1
2021.11.5 0:00,25,2.5,5,1,4,1
2021.11.12 0:00,53,2.944444444,12,0,6,1
2021.11.19 0:00,37,3.083333333,8,1,3,1
2021.11.26 0:00,14,1,5,1,8,1
2021.12.3 0:00,24,2,3,0,9,1
2021.12.10 0:00,46,2.705882353,10,0,7,1
2021.12.17 0:00,36,2,8,0,10,1
2021.12.24 0:00,45,3.461538462,10,1,2,1
2021.12.31 0:00,41,4.555555556,6,0,3,1
2022.1.7 0:00,23,2.875,4,0,4,1
2022.1.14 0:00,73,3.318181818,16,3,3,1
2022.1.21 0:00,76,4.75,15,0,1,1
2022.1.28 0:00,66,3.473684211,12,2,5,1
2022.2.4 0:00,28,2.8,6,1,3,1
2022.2.11 0:00,40,2.666666667,9,1,5,1
2022.2.18 0:00,24,2.181818182,7,3,1,1
2022.2.25 0:00,37,3.083333333,10,2,0,1
2022.3.4 0:00,42,2.8,7,0,8,1
2022.3.11 0:00,238,7,30,0,4,1
2022.3.18 0:00,50,2.380952381,12,3,6,1
2022.3.25 0:00,97,3.592592593,20,5,2,1
2022.4.1 0:00,85,3.269230769,16,4,6,1
2022.4.8 0:00,55,3.928571429,9,0,5,1
2022.4.15 0:00,73,4.5625,14,0,2,1
2022.4.22 0:00,37,1.681818182,9,6,7,1
