Date,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_impact_score_sum,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_impact_score_mean,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_pos_frequency,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_neg_frequency,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_zero_frequency,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_sentiment
2018.1.5 0:00,-5,-0.454545455,0,1,10,-1
2018.1.12 0:00,0,0,0,0,4,0
2018.1.19 0:00,10,1.111111111,1,0,8,1
2018.1.26 0:00,0,0,0,0,9,0
2018.2.2 0:00,0,0,0,0,13,0
2018.2.9 0:00,0,0,1,1,3,0
2018.2.16 0:00,-1,-0.090909091,0,1,10,-1
2018.2.23 0:00,1,0.2,1,0,4,1
2018.3.2 0:00,0,0,0,0,7,0
2018.3.9 0:00,2,0.25,1,1,6,1
2018.3.16 0:00,0,0,1,1,5,0
2018.3.23 0:00,13,0.684210526,3,0,16,1
2018.3.30 0:00,8,2,1,1,2,1
2018.4.6 0:00,0,0,0,0,5,0
2018.4.13 0:00,20,2.857142857,3,0,4,1
2018.4.20 0:00,0,0,1,1,9,0
2018.4.27 0:00,8,0.571428571,3,1,10,1
2018.5.4 0:00,-2,-0.333333333,0,1,5,-1
2018.5.11 0:00,0,0,0,0,8,0
2018.5.18 0:00,0,0,0,0,6,0
2018.5.25 0:00,20,1.666666667,4,0,8,1
2018.6.1 0:00,-10,-0.769230769,2,3,8,-1
2018.6.8 0:00,10,1,2,1,7,1
2018.6.15 0:00,1,0.058823529,1,1,15,1
2018.6.22 0:00,6,0.666666667,2,0,7,1
2018.6.29 0:00,-5,-1.25,0,1,3,-1
2018.7.6 0:00,-5,-0.263157895,0,1,18,-1
2018.7.13 0:00,5,0.357142857,1,0,13,1
2018.7.20 0:00,0,0,1,1,15,0
2018.7.27 0:00,2,0.142857143,1,1,12,1
2018.8.3 0:00,0,0,0,0,13,0
2018.8.10 0:00,-2,-0.222222222,0,1,8,-1
2018.8.17 0:00,10,1.111111111,2,0,7,1
2018.8.24 0:00,2,0.25,1,0,7,1
2018.8.31 0:00,5,0.357142857,2,2,10,1
2018.9.7 0:00,5,0.555555556,1,1,7,1
2018.9.14 0:00,10,1.428571429,2,0,5,1
2018.9.21 0:00,0,0,4,4,3,0
2018.9.28 0:00,0,0,0,0,9,0
2018.10.5 0:00,1,0.071428571,1,0,13,1
2018.10.12 0:00,-2,-0.222222222,0,1,8,-1
2018.10.19 0:00,9,0.818181818,2,0,9,1
2018.10.26 0:00,1,0.1,2,1,7,1
2018.11.2 0:00,5,0.555555556,1,0,8,1
2018.11.9 0:00,0,0,0,0,5,0
2018.11.16 0:00,0,0,2,3,8,0
2018.11.23 0:00,5,0.5,1,0,9,1
2018.11.30 0:00,12,0.705882353,3,1,13,1
2018.12.7 0:00,3,0.375,1,0,7,1
2018.12.14 0:00,10,1,2,0,8,1
2018.12.21 0:00,5,0.384615385,2,1,10,1
2018.12.28 0:00,0,0,0,0,3,0
2019.1.4 0:00,10,0.909090909,1,0,10,1
2019.1.11 0:00,0,0,0,0,6,0
2019.1.18 0:00,-1,-0.090909091,2,2,7,-1
2019.1.25 0:00,-3,-0.272727273,0,1,10,-1
2019.2.1 0:00,0,0,0,0,12,0
2019.2.8 0:00,0,0,0,0,15,0
2019.2.15 0:00,-2,-0.153846154,0,1,12,-1
2019.2.22 0:00,-3,-0.214285714,0,1,13,-1
2019.3.1 0:00,-2,-0.222222222,2,1,6,-1
2019.3.8 0:00,-2,-0.222222222,0,1,8,-1
2019.3.15 0:00,2,0.125,1,1,14,1
2019.3.22 0:00,7,0.411764706,2,2,13,1
2019.3.29 0:00,0,0,0,0,14,0
2019.4.5 0:00,0,0,0,0,9,0
2019.4.12 0:00,5,0.625,1,0,7,1
2019.4.19 0:00,1,0.1,1,0,9,1
2019.4.26 0:00,5,0.357142857,2,1,11,1
2019.5.3 0:00,11,0.846153846,2,1,10,1
2019.5.10 0:00,0,0,0,0,11,0
2019.5.17 0:00,-2,-0.142857143,0,1,13,-1
2019.5.24 0:00,-9,-0.692307692,0,3,10,-1
2019.5.31 0:00,-5,-0.5,0,1,9,-1
2019.6.7 0:00,1,0.058823529,1,2,14,1
2019.6.14 0:00,3,0.176470588,2,2,13,1
2019.6.21 0:00,0,0,0,0,11,0
2019.6.28 0:00,-12,-1.333333333,0,3,6,-1
2019.7.5 0:00,17,2.125,4,0,4,1
2019.7.12 0:00,1,0.090909091,1,0,10,1
2019.7.19 0:00,0,0,0,0,11,0
2019.7.26 0:00,3,0.214285714,1,0,13,1
2019.8.2 0:00,0,0,2,2,17,0
2019.8.9 0:00,0,0,0,0,15,0
2019.8.16 0:00,5,0.625,1,0,7,1
