Date,생산지_전쟁및분쟁_러시아_impact_score_sum,생산지_전쟁및분쟁_러시아_impact_score_mean,생산지_전쟁및분쟁_러시아_pos_frequency,생산지_전쟁및분쟁_러시아_neg_frequency,생산지_전쟁및분쟁_러시아_sentiment
2018.1.5 0:00,41,4.555555556,8,1,1
2018.1.12 0:00,36,6,6,0,1
2018.1.19 0:00,55,4.230769231,13,0,1
2018.1.26 0:00,50,5.555555556,9,0,1
2018.2.2 0:00,47,3.357142857,12,2,1
2018.2.9 0:00,15,1.363636364,7,4,1
2018.2.16 0:00,32,2.666666667,9,3,1
2018.2.23 0:00,20,2.222222222,7,2,1
2018.3.2 0:00,36,3,10,2,1
2018.3.9 0:00,78,7.090909091,11,0,1
2018.3.16 0:00,131,5.695652174,21,2,1
2018.3.23 0:00,51,5.1,10,0,1
2018.3.30 0:00,54,4.909090909,10,1,1
2018.4.6 0:00,55,3.4375,14,2,1
2018.4.13 0:00,183,7.32,25,0,1
2018.4.20 0:00,51,3.642857143,11,3,1
2018.4.27 0:00,15,3,4,1,1
2018.5.4 0:00,12,1.5,4,4,1
2018.5.11 0:00,67,4.785714286,13,1,1
2018.5.18 0:00,28,3.5,8,0,1
2018.5.25 0:00,-26,-2.363636364,2,9,-1
2018.6.1 0:00,23,2.090909091,8,3,1
2018.6.8 0:00,54,4.5,10,2,1
2018.6.15 0:00,28,2.545454545,9,2,1
2018.6.22 0:00,-16,-1.6,4,6,-1
2018.6.29 0:00,24,4,5,1,1
2018.7.6 0:00,9,3,2,1,1
2018.7.13 0:00,54,4.5,12,0,1
2018.7.20 0:00,28,1.473684211,13,6,1
2018.7.27 0:00,6,0.6,6,4,1
2018.8.3 0:00,37,3.7,9,1,1
2018.8.10 0:00,76,5.846153846,12,1,1
2018.8.17 0:00,18,3.6,5,0,1
2018.8.24 0:00,75,6.25,12,0,1
2018.8.31 0:00,136,6.8,20,0,1
2018.9.7 0:00,79,6.583333333,12,0,1
2018.9.14 0:00,439,6.859375,62,2,1
2018.9.21 0:00,51,4.25,10,2,1
2018.9.28 0:00,25,3.125,7,1,1
2018.10.5 0:00,51,3.642857143,11,3,1
2018.10.12 0:00,68,5.666666667,12,0,1
2018.10.19 0:00,60,5.454545455,11,0,1
2018.10.26 0:00,66,4.714285714,13,1,1
2018.11.2 0:00,35,3.888888889,8,1,1
