Date,생산지_재해_호주_impact_score_sum,생산지_재해_호주_impact_score_mean,생산지_재해_호주_pos_frequency,생산지_재해_호주_neg_frequency,생산지_재해_호주_zero_frequency,생산지_재해_호주_sentiment
2018-01-05 00:00:00,0.0,0.0,0,0,0,0
2018-01-12 00:00:00,30.0,5.0,3,0,3,1
2018-01-19 00:00:00,0.0,0.0,0,0,5,0
2018-01-26 00:00:00,10.0,2.5,1,0,3,1
2018-02-02 00:00:00,20.0,10.0,2,0,0,1
2018-02-09 00:00:00,0.0,0.0,0,0,1,0
2018-02-16 00:00:00,0.0,0.0,0,0,3,0
2018-02-23 00:00:00,-10.0,-3.3333333333333335,0,1,2,-1
2018-03-02 00:00:00,20.0,4.0,2,0,3,1
2018-03-09 00:00:00,10.0,3.3333333333333335,1,0,2,1
2018-03-16 00:00:00,10.0,1.4285714285714286,1,0,6,1
2018-03-23 00:00:00,70.0,6.363636363636363,7,0,4,1
2018-03-30 00:00:00,70.0,6.363636363636363,7,0,4,1
2018-04-06 00:00:00,10.0,5.0,1,0,1,1
2018-04-13 00:00:00,0.0,0.0,0,0,0,0
2018-04-20 00:00:00,0.0,0.0,0,0,0,0
2018-04-27 00:00:00,0.0,0.0,0,0,0,0
2018-05-04 00:00:00,10.0,10.0,1,0,0,1
2018-05-11 00:00:00,0.0,0.0,0,0,1,0
2018-05-18 00:00:00,0.0,0.0,0,0,3,0
2018-05-25 00:00:00,0.0,0.0,0,0,1,0
2018-06-01 00:00:00,0.0,0.0,0,0,3,0
2018-06-08 00:00:00,0.0,0.0,0,0,2,0
2018-06-15 00:00:00,0.0,0.0,0,0,0,0
2018-06-22 00:00:00,0.0,0.0,0,0,3,0
2018-06-29 00:00:00,0.0,0.0,0,0,0,0
2018-07-06 00:00:00,0.0,0.0,0,0,1,0
2018-07-13 00:00:00,0.0,0.0,0,0,1,0
2018-07-20 00:00:00,0.0,0.0,0,0,1,0
2018-07-27 00:00:00,10.0,2.5,1,0,3,1
2018-08-03 00:00:00,10.0,3.3333333333333335,1,0,2,1
2018-08-10 00:00:00,0.0,0.0,0,0,1,0
2018-08-17 00:00:00,10.0,2.5,1,0,3,1
2018-08-24 00:00:00,10.0,10.0,1,0,0,1
2018-08-31 00:00:00,-10.0,-10.0,0,1,0,-1
2018-09-07 00:00:00,0.0,0.0,0,0,1,0
2018-09-14 00:00:00,0.0,0.0,0,0,1,0
2018-09-21 00:00:00,0.0,0.0,0,0,0,0
2018-09-28 00:00:00,10.0,5.0,1,0,1,1
2018-10-05 00:00:00,0.0,0.0,0,0,3,0
2018-10-12 00:00:00,20.0,5.0,2,0,2,1
2018-10-19 00:00:00,0.0,0.0,0,0,2,0
2018-10-26 00:00:00,0.0,0.0,0,0,0,0
2018-11-02 00:00:00,-20.0,-5.0,0,2,2,-1
2018-11-09 00:00:00,10.0,1.4285714285714286,1,0,6,1
2018-11-16 00:00:00,10.0,1.4285714285714286,2,1,4,1
2018-11-23 00:00:00,0.0,0.0,0,0,1,0
2018-11-30 00:00:00,20.0,4.0,2,0,3,1
2018-12-07 00:00:00,0.0,0.0,1,1,2,0
2018-12-14 00:00:00,80.0,10.0,8,0,0,1
