Date,소비지_정책및규제_미국_impact_score_sum,소비지_정책및규제_미국_impact_score_mean,소비지_정책및규제_미국_pos_frequency,소비지_정책및규제_미국_neg_frequency,소비지_정책및규제_미국_zero_frequency,소비지_정책및규제_미국_sentiment
2018-01-05 00:00:00,-2.0,-0.2222222222222222,0,1,8,-1
2018-01-12 00:00:00,0.0,0.0,0,0,3,0
2018-01-19 00:00:00,0.0,0.0,0,0,7,0
2018-01-26 00:00:00,-5.0,-0.4166666666666667,0,2,10,-1
2018-02-02 00:00:00,0.0,0.0,0,0,8,0
2018-02-09 00:00:00,3.0,0.6,2,0,3,1
2018-02-16 00:00:00,0.0,0.0,0,0,5,0
2018-02-23 00:00:00,8.0,1.3333333333333333,2,0,4,1
2018-03-02 00:00:00,-3.0,-0.6,0,1,4,-1
2018-03-09 00:00:00,3.0,0.42857142857142855,1,1,5,1
2018-03-16 00:00:00,-5.0,-0.35714285714285715,0,1,13,-1
2018-03-23 00:00:00,1.0,0.09090909090909091,1,1,9,1
2018-03-30 00:00:00,0.0,0.0,0,0,10,0
2018-04-06 00:00:00,-5.0,-1.0,0,1,4,-1
2018-04-13 00:00:00,-2.0,-0.2,0,1,9,-1
2018-04-20 00:00:00,0.0,0.0,0,0,6,0
2018-04-27 00:00:00,-5.0,-0.5555555555555556,0,1,8,-1
2018-05-04 00:00:00,0.0,0.0,0,0,6,0
2018-05-11 00:00:00,-10.0,-1.4285714285714286,0,1,6,-1
2018-05-18 00:00:00,0.0,0.0,0,0,2,0
2018-05-25 00:00:00,0.0,0.0,0,0,7,0
2018-06-01 00:00:00,-12.0,-1.2,0,3,7,-1
2018-06-08 00:00:00,-8.0,-0.8,0,2,8,-1
2018-06-15 00:00:00,-7.0,-0.6363636363636364,0,1,10,-1
2018-06-22 00:00:00,0.0,0.0,0,0,3,0
2018-06-29 00:00:00,0.0,0.0,0,0,8,0
2018-07-06 00:00:00,0.0,0.0,0,0,7,0
2018-07-13 00:00:00,5.0,0.45454545454545453,1,0,10,1
2018-07-20 00:00:00,0.0,0.0,0,0,8,0
2018-07-27 00:00:00,1.0,0.14285714285714285,1,0,6,1
2018-08-03 00:00:00,0.0,0.0,0,0,7,0
2018-08-10 00:00:00,-5.0,-0.8333333333333334,0,1,5,-1
2018-08-17 00:00:00,-4.0,-0.6666666666666666,0,3,3,-1
2018-08-24 00:00:00,-7.0,-0.35,1,2,17,-1
2018-08-31 00:00:00,8.0,0.8888888888888888,2,0,7,1
2018-09-07 00:00:00,-2.0,-0.3333333333333333,0,1,5,-1
2018-09-14 00:00:00,2.0,0.2,2,1,7,1
2018-09-21 00:00:00,0.0,0.0,0,0,7,0
2018-09-28 00:00:00,0.0,0.0,0,0,13,0
2018-10-05 00:00:00,-2.0,-0.18181818181818182,0,1,10,-1
2018-10-12 00:00:00,5.0,0.45454545454545453,1,0,10,1
2018-10-19 00:00:00,0.0,0.0,0,0,6,0
2018-10-26 00:00:00,5.0,0.625,1,0,7,1
2018-11-02 00:00:00,-5.0,-0.8333333333333334,0,1,5,-1
2018-11-09 00:00:00,0.0,0.0,0,0,10,0
2018-11-16 00:00:00,5.0,0.4166666666666667,1,0,11,1
2018-11-23 00:00:00,0.0,0.0,0,0,6,0
2018-11-30 00:00:00,0.0,0.0,0,0,9,0
2018-12-07 00:00:00,-5.0,-0.5555555555555556,0,1,8,-1
2018-12-14 00:00:00,0.0,0.0,0,0,14,0
2018-12-21 00:00:00,0.0,0.0,0,0,8,0
2018-12-28 00:00:00,0.0,0.0,0,0,0,0
2019-01-04 00:00:00,0.0,0.0,0,0,5,0
2019-01-11 00:00:00,0.0,0.0,0,0,9,0
2019-01-18 00:00:00,0.0,0.0,0,0,6,0
2019-01-25 00:00:00,0.0,0.0,0,0,6,0
2019-02-01 00:00:00,0.0,0.0,0,0,10,0
2019-02-08 00:00:00,0.0,0.0,0,0,17,0
2019-02-15 00:00:00,0.0,0.0,0,0,12,0
2019-02-22 00:00:00,10.0,1.1111111111111112,1,0,8,1
2019-03-01 00:00:00,0.0,0.0,0,0,6,0
2019-03-08 00:00:00,0.0,0.0,0,0,4,0
2019-03-15 00:00:00,0.0,0.0,0,0,8,0
2019-03-22 00:00:00,-5.0,-0.5555555555555556,0,1,8,-1
2019-03-29 00:00:00,10.0,1.0,1,0,9,1
2019-04-05 00:00:00,0.0,0.0,0,0,9,0
2019-04-12 00:00:00,0.0,0.0,0,0,3,0
2019-04-19 00:00:00,0.0,0.0,0,0,3,0
2019-04-26 00:00:00,0.0,0.0,0,0,10,0
2019-05-03 00:00:00,0.0,0.0,0,0,8,0
2019-05-10 00:00:00,-10.0,-0.7142857142857143,0,2,12,-1
2019-05-17 00:00:00,-16.0,-1.3333333333333333,0,4,8,-1
2019-05-24 00:00:00,-12.0,-2.4,0,3,2,-1
2019-05-31 00:00:00,7.0,0.5384615384615384,2,1,10,1
2019-06-07 00:00:00,20.0,1.0,4,2,14,1
2019-06-14 00:00:00,0.0,0.0,0,0,8,0
2019-06-21 00:00:00,0.0,0.0,0,0,18,0
2019-06-28 00:00:00,-2.0,-0.15384615384615385,0,1,12,-1
2019-07-05 00:00:00,0.0,0.0,0,0,7,0
2019-07-12 00:00:00,5.0,1.0,1,0,4,1
2019-07-19 00:00:00,-2.0,-0.3333333333333333,0,1,5,-1
2019-07-26 00:00:00,0.0,0.0,0,0,8,0
2019-08-02 00:00:00,10.0,1.25,1,0,7,1
2019-08-09 00:00:00,0.0,0.0,0,0,5,0
2019-08-16 00:00:00,0.0,0.0,0,0,5,0
2019-08-23 00:00:00,-13.0,-1.1818181818181819,0,2,9,-1
2019-08-30 00:00:00,0.0,0.0,1,1,9,0
2019-09-06 00:00:00,0.0,0.0,0,0,6,0
2019-09-13 00:00:00,20.0,4.0,3,0,2,1
2019-09-20 00:00:00,0.0,0.0,0,0,13,0
2019-09-27 00:00:00,0.0,0.0,0,0,4,0
2019-10-04 00:00:00,0.0,0.0,0,0,7,0
2019-10-11 00:00:00,5.0,0.7142857142857143,1,0,6,1
2019-10-18 00:00:00,0.0,0.0,0,0,5,0
2019-10-25 00:00:00,-3.0,-0.6,0,1,4,-1
2019-11-01 00:00:00,6.0,1.0,2,1,3,1
2019-11-08 00:00:00,-5.0,-0.8333333333333334,0,1,5,-1
2019-11-15 00:00:00,0.0,0.0,0,0,4,0
2019-11-22 00:00:00,6.0,0.75,1,1,6,1
2019-11-29 00:00:00,0.0,0.0,0,0,4,0
2019-12-06 00:00:00,5.0,0.8333333333333334,1,0,5,1
2019-12-13 00:00:00,0.0,0.0,0,0,4,0
2019-12-20 00:00:00,-15.0,-2.5,0,3,3,-1
2019-12-27 00:00:00,-5.0,-1.0,0,1,4,-1
2020-01-03 00:00:00,-3.0,-0.75,0,1,3,-1
2020-01-10 00:00:00,0.0,0.0,0,0,8,0
2020-01-17 00:00:00,-4.0,-0.36363636363636365,0,2,9,-1
2020-01-24 00:00:00,0.0,0.0,0,0,12,0
2020-01-31 00:00:00,0.0,0.0,0,0,5,0
2020-02-07 00:00:00,0.0,0.0,0,0,6,0
2020-02-14 00:00:00,0.0,0.0,0,0,9,0
2020-02-21 00:00:00,5.0,0.8333333333333334,1,0,5,1
2020-02-28 00:00:00,0.0,0.0,0,0,10,0
2020-03-06 00:00:00,-5.0,-0.5555555555555556,0,1,8,-1
2020-03-13 00:00:00,0.0,0.0,0,0,6,0
2020-03-20 00:00:00,-10.0,-1.25,0,1,7,-1
2020-03-27 00:00:00,-3.0,-0.75,0,1,3,-1
2020-04-03 00:00:00,3.0,0.2727272727272727,1,0,10,1
2020-04-10 00:00:00,15.0,2.5,3,0,3,1
2020-04-17 00:00:00,0.0,0.0,0,0,5,0
2020-04-24 00:00:00,0.0,0.0,0,0,4,0
2020-05-01 00:00:00,13.0,0.8125,3,0,13,1
2020-05-08 00:00:00,0.0,0.0,0,0,9,0
2020-05-15 00:00:00,5.0,0.5555555555555556,1,0,8,1
2020-05-22 00:00:00,0.0,0.0,0,0,7,0
2020-05-29 00:00:00,0.0,0.0,0,0,3,0
2020-06-05 00:00:00,0.0,0.0,0,0,6,0
2020-06-12 00:00:00,0.0,0.0,1,1,4,0
2020-06-19 00:00:00,0.0,0.0,0,0,2,0
2020-06-26 00:00:00,7.0,0.5384615384615384,3,1,9,1
2020-07-03 00:00:00,3.0,0.3,1,0,9,1
2020-07-10 00:00:00,0.0,0.0,0,0,12,0
2020-07-17 00:00:00,0.0,0.0,0,0,10,0
2020-07-24 00:00:00,-5.0,-0.4166666666666667,0,1,11,-1
2020-07-31 00:00:00,0.0,0.0,0,0,11,0
2020-08-07 00:00:00,3.0,0.2727272727272727,1,1,9,1
2020-08-14 00:00:00,-5.0,-0.45454545454545453,0,1,10,-1
2020-08-21 00:00:00,3.0,0.75,1,1,2,1
2020-08-28 00:00:00,0.0,0.0,0,0,7,0
2020-09-04 00:00:00,0.0,0.0,0,0,7,0
2020-09-11 00:00:00,0.0,0.0,0,0,10,0
2020-09-18 00:00:00,0.0,0.0,0,0,7,0
2020-09-25 00:00:00,1.0,0.14285714285714285,1,0,6,1
2020-10-02 00:00:00,10.0,1.25,1,0,7,1
2020-10-09 00:00:00,0.0,0.0,0,0,5,0
2020-10-16 00:00:00,-5.0,-0.5,0,1,9,-1
2020-10-23 00:00:00,10.0,1.0,2,0,8,1
2020-10-30 00:00:00,0.0,0.0,0,0,15,0
2020-11-06 00:00:00,5.0,0.4166666666666667,1,0,11,1
2020-11-13 00:00:00,0.0,0.0,0,0,8,0
2020-11-20 00:00:00,0.0,0.0,0,0,9,0
2020-11-27 00:00:00,3.0,0.42857142857142855,1,0,6,1
2020-12-04 00:00:00,5.0,0.625,1,0,7,1
2020-12-11 00:00:00,0.0,0.0,0,0,8,0
2020-12-18 00:00:00,0.0,0.0,0,0,8,0
2020-12-25 00:00:00,0.0,0.0,0,0,5,0
2021-01-01 00:00:00,5.0,1.25,1,0,3,1
2021-01-08 00:00:00,0.0,0.0,0,0,8,0
2021-01-15 00:00:00,3.0,0.2,1,1,13,1
2021-01-22 00:00:00,0.0,0.0,1,1,14,0
2021-01-29 00:00:00,6.0,0.2608695652173913,3,0,20,1
2021-02-05 00:00:00,0.0,0.0,0,0,8,0
2021-02-12 00:00:00,0.0,0.0,0,0,8,0
2021-02-19 00:00:00,0.0,0.0,0,0,11,0
2021-02-26 00:00:00,3.0,0.23076923076923078,1,0,12,1
2021-03-05 00:00:00,5.0,0.3333333333333333,1,0,14,1
2021-03-12 00:00:00,0.0,0.0,0,0,14,0
2021-03-19 00:00:00,0.0,0.0,0,0,6,0
2021-03-26 00:00:00,5.0,0.8333333333333334,1,0,5,1
2021-04-02 00:00:00,9.0,0.5294117647058824,3,1,13,1
2021-04-09 00:00:00,10.0,0.9090909090909091,2,0,9,1
2021-04-16 00:00:00,0.0,0.0,0,0,12,0
2021-04-23 00:00:00,5.0,0.3125,1,0,15,1
2021-04-30 00:00:00,0.0,0.0,0,0,12,0
2021-05-07 00:00:00,0.0,0.0,0,0,12,0
2021-05-14 00:00:00,0.0,0.0,0,0,13,0
2021-05-21 00:00:00,10.0,0.9090909090909091,1,0,10,1
2021-05-28 00:00:00,8.0,0.5714285714285714,2,1,11,1
2021-06-04 00:00:00,0.0,0.0,0,0,10,0
2021-06-11 00:00:00,5.0,0.45454545454545453,1,0,10,1
2021-06-18 00:00:00,10.0,1.25,2,0,6,1
2021-06-25 00:00:00,13.0,0.9285714285714286,2,1,11,1
2021-07-02 00:00:00,0.0,0.0,0,0,8,0
2021-07-09 00:00:00,5.0,1.0,1,0,4,1
2021-07-16 00:00:00,0.0,0.0,0,0,12,0
2021-07-23 00:00:00,5.0,0.5,1,0,9,1
2021-07-30 00:00:00,10.0,1.0,2,0,8,1
2021-08-06 00:00:00,3.0,0.13636363636363635,1,0,21,1
2021-08-13 00:00:00,2.0,0.25,1,0,7,1
2021-08-20 00:00:00,0.0,0.0,0,0,7,0
2021-08-27 00:00:00,0.0,0.0,0,0,6,0
2021-09-03 00:00:00,0.0,0.0,0,0,9,0
2021-09-10 00:00:00,0.0,0.0,0,0,7,0
2021-09-17 00:00:00,0.0,0.0,0,0,15,0
