Date,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹_impact_score_sum,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__impact_score_mean,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__pos_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__neg_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__zero_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__sentiment
2018.1.5 0:00,0,0,0,0,8,0
2018.1.12 0:00,0,0,0,0,5,0
2018.1.19 0:00,2,0.25,1,1,6,1
2018.1.26 0:00,5,0.277777778,1,0,17,1
2018.2.2 0:00,-3,-0.272727273,0,2,9,-1
2018.2.9 0:00,0,0,0,0,10,0
2018.2.16 0:00,-4,-0.571428571,0,2,5,-1
2018.2.23 0:00,3,0.375,1,1,6,1
2018.3.2 0:00,-26,-1.368421053,0,6,13,-1
2018.3.9 0:00,-11,-0.5,3,7,12,-1
2018.3.16 0:00,-5,-0.384615385,0,1,12,-1
2018.3.23 0:00,-5,-0.3125,2,4,10,-1
2018.3.30 0:00,-7,-0.7,1,2,7,-1
2018.4.6 0:00,-1,-0.1,2,4,4,-1
2018.4.13 0:00,-11,-1,2,5,4,-1
2018.4.20 0:00,20,1.538461538,4,0,9,1
2018.4.27 0:00,6,0.75,2,1,5,1
2018.5.4 0:00,27,1.8,4,0,11,1
2018.5.11 0:00,9,0.9,2,1,7,1
2018.5.18 0:00,13,1.857142857,2,0,5,1
2018.5.25 0:00,2,0.2,1,0,9,1
2018.6.1 0:00,-38,-2.533333333,0,9,6,-1
2018.6.8 0:00,10,0.526315789,3,2,14,1
2018.6.15 0:00,0,0,0,0,13,0
2018.6.22 0:00,-2,-0.166666667,0,1,11,-1
2018.6.29 0:00,20,1.538461538,4,0,9,1
2018.7.6 0:00,-24,-1.142857143,2,11,8,-1
2018.7.13 0:00,1,0.071428571,4,4,6,1
2018.7.20 0:00,9,0.5625,3,2,11,1
2018.7.27 0:00,-5,-0.208333333,1,2,21,-1
2018.8.3 0:00,-13,-1.857142857,0,2,5,-1
2018.8.10 0:00,15,1.25,7,5,0,1
2018.8.17 0:00,0,0,2,3,8,0
2018.8.24 0:00,-4,-0.25,1,2,13,-1
2018.8.31 0:00,5,0.555555556,1,0,8,1
2018.9.7 0:00,0,0,0,0,9,0
2018.9.14 0:00,5,1,1,0,4,1
2018.9.21 0:00,7,0.583333333,2,2,8,1
2018.9.28 0:00,-12,-0.705882353,1,4,12,-1
2018.10.5 0:00,0,0,1,1,14,0
2018.10.12 0:00,-6,-0.666666667,0,3,6,-1
2018.10.19 0:00,1,0.0625,2,4,10,1
2018.10.26 0:00,-15,-1.25,0,2,10,-1
2018.11.2 0:00,0,0,1,1,2,0
2018.11.9 0:00,5,0.454545455,2,3,6,1
2018.11.16 0:00,-2,-0.181818182,0,2,9,-1
2018.11.23 0:00,4,0.4,2,1,7,1
2018.11.30 0:00,-5,-0.25,1,2,17,-1
2018.12.7 0:00,0,0,0,0,5,0
2018.12.14 0:00,0,0,0,0,6,0
2018.12.21 0:00,21,1.05,3,2,15,1
2018.12.28 0:00,-5,-0.5,0,1,9,-1
2019.1.4 0:00,1,0.058823529,2,1,14,1
2019.1.11 0:00,-2,-0.125,2,4,10,-1
2019.1.18 0:00,-19,-0.863636364,2,7,13,-1
2019.1.25 0:00,-10,-0.769230769,0,2,11,-1
2019.2.1 0:00,-3,-0.15,1,2,17,-1
2019.2.8 0:00,-5,-0.357142857,1,2,11,-1
2019.2.15 0:00,-3,-0.272727273,2,3,6,-1
2019.2.22 0:00,-5,-0.555555556,2,3,4,-1
2019.3.1 0:00,-2,-0.333333333,1,1,4,-1
2019.3.8 0:00,0,0,0,0,5,0
2019.3.15 0:00,0,0,0,0,8,0
2019.3.22 0:00,-1,-0.076923077,2,2,9,-1
2019.3.29 0:00,-6,-0.545454545,0,3,8,-1
2019.4.5 0:00,0,0,1,1,24,0
2019.4.12 0:00,0,0,0,0,4,0
2019.4.19 0:00,-5,-0.625,0,1,7,-1
2019.4.26 0:00,0,0,1,1,8,0
2019.5.3 0:00,-3,-0.75,0,1,3,-1
2019.5.10 0:00,-5,-0.277777778,5,7,6,-1
2019.5.17 0:00,-31,-1.722222222,3,12,3,-1
2019.5.24 0:00,-5,-0.555555556,3,4,2,-1
2019.5.31 0:00,25,1.785714286,5,1,8,1
2019.6.7 0:00,21,0.913043478,6,3,14,1
2019.6.14 0:00,7,0.7,2,1,7,1
2019.6.21 0:00,16,1.333333333,5,0,7,1
2019.6.28 0:00,26,2.166666667,6,1,5,1
2019.7.5 0:00,15,2.142857143,3,0,4,1
2019.7.12 0:00,0,0,0,0,10,0
2019.7.19 0:00,0,0,0,0,10,0
2019.7.26 0:00,11,0.916666667,2,2,8,1
2019.8.2 0:00,2,0.181818182,1,2,8,1
2019.8.9 0:00,-16,-1.454545455,0,4,7,-1
2019.8.16 0:00,1,0.166666667,2,1,3,1
2019.8.23 0:00,7,0.777777778,3,1,5,1
2019.8.30 0:00,-14,-1.555555556,1,5,3,-1
2019.9.6 0:00,-45,-2.045454545,1,9,12,-1
2019.9.13 0:00,-2,-0.125,2,1,13,-1
2019.9.20 0:00,0,0,1,1,14,0
2019.9.27 0:00,0,0,0,0,6,0
2019.10.4 0:00,0,0,2,2,7,0
2019.10.11 0:00,-10,-0.833333333,0,3,9,-1
2019.10.18 0:00,-12,-2,0,2,4,-1
2019.10.25 0:00,5,0.714285714,1,0,6,1
2019.11.1 0:00,18,3,4,0,2,1
2019.11.8 0:00,4,0.571428571,2,1,4,1
2019.11.15 0:00,0,0,0,0,8,0
