제목,링크,출처,날짜,설명
Vale sees 44% increase in global nickel demand by 2030,https://www.reuters.com/markets/commodities/vale-sees-44-increase-global-nickel-demand-by-2030-2022-09-07/,2022. 9. 7.,날짜 없음,"Brazilian mining company Vale said on Wednesday that global demand for nickel should increase 44% by 2030 compared to that expected for this year,..."
Species in Ni Phyllosilicate Catalysts on Selective Hydrogenation of Furfural to Furfuryl Alcohol,https://pubs.acs.org/doi/10.1021/acsomega.2c03590,2022. 9. 8.,날짜 없음,Enhancing the catalytic performance of non-noble Ni catalysts in the selective hydrogenation of furfural to furfuryl alcohol (FA) in terms of furfural...
Hitting its limits,https://www.recyclingtoday.com/article/hitting-its-limits/,2022. 9. 5.,날짜 없음,"The value of a commodity is expected to rise and fall, but what happened to nickel traded on the London Metal Exchange (LME) this March was difficult to..."
Rapid EV growth stokes competition in China’s manganese sulfate market,https://www.fastmarkets.com/insights/rapid-ev-growth-stokes-competition-in-chinas-manganese-sulfate-market/,2022. 9. 1.,날짜 없음,The market size for battery-grade manganese sulfate in China could reach 6.18 billion yuan ($906 million) in 2028 compared with 1.81 billion yuan in 2021...
Chinese Waste Handler Weiming Teams Up With GEM on Second Nickel Plant in Indonesia,https://www.yicaiglobal.com/news/chinese-waste-handler-weiming-teams-up-with-gem-on-second-nickel-plant-in-indonesia,2022. 9. 7.,날짜 없음,"Zhejiang Weiming Environment Protection is joining forces with GEM, one of China's biggest suppliers of battery raw materials, to build a laterite nickel..."
Nickel West takes big steps on pathway to net zero,https://www.bhp.com/news/case-studies/2022/09/nickel-west-takes-big-steps-on-pathway-to-net-zero,2022. 9. 6.,날짜 없음,Nickel West has taken big steps towards producing sustainable nickel on its pathway to net zero. Nickel West has signed three renewable power purchase...
"Barbara Ehrenreich, 'Nickel and Dimed' author and activist, dies at 81",https://www.nbcnews.com/news/us-news/barbara-ehrenreich-nickel-dimed-author-activist-dies-81-rcna46150,2022. 9. 2.,날짜 없음,"Barbara Ehrenreich, the muckraking author, activist and journalist who in such notable works as “Nickel and Dimed.”"
African Rainbow Minerals annual profit drops 13% on higher costs,https://www.moneyweb.co.za/news/companies-and-deals/african-rainbow-minerals-annual-profit-drops-13-on-higher-costs/,2022. 9. 1.,날짜 없음,African Rainbow Minerals Chief Executive Mike Schmidt said on Thursday it is not convinced high nickel prices are sustainable as it considers the future of...
Q+A: Nickel Industries’ Justin Werner on building a nickel empire,https://stockhead.com.au/resources/qa-nickel-industries-justin-werner-on-building-a-nickel-empire/,2022. 9. 1.,날짜 없음,"Indonesia is the world largest nickel producer, with 'industrial parks' at Morowali and Weda Bay churning out huge amounts of nickel pig iron (Class 2) for..."
"Stainless Steel in a ""Commodity Standoff""",https://agmetalminer.com/2022/09/02/stainless-steel-in-a-commodity-standoff/,2022. 9. 2.,날짜 없음,"Stainless steel prices continue to struggle as we approach the final quarter of the year. Meanwhile, nickel prices float just above their 2021 average."
