Unnamed: 0,Date,Score,Normalized_Score
0,2013-03-29,7.2,0.003029156
1,2013-04-05,10,0.005679667
2,2013-04-12,10,0.005679667
3,2013-04-19,10,0.005679667
4,2013-04-26,10,0.005679667
5,2013-05-03,10,0.005679667
6,2013-05-10,10,0.005679667
7,2013-05-17,20.8,0.015903067
8,2013-05-24,10,0.005679667
9,2013-05-31,10,0.005679667
10,2013-06-07,10,0.005679667
11,2013-06-14,30.4,0.024990534
12,2013-06-21,10,0.005679667
13,2013-06-28,10,0.005679667
14,2013-07-05,10,0.005679667
15,2013-07-12,10,0.005679667
16,2013-07-19,15.6,0.010980689
17,2013-07-26,10,0.005679667
18,2013-08-02,13.2,0.008708822
19,2013-08-09,15.6,0.010980689
20,2013-08-16,40.8,0.03483529
21,2013-08-23,10,0.005679667
22,2013-08-30,10,0.005679667
23,2013-09-06,13.2,0.008708822
24,2013-09-13,14.4,0.009844756
25,2013-09-20,10,0.005679667
26,2013-09-27,10,0.005679667
27,2013-10-04,13.2,0.008708822
28,2013-10-11,6.4,0.002271867
29,2013-10-18,10,0.005679667
30,2013-10-25,10,0.005679667
31,2013-11-01,10,0.005679667
32,2013-11-08,10,0.005679667
33,2013-11-15,10,0.005679667
34,2013-11-22,10,0.005679667
35,2013-11-29,13.2,0.008708822
36,2013-12-06,27.6,0.022340023
37,2013-12-13,13.2,0.008708822
38,2013-12-20,27.6,0.022340023
39,2013-12-27,10,0.005679667
40,2014-01-03,13.6,0.009087467
41,2014-01-10,18,0.013252556
42,2014-01-17,30,0.024611889
43,2014-01-24,7.2,0.003029156
44,2014-01-31,10,0.005679667
45,2014-02-07,10,0.005679667
46,2014-02-14,14.4,0.009844756
47,2014-02-21,10,0.005679667
48,2014-02-28,14.4,0.009844756
49,2014-03-07,13.2,0.008708822
50,2014-03-14,14.4,0.009844756
51,2014-03-21,10,0.005679667
52,2014-03-28,10,0.005679667
53,2014-04-04,28.8,0.023475956
54,2014-04-11,34.8,0.029155623
55,2014-04-18,10,0.005679667
56,2014-04-25,10,0.005679667
57,2014-05-02,13.2,0.008708822
58,2014-05-09,16.8,0.012116622
59,2014-05-16,4,0
60,2014-05-23,19.2,0.014388489
61,2014-05-30,21.6,0.016660356
62,2014-06-06,7.2,0.003029156
63,2014-06-13,5.6,0.001514578
64,2014-06-20,6.4,0.002271867
65,2014-06-27,10,0.005679667
66,2014-07-04,13.2,0.008708822
67,2014-07-11,26.8,0.021582734
68,2014-07-18,6.4,0.002271867
69,2014-07-25,10,0.005679667
70,2014-08-01,10,0.005679667
71,2014-08-08,10,0.005679667
72,2014-08-15,14.4,0.009844756
73,2014-08-22,10,0.005679667
74,2014-08-29,13.2,0.008708822
75,2014-09-05,15.6,0.010980689
