Date,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_impact_score_sum,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_impact_score_mean,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_pos_frequency,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_neg_frequency,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_sentiment
2018.1.5 0:00,-5,-5,0,1,-1
2018.1.12 0:00,0,0,0,0,0
2018.1.19 0:00,10,10,1,0,1
2018.1.26 0:00,0,0,0,0,0
2018.2.2 0:00,0,0,0,0,0
2018.2.9 0:00,0,0,1,1,0
2018.2.16 0:00,-1,-1,0,1,-1
2018.2.23 0:00,1,1,1,0,1
2018.3.2 0:00,0,0,0,0,0
2018.3.9 0:00,2,1,1,1,1
2018.3.16 0:00,0,0,1,1,0
2018.3.23 0:00,13,4.333333333,3,0,1
2018.3.30 0:00,8,4,1,1,1
2018.4.6 0:00,0,0,0,0,0
2018.4.13 0:00,20,6.666666667,3,0,1
2018.4.20 0:00,0,0,1,1,0
2018.4.27 0:00,8,2,3,1,1
2018.5.4 0:00,-2,-2,0,1,-1
2018.5.11 0:00,0,0,0,0,0
2018.5.18 0:00,0,0,0,0,0
2018.5.25 0:00,20,5,4,0,1
2018.6.1 0:00,-10,-2,2,3,-1
2018.6.8 0:00,10,3.333333333,2,1,1
2018.6.15 0:00,1,0.5,1,1,1
2018.6.22 0:00,6,3,2,0,1
2018.6.29 0:00,-5,-5,0,1,-1
2018.7.6 0:00,-5,-5,0,1,-1
2018.7.13 0:00,5,5,1,0,1
2018.7.20 0:00,0,0,1,1,0
2018.7.27 0:00,2,1,1,1,1
2018.8.3 0:00,0,0,0,0,0
2018.8.10 0:00,-2,-2,0,1,-1
2018.8.17 0:00,10,5,2,0,1
2018.8.24 0:00,2,2,1,0,1
2018.8.31 0:00,5,1.25,2,2,1
2018.9.7 0:00,5,2.5,1,1,1
2018.9.14 0:00,10,5,2,0,1
2018.9.21 0:00,0,0,4,4,0
2018.9.28 0:00,0,0,0,0,0
2018.10.5 0:00,1,1,1,0,1
2018.10.12 0:00,-2,-2,0,1,-1
2018.10.19 0:00,9,4.5,2,0,1
2018.10.26 0:00,1,0.333333333,2,1,1
2018.11.2 0:00,5,5,1,0,1
2018.11.9 0:00,0,0,0,0,0
2018.11.16 0:00,0,0,2,3,0
2018.11.23 0:00,5,5,1,0,1
2018.11.30 0:00,12,3,3,1,1
2018.12.7 0:00,3,3,1,0,1
2018.12.14 0:00,10,5,2,0,1
2018.12.21 0:00,5,1.666666667,2,1,1
2018.12.28 0:00,0,0,0,0,0
2019.1.4 0:00,10,10,1,0,1
2019.1.11 0:00,0,0,0,0,0
2019.1.18 0:00,-1,-0.25,2,2,-1
2019.1.25 0:00,-3,-3,0,1,-1
2019.2.1 0:00,0,0,0,0,0
2019.2.8 0:00,0,0,0,0,0
2019.2.15 0:00,-2,-2,0,1,-1
2019.2.22 0:00,-3,-3,0,1,-1
2019.3.1 0:00,-2,-0.666666667,2,1,-1
2019.3.8 0:00,-2,-2,0,1,-1
2019.3.15 0:00,2,1,1,1,1
2019.3.22 0:00,7,1.75,2,2,1
2019.3.29 0:00,0,0,0,0,0
2019.4.5 0:00,0,0,0,0,0
2019.4.12 0:00,5,5,1,0,1
2019.4.19 0:00,1,1,1,0,1
2019.4.26 0:00,5,1.666666667,2,1,1
2019.5.3 0:00,11,3.666666667,2,1,1
2019.5.10 0:00,0,0,0,0,0
2019.5.17 0:00,-2,-2,0,1,-1
2019.5.24 0:00,-9,-3,0,3,-1
2019.5.31 0:00,-5,-5,0,1,-1
2019.6.7 0:00,1,0.333333333,1,2,1
2019.6.14 0:00,3,0.75,2,2,1
2019.6.21 0:00,0,0,0,0,0
2019.6.28 0:00,-12,-4,0,3,-1
2019.7.5 0:00,17,4.25,4,0,1
2019.7.12 0:00,1,1,1,0,1
2019.7.19 0:00,0,0,0,0,0
2019.7.26 0:00,3,3,1,0,1
2019.8.2 0:00,0,0,2,2,0
2019.8.9 0:00,0,0,0,0,0
2019.8.16 0:00,5,5,1,0,1
2019.8.23 0:00,10,5,2,0,1
2019.8.30 0:00,-8,-4,0,2,-1
2019.9.6 0:00,-5,-5,0,1,-1
2019.9.13 0:00,10,10,1,0,1
2019.9.20 0:00,12,2.4,3,2,1
2019.9.27 0:00,3,0.75,2,2,1
2019.10.4 0:00,4,1.333333333,2,1,1
2019.10.11 0:00,5,5,1,0,1
2019.10.18 0:00,-4,-2,0,2,-1
2019.10.25 0:00,0,0,0,0,0
2019.11.1 0:00,-2,-2,0,1,-1
2019.11.8 0:00,0,0,0,0,0
2019.11.15 0:00,10,5,2,0,1
2019.11.22 0:00,-8,-2.666666667,1,2,-1
2019.11.29 0:00,0,0,0,0,0
2019.12.6 0:00,0,0,0,0,0
2019.12.13 0:00,0,0,0,0,0
2019.12.20 0:00,0,0,0,0,0
2019.12.27 0:00,0,0,1,1,0
2020.1.3 0:00,3,3,1,0,1
2020.1.10 0:00,-17,-5.666666667,0,3,-1
2020.1.17 0:00,0,0,1,1,0
2020.1.24 0:00,5,1.666666667,2,1,1
2020.1.31 0:00,4,2,2,0,1
2020.2.7 0:00,14,3.5,4,0,1
2020.2.14 0:00,10,5,2,0,1
2020.2.21 0:00,18,4.5,4,0,1
2020.2.28 0:00,1,0.5,1,1,1
2020.3.6 0:00,14,4.666666667,3,0,1
2020.3.13 0:00,0,0,0,0,0
2020.3.20 0:00,5,1.666666667,2,1,1
2020.3.27 0:00,-11,-2.75,1,3,-1
2020.4.3 0:00,-5,-1.25,1,3,-1
2020.4.10 0:00,9,4.5,2,0,1
2020.4.17 0:00,5,5,1,0,1
2020.4.24 0:00,0,0,0,0,0
2020.5.1 0:00,-5,-1.666666667,1,2,-1
2020.5.8 0:00,-2,-2,0,1,-1
2020.5.15 0:00,7,7,1,0,1
2020.5.22 0:00,14,4.666666667,3,0,1
2020.5.29 0:00,-8,-4,0,2,-1
2020.6.5 0:00,4,4,1,0,1
2020.6.12 0:00,18,6,3,0,1
2020.6.19 0:00,6,3,2,0,1
2020.6.26 0:00,-5,-5,0,1,-1
2020.7.3 0:00,2,0.5,2,2,1
2020.7.10 0:00,0,0,1,1,0
2020.7.17 0:00,0,0,0,0,0
2020.7.24 0:00,10,5,2,0,1
2020.7.31 0:00,5,5,1,0,1
2020.8.7 0:00,-12,-4,0,3,-1
2020.8.14 0:00,10,5,2,0,1
2020.8.21 0:00,-10,-10,0,1,-1
2020.8.28 0:00,10,10,1,0,1
2020.9.4 0:00,0,0,1,1,0
2020.9.11 0:00,22,5.5,4,0,1
2020.9.18 0:00,-5,-1.25,2,2,-1
2020.9.25 0:00,4,1.333333333,3,0,1
2020.10.2 0:00,5,5,1,0,1
2020.10.9 0:00,0,0,0,0,0
2020.10.16 0:00,0,0,0,0,0
2020.10.23 0:00,0,0,3,2,0
2020.10.30 0:00,6,2,2,1,1
2020.11.6 0:00,3,1.5,1,1,1
2020.11.13 0:00,-2,-1,1,1,-1
2020.11.20 0:00,4,4,1,0,1
2020.11.27 0:00,5,5,1,0,1
2020.12.4 0:00,7,1.75,3,1,1
2020.12.11 0:00,-2,-2,0,1,-1
2020.12.18 0:00,0,0,0,0,0
2020.12.25 0:00,5,5,1,0,1
2021.1.1 0:00,5,5,1,0,1
2021.1.8 0:00,3,1.5,1,1,1
2021.1.15 0:00,-4,-2,1,1,-1
2021.1.22 0:00,8,4,2,0,1
2021.1.29 0:00,17,2.833333333,4,2,1
2021.2.5 0:00,4,1.333333333,2,1,1
2021.2.12 0:00,0,0,0,0,0
2021.2.19 0:00,8,4,2,0,1
2021.2.26 0:00,2,2,1,0,1
2021.3.5 0:00,14,2.8,4,1,1
2021.3.12 0:00,11,3.666666667,3,0,1
2021.3.19 0:00,0,0,0,0,0
2021.3.26 0:00,0,0,0,0,0
2021.4.2 0:00,1,0.5,1,1,1
2021.4.9 0:00,-4,-2,1,1,-1
2021.4.16 0:00,10,3.333333333,3,0,1
2021.4.23 0:00,-5,-0.833333333,2,4,-1
2021.4.30 0:00,7,3.5,2,0,1
2021.5.7 0:00,13,3.25,3,1,1
2021.5.14 0:00,5,1.666666667,2,1,1
2021.5.21 0:00,-2,-2,0,1,-1
2021.5.28 0:00,1,0.25,3,1,1
2021.6.4 0:00,7,3.5,2,0,1
2021.6.11 0:00,22,4.4,4,1,1
2021.6.18 0:00,0,0,0,0,0
2021.6.25 0:00,25,4.166666667,6,0,1
2021.7.2 0:00,17,5.666666667,3,0,1
2021.7.9 0:00,24,4.8,5,0,1
2021.7.16 0:00,18,4.5,4,0,1
2021.7.23 0:00,8,2,4,0,1
2021.7.30 0:00,30,6,5,0,1
2021.8.6 0:00,0,0,1,1,0
2021.8.13 0:00,0,0,2,2,0
2021.8.20 0:00,11,3.666666667,3,0,1
2021.8.27 0:00,-7,-2.333333333,1,2,-1
2021.9.3 0:00,13,3.25,3,1,1
2021.9.10 0:00,5,1.25,3,1,1
2021.9.17 0:00,10,2.5,3,1,1
2021.9.24 0:00,5,1.666666667,1,2,1
2021.10.1 0:00,6,2,2,1,1
2021.10.8 0:00,5,2.5,1,1,1
2021.10.15 0:00,4,2,2,0,1
2021.10.22 0:00,11,1.375,5,3,1
2021.10.29 0:00,11,2.2,4,1,1
2021.11.5 0:00,0,0,0,0,0
2021.11.12 0:00,7,3.5,2,0,1
2021.11.19 0:00,0,0,0,0,0
2021.11.26 0:00,6,1.5,2,2,1
2021.12.3 0:00,3,1.5,1,1,1
2021.12.10 0:00,6,1.5,3,1,1
2021.12.17 0:00,-8,-2.666666667,1,2,-1
2021.12.24 0:00,-5,-2.5,0,2,-1
2021.12.31 0:00,20,6.666666667,3,0,1
2022.1.7 0:00,0,0,0,0,0
2022.1.14 0:00,15,5,3,0,1
2022.1.21 0:00,0,0,0,0,0
2022.1.28 0:00,10,10,1,0,1
2022.2.4 0:00,8,1.142857143,4,3,1
2022.2.11 0:00,-6,-1,2,4,-1
2022.2.18 0:00,10,2.5,3,1,1
2022.2.25 0:00,5,5,1,0,1
2022.3.4 0:00,-6,-3,0,2,-1
2022.3.11 0:00,4,1,3,1,1
2022.3.18 0:00,22,3.666666667,4,2,1
2022.3.25 0:00,2,0.666666667,2,1,1
2022.4.1 0:00,5,2.5,2,0,1
2022.4.8 0:00,15,7.5,2,0,1
2022.4.15 0:00,1,0.5,1,1,1
2022.4.22 0:00,10,2.5,3,1,1
2022.4.29 0:00,7,1.75,3,1,1
2022.5.6 0:00,8,1.333333333,4,2,1
2022.5.13 0:00,7,3.5,2,0,1
2022.5.20 0:00,23,4.6,4,1,1
2022.5.27 0:00,30,6,5,0,1
2022.6.3 0:00,-5,-5,0,1,-1
2022.6.10 0:00,5,5,1,0,1
2022.6.17 0:00,16,3.2,4,1,1
2022.6.24 0:00,4,0.571428571,4,3,1
2022.7.1 0:00,6,1.5,3,1,1
2022.7.8 0:00,3,1.5,1,1,1
