·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_Date,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_impact_score,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_pos_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_neg_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_zero_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_sentiment
2018-01-05 00:00:00,41.0,8,1,1,1
2018-01-12 00:00:00,36.0,6,0,0,1
2018-01-19 00:00:00,55.0,13,0,0,1
2018-01-26 00:00:00,50.0,9,0,1,1
2018-02-02 00:00:00,47.0,12,2,1,1
2018-02-09 00:00:00,15.0,7,4,0,1
2018-02-16 00:00:00,32.0,9,3,2,1
2018-02-23 00:00:00,20.0,7,2,0,1
2018-03-02 00:00:00,36.0,10,2,1,1
2018-03-09 00:00:00,78.0,11,0,1,1
2018-03-16 00:00:00,131.0,21,2,0,1
2018-03-23 00:00:00,51.0,10,0,0,1
2018-03-30 00:00:00,54.0,10,1,2,1
2018-04-06 00:00:00,55.0,14,2,0,1
2018-04-13 00:00:00,183.0,25,0,0,1
2018-04-20 00:00:00,51.0,11,3,1,1
2018-04-27 00:00:00,15.0,4,1,2,1
2018-05-04 00:00:00,12.0,4,4,0,1
2018-05-11 00:00:00,67.0,13,1,0,1
2018-05-18 00:00:00,28.0,8,0,2,1
2018-05-25 00:00:00,-26.0,2,9,4,-1
2018-06-01 00:00:00,23.0,8,3,1,1
2018-06-08 00:00:00,54.0,10,2,0,1
2018-06-15 00:00:00,28.0,9,2,2,1
2018-06-22 00:00:00,-16.0,4,6,1,-1
2018-06-29 00:00:00,24.0,5,1,0,1
2018-07-06 00:00:00,9.0,2,1,2,1
2018-07-13 00:00:00,54.0,12,0,0,1
2018-07-20 00:00:00,28.0,13,6,1,1
2018-07-27 00:00:00,6.0,6,4,1,1
2018-08-03 00:00:00,37.0,9,1,4,1
2018-08-10 00:00:00,76.0,12,1,4,1
2018-08-17 00:00:00,18.0,5,0,3,1
2018-08-24 00:00:00,75.0,12,0,0,1
2018-08-31 00:00:00,136.0,20,0,0,1
2018-09-07 00:00:00,79.0,12,0,0,1
2018-09-14 00:00:00,439.0,62,2,0,1
2018-09-21 00:00:00,51.0,10,2,2,1
2018-09-28 00:00:00,25.0,7,1,0,1
2018-10-05 00:00:00,51.0,11,3,0,1
2018-10-12 00:00:00,68.0,12,0,0,1
2018-10-19 00:00:00,60.0,11,0,0,1
2018-10-26 00:00:00,66.0,13,1,1,1
2018-11-02 00:00:00,35.0,8,1,0,1
2018-11-09 00:00:00,65.0,11,0,0,1
2018-11-16 00:00:00,46.0,12,0,2,1
2018-11-23 00:00:00,22.0,5,0,0,1
2018-11-30 00:00:00,343.0,47,1,0,1
2018-12-07 00:00:00,72.0,12,1,0,1
