Date,생산지_재해_필리핀_impact_score_sum,생산지_재해_필리핀_impact_score_mean,생산지_재해_필리핀_pos_frequency,생산지_재해_필리핀_neg_frequency,생산지_재해_필리핀_zero_frequency,생산지_재해_필리핀_sentiment
2018-01-05 00:00:00,40,5.714285714285714,4,0,3,1
2018-01-12 00:00:00,20,5.0,2,0,2,1
2018-01-19 00:00:00,110,8.461538461538462,11,0,2,1
2018-01-26 00:00:00,190,10.0,19,0,0,1
2018-02-02 00:00:00,100,8.333333333333334,10,0,2,1
2018-02-09 00:00:00,20,5.0,2,0,2,1
2018-02-16 00:00:00,50,5.555555555555555,5,0,4,1
2018-02-23 00:00:00,20,4.0,2,0,3,1
2018-03-02 00:00:00,20,6.666666666666667,2,0,1,1
2018-03-09 00:00:00,10,1.6666666666666667,1,0,5,1
2018-03-16 00:00:00,0,0.0,0,0,2,0
2018-03-23 00:00:00,0,0.0,0,0,9,0
2018-03-30 00:00:00,0,0.0,0,0,8,0
2018-04-06 00:00:00,20,1.8181818181818181,2,0,9,1
2018-04-13 00:00:00,0,0.0,0,0,3,0
2018-04-20 00:00:00,0,0.0,0,0,6,0
2018-04-27 00:00:00,20,1.6666666666666667,2,0,10,1
2018-05-04 00:00:00,0,0.0,0,0,4,0
2018-05-11 00:00:00,10,2.5,1,0,3,1
2018-05-18 00:00:00,20,4.0,2,0,3,1
2018-05-25 00:00:00,0,0.0,0,0,2,0
2018-06-01 00:00:00,0,0.0,0,0,1,0
2018-06-08 00:00:00,0,0.0,0,0,5,0
2018-06-15 00:00:00,30,2.727272727272727,3,0,8,1
2018-06-22 00:00:00,20,3.3333333333333335,2,0,4,1
2018-06-29 00:00:00,0,0.0,0,0,4,0
2018-07-06 00:00:00,10,1.6666666666666667,1,0,5,1
2018-07-13 00:00:00,20,3.3333333333333335,2,0,4,1
2018-07-20 00:00:00,30,2.0,3,0,12,1
2018-07-27 00:00:00,130,6.5,13,0,7,1
2018-08-03 00:00:00,20,2.857142857142857,2,0,5,1
2018-08-10 00:00:00,10,2.0,1,0,4,1
2018-08-17 00:00:00,40,2.5,6,2,8,1
2018-08-24 00:00:00,-20,-2.857142857142857,0,2,5,-1
2018-08-31 00:00:00,10,1.6666666666666667,1,0,5,1
2018-09-07 00:00:00,0,0.0,0,0,2,0
2018-09-14 00:00:00,500,8.064516129032258,50,0,12,1
2018-09-21 00:00:00,700,9.210526315789474,70,0,6,1
2018-09-28 00:00:00,110,5.7894736842105265,11,0,8,1
2018-10-05 00:00:00,70,4.666666666666667,7,0,8,1
2018-10-12 00:00:00,30,2.727272727272727,3,0,8,1
2018-10-19 00:00:00,20,3.3333333333333335,2,0,4,1
2018-10-26 00:00:00,20,2.5,2,0,6,1
2018-11-02 00:00:00,160,8.0,16,0,4,1
2018-11-09 00:00:00,50,1.8518518518518519,5,0,22,1
2018-11-16 00:00:00,10,1.4285714285714286,2,1,4,1
2018-11-23 00:00:00,-20,-1.8181818181818181,0,2,9,-1
2018-11-30 00:00:00,-5,-0.5,0,1,9,-1
2018-12-07 00:00:00,0,0.0,0,0,4,0
2018-12-14 00:00:00,0,0.0,0,0,1,0
2018-12-21 00:00:00,0,0.0,0,0,3,0
2018-12-28 00:00:00,10,2.0,1,0,4,1
2019-01-04 00:00:00,260,8.125,26,0,6,1
2019-01-11 00:00:00,50,3.8461538461538463,5,0,8,1
2019-01-18 00:00:00,10,2.0,1,0,4,1
2019-01-25 00:00:00,10,2.5,1,0,3,1
2019-02-01 00:00:00,8,1.0,1,1,6,1
2019-02-08 00:00:00,20,2.2222222222222223,2,0,7,1
2019-02-15 00:00:00,0,0.0,0,0,7,0
2019-02-22 00:00:00,0,0.0,0,0,3,0
2019-03-01 00:00:00,40,3.6363636363636362,4,0,7,1
2019-03-08 00:00:00,0,0.0,0,0,1,0
2019-03-15 00:00:00,30,2.727272727272727,3,0,8,1
2019-03-22 00:00:00,0,0.0,0,0,7,0
2019-03-29 00:00:00,40,5.0,4,0,4,1
2019-04-05 00:00:00,40,3.076923076923077,4,0,9,1
2019-04-12 00:00:00,10,3.3333333333333335,1,0,2,1
2019-04-19 00:00:00,0,0.0,0,0,5,0
2019-04-26 00:00:00,320,7.441860465116279,32,0,11,1
2019-05-03 00:00:00,20,1.6666666666666667,2,0,10,1
2019-05-10 00:00:00,10,1.0,1,0,9,1
2019-05-17 00:00:00,0,0.0,0,0,2,0
2019-05-24 00:00:00,0,0.0,0,0,3,0
2019-05-31 00:00:00,10,2.5,1,0,3,1
2019-06-07 00:00:00,0,0.0,0,0,9,0
2019-06-14 00:00:00,0,0.0,0,0,3,0
2019-06-21 00:00:00,0,0.0,0,0,6,0
2019-06-28 00:00:00,0,0.0,0,0,8,0
2019-07-05 00:00:00,10,1.0,1,0,9,1
2019-07-12 00:00:00,0,0.0,0,0,5,0
2019-07-19 00:00:00,70,2.5,7,0,21,1
2019-07-26 00:00:00,0,0.0,0,0,5,0
2019-08-02 00:00:00,90,3.75,9,0,15,1
2019-08-09 00:00:00,40,2.0,4,0,16,1
2019-08-16 00:00:00,30,3.0,3,0,7,1
2019-08-23 00:00:00,30,3.75,3,0,5,1
2019-08-30 00:00:00,130,5.416666666666667,13,0,11,1
2019-09-06 00:00:00,10,0.6666666666666666,1,0,14,1
2019-09-13 00:00:00,40,3.6363636363636362,4,0,7,1
2019-09-20 00:00:00,20,2.0,2,0,8,1
2019-09-27 00:00:00,0,0.0,0,0,5,0
2019-10-04 00:00:00,10,1.6666666666666667,2,1,3,1
2019-10-11 00:00:00,30,5.0,3,0,3,1
2019-10-18 00:00:00,10,0.4166666666666667,5,4,15,1
2019-10-25 00:00:00,30,2.5,3,0,9,1
2019-11-01 00:00:00,230,7.1875,23,0,9,1
2019-11-08 00:00:00,50,3.5714285714285716,5,0,9,1
2019-11-15 00:00:00,20,1.3333333333333333,2,0,13,1
2019-11-22 00:00:00,100,5.2631578947368425,10,0,9,1
2019-11-29 00:00:00,10,1.6666666666666667,1,0,5,1
2019-12-06 00:00:00,390,8.478260869565217,42,3,1,1
2019-12-13 00:00:00,50,5.555555555555555,5,0,4,1
2019-12-20 00:00:00,130,4.482758620689655,13,0,16,1
2019-12-27 00:00:00,240,7.741935483870968,24,0,7,1
2020-01-03 00:00:00,30,3.3333333333333335,3,0,6,1
2020-01-10 00:00:00,0,0.0,0,0,7,0
2020-01-17 00:00:00,290,6.904761904761905,29,0,13,1
2020-01-24 00:00:00,60,3.75,6,0,10,1
2020-01-31 00:00:00,40,8.0,4,0,1,1
2020-02-07 00:00:00,0,0.0,0,0,6,0
2020-02-14 00:00:00,30,3.3333333333333335,3,0,6,1
2020-02-21 00:00:00,10,1.6666666666666667,1,0,5,1
2020-02-28 00:00:00,40,5.714285714285714,4,0,3,1
2020-03-06 00:00:00,0,0.0,0,0,4,0
2020-03-13 00:00:00,0,0.0,0,0,2,0
2020-03-20 00:00:00,0,0.0,0,0,14,0
2020-03-27 00:00:00,0,0.0,0,0,3,0
2020-04-03 00:00:00,0,0.0,0,0,1,0
2020-04-10 00:00:00,10,5.0,1,0,1,1
2020-04-17 00:00:00,0,0.0,0,0,6,0
2020-04-24 00:00:00,10,2.5,1,0,3,1
2020-05-01 00:00:00,10,2.5,1,0,3,1
2020-05-08 00:00:00,0,0.0,0,0,5,0
2020-05-15 00:00:00,220,7.857142857142857,22,0,6,1
2020-05-22 00:00:00,110,5.7894736842105265,11,0,8,1
2020-05-29 00:00:00,0,0.0,0,0,7,0
2020-06-05 00:00:00,0,0.0,0,0,4,0
2020-06-12 00:00:00,20,2.5,2,0,6,1
2020-06-19 00:00:00,10,3.3333333333333335,1,0,2,1
2020-06-26 00:00:00,0,0.0,0,0,2,0
2020-07-03 00:00:00,10,1.6666666666666667,1,0,5,1
2020-07-10 00:00:00,20,10.0,2,0,0,1
2020-07-17 00:00:00,30,5.0,3,0,3,1
2020-07-24 00:00:00,0,0.0,0,0,8,0
2020-07-31 00:00:00,0,0.0,0,0,4,0
2020-08-07 00:00:00,10,1.6666666666666667,1,0,5,1
2020-08-14 00:00:00,0,0.0,0,0,9,0
2020-08-21 00:00:00,100,6.666666666666667,10,0,5,1
2020-08-28 00:00:00,10,3.3333333333333335,1,0,2,1
2020-09-04 00:00:00,20,2.5,2,0,6,1
2020-09-11 00:00:00,5,1.25,1,1,2,1
2020-09-18 00:00:00,30,2.5,3,0,9,1
2020-09-25 00:00:00,20,1.5384615384615385,2,0,11,1
2020-10-02 00:00:00,0,0.0,0,0,5,0
2020-10-09 00:00:00,20,4.0,2,0,3,1
2020-10-16 00:00:00,60,5.0,6,0,6,1
2020-10-23 00:00:00,70,6.363636363636363,7,0,4,1
2020-10-30 00:00:00,260,7.878787878787879,26,0,7,1
2020-11-06 00:00:00,750,8.823529411764707,75,0,10,1
2020-11-13 00:00:00,490,6.621621621621622,53,4,17,1
2020-11-20 00:00:00,270,5.4,31,4,15,1
2020-11-27 00:00:00,90,5.0,9,0,9,1
2020-12-04 00:00:00,40,2.857142857142857,4,0,10,1
2020-12-11 00:00:00,30,5.0,3,0,3,1
2020-12-18 00:00:00,60,5.0,6,0,6,1
2020-12-25 00:00:00,120,6.666666666666667,12,0,6,1
2021-01-01 00:00:00,50,6.25,5,0,3,1
2021-01-08 00:00:00,60,5.454545454545454,6,0,5,1
2021-01-15 00:00:00,90,5.625,9,0,7,1
2021-01-22 00:00:00,10,1.25,1,0,7,1
2021-01-29 00:00:00,0,0.0,0,0,9,0
2021-02-05 00:00:00,0,0.0,0,0,2,0
2021-02-12 00:00:00,30,3.75,3,0,5,1
2021-02-19 00:00:00,50,2.9411764705882355,5,0,12,1
2021-02-26 00:00:00,20,1.3333333333333333,2,0,13,1
2021-03-05 00:00:00,0,0.0,0,0,6,0
2021-03-12 00:00:00,10,2.5,1,0,3,1
2021-03-19 00:00:00,10,2.0,1,0,4,1
2021-03-26 00:00:00,0,0.0,0,0,3,0
2021-04-02 00:00:00,0,0.0,0,0,6,0
2021-04-09 00:00:00,10,5.0,1,0,1,1
2021-04-16 00:00:00,20,1.5384615384615385,3,1,9,1
2021-04-23 00:00:00,140,5.833333333333333,14,0,10,1
2021-04-30 00:00:00,10,3.3333333333333335,1,0,2,1
2021-05-07 00:00:00,0,0.0,0,0,1,0
2021-05-14 00:00:00,20,2.5,2,0,6,1
2021-05-21 00:00:00,10,1.1111111111111112,1,0,8,1
2021-05-28 00:00:00,10,3.3333333333333335,1,0,2,1
2021-06-04 00:00:00,130,6.5,13,0,7,1
2021-06-11 00:00:00,0,0.0,0,0,2,0
2021-06-18 00:00:00,30,4.285714285714286,3,0,4,1
2021-06-25 00:00:00,10,1.25,1,0,7,1
2021-07-02 00:00:00,30,1.7647058823529411,5,2,10,1
2021-07-09 00:00:00,10,0.8333333333333334,1,0,11,1
2021-07-16 00:00:00,30,2.727272727272727,4,1,6,1
2021-07-23 00:00:00,50,3.125,5,0,11,1
2021-07-30 00:00:00,150,6.0,15,0,10,1
2021-08-06 00:00:00,20,4.0,2,0,3,1
2021-08-13 00:00:00,20,2.857142857142857,2,0,5,1
2021-08-20 00:00:00,0,0.0,0,0,2,0
2021-08-27 00:00:00,0,0.0,0,0,5,0
