Date,생산지_전쟁및분쟁_러시아_impact_score_sum,생산지_전쟁및분쟁_러시아_impact_score_mean,생산지_전쟁및분쟁_러시아_pos_frequency,생산지_전쟁및분쟁_러시아_neg_frequency,생산지_전쟁및분쟁_러시아_zero_frequency,생산지_전쟁및분쟁_러시아_sentiment
2018.1.5 0:00,41,4.1,8,1,1,1
2018.1.12 0:00,36,6,6,0,0,1
2018.1.19 0:00,55,4.230769231,13,0,0,1
2018.1.26 0:00,50,5,9,0,1,1
2018.2.2 0:00,47,3.133333333,12,2,1,1
2018.2.9 0:00,15,1.363636364,7,4,0,1
2018.2.16 0:00,32,2.285714286,9,3,2,1
2018.2.23 0:00,20,2.222222222,7,2,0,1
2018.3.2 0:00,36,2.769230769,10,2,1,1
2018.3.9 0:00,78,6.5,11,0,1,1
2018.3.16 0:00,131,5.695652174,21,2,0,1
2018.3.23 0:00,51,5.1,10,0,0,1
2018.3.30 0:00,54,4.153846154,10,1,2,1
2018.4.6 0:00,55,3.4375,14,2,0,1
2018.4.13 0:00,183,7.32,25,0,0,1
2018.4.20 0:00,51,3.4,11,3,1,1
2018.4.27 0:00,15,2.142857143,4,1,2,1
2018.5.4 0:00,12,1.5,4,4,0,1
2018.5.11 0:00,67,4.785714286,13,1,0,1
2018.5.18 0:00,28,2.8,8,0,2,1
2018.5.25 0:00,-26,-1.733333333,2,9,4,-1
2018.6.1 0:00,23,1.916666667,8,3,1,1
2018.6.8 0:00,54,4.5,10,2,0,1
2018.6.15 0:00,28,2.153846154,9,2,2,1
2018.6.22 0:00,-16,-1.454545455,4,6,1,-1
2018.6.29 0:00,24,4,5,1,0,1
2018.7.6 0:00,9,1.8,2,1,2,1
2018.7.13 0:00,54,4.5,12,0,0,1
2018.7.20 0:00,28,1.4,13,6,1,1
2018.7.27 0:00,6,0.545454545,6,4,1,1
2018.8.3 0:00,37,2.642857143,9,1,4,1
2018.8.10 0:00,76,4.470588235,12,1,4,1
2018.8.17 0:00,18,2.25,5,0,3,1
2018.8.24 0:00,75,6.25,12,0,0,1
2018.8.31 0:00,136,6.8,20,0,0,1
2018.9.7 0:00,79,6.583333333,12,0,0,1
2018.9.14 0:00,439,6.859375,62,2,0,1
2018.9.21 0:00,51,3.642857143,10,2,2,1
2018.9.28 0:00,25,3.125,7,1,0,1
2018.10.5 0:00,51,3.642857143,11,3,0,1
2018.10.12 0:00,68,5.666666667,12,0,0,1
2018.10.19 0:00,60,5.454545455,11,0,0,1
2018.10.26 0:00,66,4.4,13,1,1,1
2018.11.2 0:00,35,3.888888889,8,1,0,1
2018.11.9 0:00,65,5.909090909,11,0,0,1
2018.11.16 0:00,46,3.285714286,12,0,2,1
2018.11.23 0:00,22,4.4,5,0,0,1
2018.11.30 0:00,343,7.145833333,47,1,0,1
2018.12.7 0:00,72,5.538461538,12,1,0,1
2018.12.14 0:00,23,3.285714286,6,1,0,1
2018.12.21 0:00,105,5.526315789,16,2,1,1
2018.12.28 0:00,43,4.777777778,8,0,1,1
2019.1.4 0:00,9,1.5,4,2,0,1
2019.1.11 0:00,12,3,2,1,1,1
2019.1.18 0:00,47,3.615384615,13,0,0,1
2019.1.25 0:00,32,3.2,7,2,1,1
2019.2.1 0:00,-8,-0.571428571,5,6,3,-1
2019.2.8 0:00,92,6.571428571,14,0,0,1
2019.2.15 0:00,58,5.8,10,0,0,1
2019.2.22 0:00,67,5.583333333,12,0,0,1
2019.3.1 0:00,28,4.666666667,6,0,0,1
2019.3.8 0:00,54,6,8,0,1,1
2019.3.15 0:00,24,3.428571429,6,1,0,1
2019.3.22 0:00,55,3.055555556,12,3,3,1
2019.3.29 0:00,35,2.5,7,6,1,1
2019.4.5 0:00,80,5,14,1,1,1
2019.4.12 0:00,17,2.428571429,4,2,1,1
2019.4.19 0:00,48,4.8,9,1,0,1
2019.4.26 0:00,58,5.272727273,11,0,0,1
2019.5.3 0:00,39,4.875,8,0,0,1
2019.5.10 0:00,16,3.2,4,1,0,1
2019.5.17 0:00,29,3.625,7,1,0,1
2019.5.24 0:00,36,5.142857143,7,0,0,1
2019.5.31 0:00,10,1.25,6,2,0,1
2019.6.7 0:00,36,3.272727273,10,1,0,1
2019.6.14 0:00,-2,-0.25,1,3,4,-1
2019.6.21 0:00,-15,-0.833333333,5,5,8,-1
2019.6.28 0:00,25,1.923076923,9,2,2,1
2019.7.5 0:00,3,0.6,3,2,0,1
2019.7.12 0:00,28,3.111111111,7,0,2,1
2019.7.19 0:00,23,2.090909091,7,4,0,1
2019.7.26 0:00,20,1.818181818,8,3,0,1
2019.8.2 0:00,16,0.888888889,10,7,1,1
2019.8.9 0:00,33,2.2,10,4,1,1
2019.8.16 0:00,66,4.125,13,3,0,1
2019.8.23 0:00,22,1.294117647,9,6,2,1
2019.8.30 0:00,28,2.333333333,8,4,0,1
2019.9.6 0:00,35,3.5,10,0,0,1
2019.9.13 0:00,21,1.235294118,7,2,8,1
2019.9.20 0:00,48,3.2,12,3,0,1
2019.9.27 0:00,29,4.142857143,6,1,0,1
2019.10.4 0:00,4,0.444444444,3,5,1,1
2019.10.11 0:00,41,2.277777778,13,5,0,1
2019.10.18 0:00,38,2.375,12,4,0,1
2019.10.25 0:00,27,1.8,11,4,0,1
2019.11.1 0:00,1,0.166666667,4,2,0,1
2019.11.8 0:00,57,5.181818182,11,0,0,1
2019.11.15 0:00,84,4.421052632,15,3,1,1
2019.11.22 0:00,14,1.555555556,7,1,1,1
2019.11.29 0:00,-2,-0.2,4,4,2,-1
2019.12.6 0:00,26,1.733333333,10,5,0,1
2019.12.13 0:00,120,4.285714286,23,4,1,1
2019.12.20 0:00,28,3.5,5,3,0,1
2019.12.27 0:00,43,4.777777778,8,1,0,1
2020.1.3 0:00,-3,-0.75,2,2,0,-1
2020.1.10 0:00,50,3.571428571,12,1,1,1
2020.1.17 0:00,17,1.545454545,6,5,0,1
2020.1.24 0:00,64,4.571428571,13,0,1,1
2020.1.31 0:00,13,3.25,4,0,0,1
2020.2.7 0:00,58,4.833333333,11,1,0,1
2020.2.14 0:00,30,3.333333333,8,1,0,1
2020.2.21 0:00,38,2.111111111,9,6,3,1
2020.2.28 0:00,64,4.571428571,12,1,1,1
2020.3.6 0:00,13,0.722222222,10,5,3,1
2020.3.13 0:00,-61,-4.066666667,5,10,0,-1
2020.3.20 0:00,3,0.214285714,8,5,1,1
2020.3.27 0:00,37,2.846153846,9,3,1,1
2020.4.3 0:00,8,0.888888889,5,1,3,1
